# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.01        0.01        51.0172       0.0000      0     0
    1        0.04        0.05        12.6414       9.3369      0     0
    2        0.03        0.07        2.30597       7.1236      0     0
    3        0.07        0.14        -32.7091       4.0593      0     0
    4        0.08        0.22        -88.9016       2.2531      0     0
    5        0.09        0.31        -137.485       1.4248      0     0
    6        0.12        0.43        -203.39       0.6900      0     0
    7        0.12        0.55        -262.923       0.2067      0     0
    8        0.12        0.67        -280.19       0.0569      0     0
    9        0.12        0.79        -280.945       0.0552      0     0
   10        0.12        0.91        -281.342       0.0334      0     0
   11        0.12        1.03        -281.924       0.0356      0     0
   12        0.12        1.16        -282.272       0.0278      0     0
   13        0.12        1.28        -282.185       0.0279      0     0
   14        0.12        1.40        -282.044       0.0193      0     0
   15        0.12        1.52        -281.839       0.0146      0     0
   16        0.12        1.64        -281.903       0.0102      0     0
    0        0.04        1.68        -281.808       0.0098      5     5
    1        0.04        1.73        -281.784       0.0102      5     6
    2        0.04        1.77        -281.751       0.0106      6     0
    3        0.04        1.81        -281.629       0.0109      4     3
    4        0.04        1.85        -281.627       0.0123      4     7
    5        0.04        1.89        -281.481       0.0120      4     6
   17        0.00        1.89        -281.481       0.0120      0     0
