# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.01        0.01        51.3054       0.0000      0     0
    1        0.03        0.04        6.92666       9.3478      0     0
    2        0.02        0.06        -4.12893       7.1601      0     0
    3        0.03        0.09        -39.9536       4.0993      0     0
    4        0.03        0.12        -96.1598       2.2406      0     0
    5        0.03        0.14        -144.222       1.4042      0     0
    6        0.03        0.18        -208.927       0.6753      0     0
    7        0.05        0.23        -263.197       0.1836      0     0
    8        0.06        0.29        -272.09       0.0714      0     0
    9        0.04        0.33        -273.341       0.0430      0     0
   10        0.06        0.39        -273.2       0.0238      0     0
   11        0.06        0.45        -272.482       0.0134      0     0
   12        0.06        0.51        -271.38       0.0063      0     0
   13        0.07        0.58        -270.318       0.0013      0     0
   14        0.08        0.66        -269.966       0.0001      0     0
   15        0.08        0.74        -269.954       0.0000      0     0
   16        0.07        0.81        -269.951       0.0000      0     0
   17        0.06        0.87        -269.951       0.0000      0     0
   18        0.07        0.94        -269.948       0.0000      0     0
   19        0.06        1.00        -269.948       0.0000      0     0
   20        0.07        1.07        -269.944       0.0000      0     0
   21        0.06        1.14        -269.944       0.0000      0     0
   22        0.07        1.20        -269.943       0.0000      0     0
   23        0.07        1.27        -269.943       0.0000      0     0
   24        0.07        1.33        -269.943       0.0000      0     0
   25        0.07        1.40        -269.943       0.0000      0     0
   26        0.07        1.47        -269.943       0.0000      0     0
    0        0.03        1.50        -269.941       0.0000      0     0
   27        0.00        1.51        -269.941       0.0000      0     0
