# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective   
    0        0.01        0.01        -4.89054    
    1        0.01        0.02        -3.35248    
    2        0.01        0.03        -3.36029    
    3        0.01        0.04        -3.43961    
    4        0.02        0.06        -3.56765    
    5        0.02        0.07        -3.69556    
    6        0.01        0.09        -3.82577    
    7        0.01        0.10        -3.95363    
    8        0.02        0.12        -4.08576    
    9        0.02        0.14        -4.22607    
   10        0.02        0.16        -4.36695    
   11        0.02        0.17        -4.52628    
   12        0.02        0.19        -4.71483    
   13        0.02        0.21        -4.9347    
   14        0.02        0.23        -5.22832    
   15        0.02        0.26        -5.64986    
   16        0.02        0.28        -6.24851    
   17        0.03        0.31        -7.01093    
   18        0.03        0.34        -7.91007    
   19        0.03        0.37        -8.82399    
   20        0.04        0.41        -9.67652    
   21        0.04        0.45        -10.7043    
   22        0.05        0.50        -11.7966    
   23        0.05        0.55        -12.9036    
   24        0.05        0.60        -13.8405    
   25        0.05        0.65        -14.5746    
   26        0.06        0.71        -15.139    
   27        0.06        0.77        -15.5055    
   28        0.06        0.83        -15.6708    
   29        0.06        0.88        -15.6944    
   30        0.06        0.94        -15.636    
   31        0.06        1.00        -15.3082    
   32        0.06        1.07        -14.751    
   33        0.06        1.13        -13.7863    
   34        0.06        1.19        -12.4052    
   35        0.07        1.25        -10.5546    
   36        0.05        1.31        -8.51617    
   37        0.06        1.37        -6.82707    
   38        0.06        1.42        -5.61946    
   39        0.06        1.49        -4.75393    
   40        0.07        1.56        -4.13615    
   41        0.07        1.63        -3.70748    
   42        0.08        1.71        -3.43486    
   43        0.08        1.79        -3.30021    
   44        0.09        1.88        -3.28792    
   45        0.10        1.98        -3.37274    
   46        0.11        2.09        -3.52097    
   47        0.11        2.20        -3.70462    
   48        0.12        2.32        -3.90893    
   49        0.12        2.44        -4.1284    
   50        0.12        2.56        -4.36179    
   51        0.12        2.68        -4.60884    
   52        0.12        2.80        -4.86788    
   53        0.12        2.92        -5.1333    
   54        0.12        3.04        -5.39392    
   55        0.12        3.16        -5.63533    
   56        0.12        3.28        -5.84863    
   57        0.12        3.40        -6.03779    
   58        0.12        3.52        -6.21585    
   59        0.12        3.64        -6.40037    
   60        0.12        3.76        -6.62127    
   61        0.12        3.88        -6.97045    
   62        0.12        4.00        -7.97461    
   63        0.12        4.12        -8.95386    
   64        0.12        4.24        -10.0634    
   65        0.11        4.34        -11.544    
   66        0.09        4.43        -13.5205    
   67        0.07        4.50        -16.161    
   68        0.05        4.55        -19.6739    
   69        0.04        4.59        -24.2181    
   70        0.03        4.61        -27.7722    
   71        0.02        4.63        -27.9985    
   72        0.01        4.64         -28    
   73        0.01        4.65         -28    
   74        0.01        4.66         -28    
   75        0.01        4.66         -28    
   76        0.01        4.67         -28    
   77        0.01        4.68         -28    
   78        0.01        4.69         -28    
   79        0.01        4.70         -28    
   80        0.01        4.71         -28    
   81        0.01        4.71         -28    
   82        0.01        4.72         -28    
   83        0.01        4.73         -28    
   84        0.01        4.74         -28    
   85        0.01        4.75         -28    
   86        0.01        4.76         -28    
   87        0.01        4.76         -28    
   88        0.01        4.77         -28    
   89        0.01        4.78         -28    
   90        0.01        4.79         -28    
   91        0.01        4.80         -28    
   92        0.01        4.80         -28    
   93        0.01        4.81         -28    
   94        0.01        4.82         -28    
   95        0.01        4.83         -28    
   96        0.01        4.84         -28    
   97        0.01        4.84         -28    
   98        0.01        4.85         -28    
   99        0.01        4.86         -28    
  100        0.01        4.87         -28    
  101        0.01        4.88         -28    
  102        0.01        4.89         -28    
  103        0.01        4.89         -28    
  104        0.01        4.90         -28    
  105        0.01        4.91         -28    
  106        0.01        4.92         -28    
  107        0.01        4.93         -28    
  108        0.01        4.93         -28    
  109        0.01        4.94         -28    
  110        0.01        4.95         -28    
  111        0.01        4.96         -28    
  112        0.01        4.97         -28    
  113        0.01        4.97         -28    
  114        0.01        4.98         -28    
  115        0.01        4.99         -28    
  116        0.01        5.00         -28    
  117        0.01        5.01         -28    
  118        0.01        5.02         -28    
  119        0.01        5.02         -28    
  120        0.01        5.03         -28    
  121        0.01        5.04         -28    
  122        0.01        5.05         -28    
  123        0.01        5.06         -28    
  124        0.01        5.06         -28    
  125        0.01        5.07         -28    
  126        0.01        5.08         -28    
  127        0.01        5.09         -28    
    0        0.01        5.09         -28    
  128        0.00        5.09         -28    
