# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.01        0.01        215.285       0.0000      0     0
    1        0.64        0.65        300.286       7.0472      0     0
    2        0.42        1.07        195.734       3.7483      0     0
    3        0.35        1.42        175.615       3.1867      0     0
    4        0.39        1.81        119.631       1.8031      0     0
    5        0.95        2.76        31.0448       0.5741      0     0
    6        0.80        3.56        -3.53942       0.2430      0     0
    7        0.61        4.16        -14.3423       0.1486      0     0
    8        1.06        5.22        -15.8912       0.0606      0     0
    9        0.93        6.15        -13.2594       0.0319      0     0
   10        0.99        7.14        -9.56672       0.0130      0     0
   11        1.44        8.58        -6.77553       0.0031      0     0
   12        1.57        10.15        -5.94936       0.0008      0     0
   13        1.56        11.71        -5.7097       0.0002      0     0
   14        1.84        13.55        -5.63889       0.0001      0     0
   15        2.91        16.46        -5.64063       0.0001      0     0
    0        1.05        17.51        -5.64064       0.0001      0     0
    1        1.04        18.55        -5.64077       0.0001      0     0
    2        1.04        19.59        -5.64088       0.0001      0     0
    3        1.04        20.62        -5.64059       0.0001      0     0
    4        1.04        21.67        -5.64008       0.0001      0     0
    5        1.04        22.70        -5.64066       0.0001      0     0
    6        1.05        23.75        -5.64       0.0001      0     0
    7        1.05        24.80        -5.64044       0.0001      0     0
    8        1.04        25.84        -5.64006       0.0001      0     0
    9        1.06        26.90        -5.64036       0.0001      0     0
   16        0.01        26.91        -5.64036       0.0001      0     0
