# SNOPT iteration timing history
# nCon    Cost    Time (s)    Total Time (s) 
    1      4102      32.30      32.30     
    2      8212      31.67      63.97     
    3     12312      31.67      95.63     
    4     16414      32.10      127.74     
    5     20516      31.81      159.55     
    6     25149      35.34      194.89     
    7     29265      32.10      227.00     
    8     33926      35.95      262.95     
    9     38041      32.78      295.73     
   10     42157      32.93      328.66     
   11     46272      31.49      360.15     
   12     50390      32.16      392.31     
   13     54508      32.40      424.71     
   14     58626      32.01      456.72     
   15     62744      32.16      488.88     
   16     66862      31.98      520.86     
   17     70980      31.90      552.76     
   18     75098      31.96      584.73     
   19     79216      31.81      616.53     
   20     83334      31.88      648.41     
   21     87451      31.78      680.19     
   22     91569      31.86      712.06     
   23     95687      31.92      743.97     
   24     99805      31.91      775.88     
   25     103923      31.52      807.40     
   26     108041      31.54      838.94     
   27     112159      32.28      871.22     
   28     116277      31.53      902.76     
   29     120395      31.93      934.68     
   30     124513      31.76      966.44     
   31     128631      31.88      998.32     
   32     132749      31.91      1030.23     
   33     136867      31.52      1061.75     
   34     140985      32.02      1093.77     
   35     145103      31.54      1125.31     
   36     149221      31.61      1156.93     
   37     153339      31.60      1188.52     
   38     157457      31.54      1220.06     
   39     161575      31.93      1251.98     
   40     165693      31.53      1283.51     
   41     169811      31.58      1315.09     
   42     173929      31.54      1346.63     
   43     178047      31.56      1378.18     
   44     182165      32.09      1410.27     
   45     186283      31.55      1441.82     
   46     190401      31.55      1473.37     
   47     194519      31.62      1504.99     
   48     198637      32.31      1537.30     
