# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.01        0.01        215.285       0.0000      0     0
    1        0.56        0.57        300.286       7.0472      0     0
    2        0.38        0.95        195.733       3.7482      0     0
    3        0.34        1.29        175.613       3.1866      0     0
    4        0.38        1.67        119.623       1.8030      0     0
    5        0.64        2.31        31.0329       0.5740      0     0
    6        0.73        3.04        -3.54147       0.2430      0     0
    7        0.56        3.60        -14.3414       0.1486      0     0
    8        0.99        4.59        -15.8912       0.0606      0     0
    9        0.79        5.38        -13.2602       0.0319      0     0
   10        0.86        6.25        -9.5669       0.0130      0     0
   11        1.34        7.59        -6.77543       0.0031      0     0
   12        0.96        8.55        -5.94531       0.0008      0     0
   13        0.97        9.53        -5.66117       0.0001      0     0
   14        1.74        11.26        -5.64093       0.0000      0     0
   15        1.07        12.34        -5.64076       0.0000      0     0
    0        0.69        13.02        -5.64076       0.0000      0     0
    1        0.66        13.69        -5.64076       0.0000      0     0
    2        0.68        14.37        -5.64076       0.0000      0     0
    3        0.66        15.02        -5.64076       0.0000      0     0
    4        0.69        15.71        -5.64076       0.0000      0     0
    5        0.67        16.39        -5.64076       0.0000      0     0
    6        0.71        17.09        -5.64076       0.0000      0     0
    7        0.66        17.76        -5.64076       0.0000      0     0
    8        0.68        18.44        -5.64076       0.0000      0     0
    9        0.67        19.11        -5.64076       0.0000      0     0
   16        0.01        19.12        -5.64076       0.0000      0     0
