# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.01        0.01        43.1493       0.0000      0     0
    1        0.15        0.16        87.1476       6.5058      0     0
    2        0.20        0.36        9.71183       0.4458      0     0
    3        0.16        0.53        7.05722       0.1783      0     0
    4        0.16        0.69        6.66832       0.0839      0     0
    5        0.10        0.79        8.0547       0.0319      0     0
    6        0.09        0.88        9.66866       0.0042      0     0
    7        0.10        0.99        10.0059       0.0001      0     0
    8        0.12        1.10        10.0121       0.0000      0     0
    9        0.07        1.17        10.0122       0.0000      0     0
   10        0.00        1.18        10.0122       0.0000      0     0
