# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective   
    0        0.01        0.01        6.40851    
    1        0.01        0.02        1.77929    
    2        0.01        0.03        1.77337    
    3        0.01        0.04        1.71561    
    4        0.01        0.05        1.6122    
    5        0.01        0.07        1.50919    
    6        0.01        0.08        1.4079    
    7        0.01        0.09        1.30641    
    8        0.01        0.11        1.19825    
    9        0.01        0.12        1.08593    
   10        0.01        0.13        0.973401    
   11        0.02        0.15        0.845079    
   12        0.02        0.17        0.688193    
   13        0.02        0.18        0.495262    
   14        0.02        0.20        0.262403    
   15        0.02        0.22        -0.0447095    
   16        0.02        0.24        -0.412354    
   17        0.02        0.26        -0.820619    
   18        0.02        0.28        -1.3321    
   19        0.03        0.31        -2.00395    
   20        0.03        0.34        -2.89528    
   21        0.03        0.37        -3.96561    
   22        0.04        0.41        -5.12814    
   23        0.04        0.45        -6.3318    
   24        0.04        0.49        -7.58445    
   25        0.04        0.52        -8.6534    
   26        0.04        0.57        -9.5179    
   27        0.05        0.61        -10.2071    
   28        0.05        0.66        -10.7386    
   29        0.05        0.71        -11.053    
   30        0.05        0.76        -11.2627    
   31        0.05        0.81        -11.403    
   32        0.05        0.86        -11.417    
   33        0.04        0.90        -11.1882    
   34        0.05        0.95        -10.7486    
   35        0.05        1.00        -10.0676    
   36        0.05        1.05        -9.0903    
   37        0.04        1.08        -7.39985    
   38        0.04        1.12        -5.91997    
   39        0.05        1.17        -4.86471    
   40        0.05        1.22        -4.10729    
   41        0.05        1.27        -3.56495    
   42        0.05        1.32        -3.18669    
   43        0.06        1.38        -2.94436    
   44        0.06        1.44        -2.82409    
   45        0.06        1.50        -2.81589    
   46        0.07        1.57        -2.90074    
   47        0.09        1.66        -3.04582    
   48        0.09        1.75        -3.22177    
   49        0.11        1.86        -3.41159    
   50        0.11        1.97        -3.60937    
   51        0.12        2.09        -3.81398    
   52        0.12        2.20        -4.02513    
   53        0.12        2.32        -4.24137    
   54        0.13        2.45        -4.45899    
   55        0.12        2.57        -4.67381    
   56        0.12        2.69        -4.88456    
   57        0.12        2.81        -5.09133    
   58        0.12        2.93        -5.28707    
   59        0.18        3.10        -5.46163    
   60        0.18        3.28        -5.62835    
   61        0.12        3.40        -5.84137    
   62        0.12        3.52        -6.32362    
   63        0.12        3.64        -7.2361    
   64        0.10        3.74        -8.09867    
   65        0.09        3.83        -9.26753    
   66        0.07        3.90        -10.8317    
   67        0.05        3.95        -12.8908    
   68        0.04        3.99        -15.5646    
   69        0.03        4.02        -18.9728    
   70        0.03        4.05        -23.0182    
   71        0.02        4.07        -23.9803    
   72        0.02        4.08        -23.9999    
   73        0.01        4.09         -24    
   74        0.01        4.10         -24    
   75        0.01        4.11         -24    
   76        0.01        4.12         -24    
   77        0.01        4.12         -24    
   78        0.01        4.13         -24    
   79        0.01        4.14         -24    
   80        0.01        4.15         -24    
   81        0.01        4.16         -24    
   82        0.01        4.17         -24    
   83        0.01        4.18         -24    
   84        0.01        4.18         -24    
   85        0.01        4.19         -24    
   86        0.01        4.20         -24    
   87        0.01        4.21         -24    
   88        0.01        4.22         -24    
   89        0.01        4.22         -24    
   90        0.01        4.23         -24    
   91        0.01        4.24         -24    
   92        0.01        4.25         -24    
   93        0.01        4.26         -24    
   94        0.01        4.26         -24    
   95        0.01        4.27         -24    
   96        0.01        4.28         -24    
   97        0.01        4.29         -24    
   98        0.01        4.30         -24    
   99        0.01        4.30         -24    
  100        0.01        4.31         -24    
  101        0.01        4.32         -24    
  102        0.01        4.33         -24    
  103        0.01        4.34         -24    
  104        0.01        4.34         -24    
  105        0.01        4.35         -24    
  106        0.01        4.36         -24    
  107        0.01        4.37         -24    
  108        0.01        4.38         -24    
  109        0.01        4.39         -24    
  110        0.01        4.39         -24    
  111        0.01        4.40         -24    
  112        0.01        4.41         -24    
  113        0.01        4.42         -24    
  114        0.01        4.43         -24    
  115        0.01        4.43         -24    
  116        0.01        4.44         -24    
  117        0.01        4.45         -24    
  118        0.01        4.46         -24    
  119        0.01        4.47         -24    
  120        0.01        4.47         -24    
    0        0.01        4.48         -24    
  121        0.00        4.48         -24    
