# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective   
    0        0.00        0.00        7.11234    
    1        0.01        0.02        3.4929    
    2        0.01        0.03        3.48549    
    3        0.01        0.04        3.41419    
    4        0.01        0.05        3.28417    
    5        0.01        0.07        3.15412    
    6        0.01        0.08        3.02149    
    7        0.01        0.09        2.88426    
    8        0.02        0.11        2.74029    
    9        0.02        0.13        2.58717    
   10        0.02        0.15        2.41489    
   11        0.02        0.16        2.21938    
   12        0.02        0.18        1.99312    
   13        0.02        0.20        1.71916    
   14        0.02        0.22        1.35074    
   15        0.02        0.25        0.88575    
   16        0.02        0.27        0.34816    
   17        0.03        0.30        -0.224385    
   18        0.03        0.33        -0.868837    
   19        0.03        0.36        -1.56955    
   20        0.04        0.39        -2.35122    
   21        0.04        0.43        -3.1913    
   22        0.04        0.48        -4.2333    
   23        0.05        0.52        -5.50537    
   24        0.05        0.57        -6.80227    
   25        0.05        0.62        -7.97746    
   26        0.05        0.67        -8.93858    
   27        0.06        0.73        -9.69079    
   28        0.06        0.78        -10.2877    
   29        0.06        0.84        -10.7582    
   30        0.06        0.90        -11.1275    
   31        0.06        0.96        -11.4163    
   32        0.06        1.02        -11.6249    
   33        0.06        1.08        -11.6716    
   34        0.06        1.14        -11.5363    
   35        0.06        1.20        -11.3489    
   36        0.06        1.26        -10.9594    
   37        0.06        1.33        -10.2347    
   38        0.07        1.39        -8.67692    
   39        0.06        1.45        -6.96168    
   40        0.06        1.51        -5.64731    
   41        0.06        1.57        -4.70839    
   42        0.07        1.63        -4.03621    
   43        0.07        1.71        -3.56102    
   44        0.07        1.78        -3.24202    
   45        0.08        1.86        -3.05771    
   46        0.08        1.95        -2.99585    
   47        0.09        2.04        -3.04073    
   48        0.11        2.15        -3.16401    
   49        0.11        2.27        -3.33291    
   50        0.12        2.39        -3.52491    
   51        0.12        2.51        -3.72987    
   52        0.12        2.62        -3.9438    
   53        0.12        2.74        -4.16336    
   54        0.12        2.86        -4.38434    
   55        0.12        2.98        -4.60432    
   56        0.12        3.10        -4.82765    
   57        0.12        3.22        -5.06928    
   58        0.12        3.34        -5.36257    
   59        0.12        3.46        -5.79419    
   60        0.12        3.58        -6.64916    
   61        0.11        3.69        -7.95333    
   62        0.09        3.79        -9.33634    
   63        0.08        3.86        -11.0666    
   64        0.06        3.92        -13.3089    
   65        0.05        3.97        -16.2135    
   66        0.04        4.01        -19.8082    
   67        0.02        4.03        -21.9058    
   68        0.02        4.05        -21.9997    
   69        0.01        4.06         -22    
   70        0.01        4.06         -22    
   71        0.01        4.07         -22    
   72        0.01        4.08         -22    
   73        0.01        4.09         -22    
   74        0.01        4.10         -22    
   75        0.01        4.10         -22    
   76        0.01        4.11         -22    
   77        0.01        4.12         -22    
   78        0.01        4.13         -22    
   79        0.01        4.14         -22    
   80        0.01        4.15         -22    
   81        0.01        4.16         -22    
   82        0.01        4.16         -22    
   83        0.01        4.17         -22    
   84        0.01        4.18         -22    
   85        0.01        4.19         -22    
   86        0.01        4.20         -22    
   87        0.01        4.20         -22    
   88        0.01        4.21         -22    
   89        0.01        4.22         -22    
   90        0.01        4.23         -22    
   91        0.01        4.24         -22    
   92        0.01        4.24         -22    
   93        0.01        4.25         -22    
   94        0.01        4.26         -22    
   95        0.01        4.27         -22    
   96        0.01        4.28         -22    
   97        0.01        4.28         -22    
   98        0.01        4.29         -22    
   99        0.01        4.30         -22    
  100        0.01        4.31         -22    
  101        0.01        4.32         -22    
  102        0.01        4.33         -22    
  103        0.01        4.33         -22    
  104        0.01        4.34         -22    
  105        0.01        4.35         -22    
  106        0.01        4.36         -22    
  107        0.01        4.37         -22    
  108        0.01        4.37         -22    
  109        0.01        4.38         -22    
  110        0.01        4.39         -22    
  111        0.01        4.40         -22    
  112        0.01        4.41         -22    
  113        0.01        4.41         -22    
    0        0.01        4.42         -22    
  114        0.00        4.42         -22    
