# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.01        0.01        215.285       0.0000      0     0
    1        0.98        0.99        300.286       7.0472      0     0
    2        0.66        1.65        195.734       3.7483      0     0
    3        0.53        2.18        175.615       3.1867      0     0
    4        0.61        2.79        119.631       1.8031      0     0
    5        1.08        3.87        31.0448       0.5741      0     0
    6        1.24        5.11        -3.53942       0.2430      0     0
    7        0.94        6.05        -14.3423       0.1486      0     0
    8        1.65        7.70        -15.8912       0.0606      0     0
    9        1.31        9.01        -13.2594       0.0319      0     0
   10        1.43        10.44        -9.56672       0.0130      0     0
   11        2.20        12.64        -6.77538       0.0031      0     0
   12        1.61        14.26        -5.94493       0.0008      0     0
   13        1.62        15.87        -5.66117       0.0001      0     0
   14        2.66        18.53        -5.64092       0.0000      0     0
   15        1.73        20.26        -5.64075       0.0000      0     0
    0        1.07        21.33        -5.64075       0.0000      0     0
    1        1.06        22.40        -5.64075       0.0000      0     0
    2        1.06        23.46        -5.64075       0.0000      0     0
    3        1.06        24.52        -5.64075       0.0000      0     0
    4        1.07        25.59        -5.64075       0.0000      0     0
    5        1.07        26.66        -5.64075       0.0000      0     0
    6        1.08        27.74        -5.64075       0.0000      0     0
    7        1.09        28.82        -5.64075       0.0000      0     0
    8        1.06        29.89        -5.64075       0.0000      0     0
    9        1.08        30.96        -5.64075       0.0000      0     0
   16        0.01        30.97        -5.64075       0.0000      0     0
