# Kona Param. Contn. convergence history (opt tol = 9.318387e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0     -----        24      2.647e+02      2.647e+02     9.3184e+00     0.0000e+00     ----------     ----------     ----------     1.0000     
      8         1       916      2.606e+02      2.589e+02     8.0974e+00     1.6506e+00      4.214e+01     3.0655e-07     1.6335e-09     0.8408632     

      9         0       977      2.602e+02      2.584e+02     7.8937e+00     1.7744e+00      4.618e+01     4.1447e-03     2.8078e-03     0.8255499     
      9         1      1039      2.602e+02      2.584e+02     7.8866e+00     1.7681e+00      4.617e+01     2.1447e-07     3.3279e-09     0.8255499     

     10         0      1100      2.598e+02      2.580e+02     7.6900e+00     1.8718e+00      4.993e+01     4.0162e-03     2.3332e-03     0.8112515     
     10         1      1162      2.598e+02      2.580e+02     7.6848e+00     1.8659e+00      4.993e+01     1.5980e-07     6.0439e-09     0.8112515     

     11         0      1223      2.594e+02      2.577e+02     7.4938e+00     1.9539e+00      5.352e+01     4.0161e-03     2.0288e-03     0.7975456     
     11         1      1286      2.594e+02      2.577e+02     7.4900e+00     1.9482e+00      5.351e+01     1.1680e-07     8.7134e-09     0.7975456     

     12         0      1348      2.590e+02      2.573e+02     7.3030e+00     2.0234e+00      5.703e+01     4.1417e-03     1.8336e-03     0.7841030     
     12         1      1411      2.590e+02      2.573e+02     7.3002e+00     2.0178e+00      5.702e+01     9.7225e-08     1.3861e-08     0.7841030     

     13         0      1474      2.586e+02      2.570e+02     7.1158e+00     2.0821e+00      6.053e+01     4.4042e-03     1.7143e-03     0.7706399     
     13         1      1537      2.586e+02      2.570e+02     7.1138e+00     2.0764e+00      6.053e+01     8.2798e-08     1.8473e-08     0.7706399     

     14         0      1601      2.583e+02      2.567e+02     6.9310e+00     2.1307e+00      6.411e+01     4.8308e-03     1.6524e-03     0.7568852     
     14         1      1664      2.582e+02      2.567e+02     6.9297e+00     2.1249e+00      6.411e+01     9.0959e-08     2.8702e-08     0.7568852     

     15         0      1728      2.578e+02      2.564e+02     6.7478e+00     2.1694e+00      6.783e+01     5.4717e-03     1.6381e-03     0.7425537     
     15         1      1791      2.578e+02      2.564e+02     6.7470e+00     2.1632e+00      6.783e+01     1.3222e-07     4.5067e-08     0.7425537     

     16         0      1855      2.574e+02      2.560e+02     6.5656e+00     2.1977e+00      7.178e+01     6.4124e-03     1.6675e-03     0.7273173     
     16         1      1919      2.574e+02      2.560e+02     6.5655e+00     2.1910e+00      7.177e+01     2.2599e-07     7.7530e-08     0.7273173     

     17         0      1983      2.569e+02      2.557e+02     6.3848e+00     2.2143e+00      7.606e+01     7.7996e-03     1.7415e-03     0.7107677     
     17         1      2046      2.569e+02      2.557e+02     6.3854e+00     2.2069e+00      7.606e+01     3.7569e-07     1.2889e-07     0.7107677     

     18         0      2112      2.563e+02      2.552e+02     6.2068e+00     2.2167e+00      8.082e+01     9.8923e-03     1.8667e-03     0.6923608     
     18         1      2175      2.563e+02      2.552e+02     6.2081e+00     2.2083e+00      8.082e+01     7.3500e-07     2.4805e-07     0.6923608     

     19         0      2238      2.556e+02      2.547e+02     6.0347e+00     2.2010e+00      8.626e+01     1.3171e-02     2.0610e-03     0.6713252     
     19         1      2301      2.556e+02      2.547e+02     6.0367e+00     2.1912e+00      8.626e+01     1.3602e-06     4.5249e-07     0.6713252     

     20         0      2364      2.547e+02      2.540e+02     5.8745e+00     2.1606e+00      9.268e+01     1.8581e-02     2.3737e-03     0.6465045     
     20         1      2435      2.547e+02      2.540e+02     5.8771e+00     2.1490e+00      9.268e+01     2.1594e-06     6.3359e-07     0.6465045     

     21         0      2500      2.536e+02      2.531e+02     5.7372e+00     2.0851e+00      1.006e+02     2.8085e-02     2.9665e-03     0.6160912     
     21         1      2571      2.535e+02      2.531e+02     5.7396e+00     2.0713e+00      1.006e+02     5.3512e-06     1.3961e-06     0.6160912     

     22         0      2635      2.520e+02      2.517e+02     5.6412e+00     1.9582e+00      1.107e+02     4.5770e-02     4.3788e-03     0.5772844     
     22         1      2707      2.519e+02      2.516e+02     5.6408e+00     1.9424e+00      1.107e+02     1.4941e-05     3.3233e-06     0.5772844     

     23         0      2785      2.496e+02      2.495e+02     5.6107e+00     1.7602e+00      1.239e+02     7.8110e-02     7.8790e-03     0.5266056     
     23         1      2864      2.493e+02      2.493e+02     5.6015e+00     1.7448e+00      1.240e+02     4.5225e-05     3.0041e-06     0.5266056     

     24         0      2942      2.458e+02      2.460e+02     5.6494e+00     1.4910e+00      1.405e+02     1.2327e-01     1.3749e-02     0.4636228     
     24         1      3040      2.453e+02      2.455e+02     5.6264e+00     1.4820e+00      1.408e+02     1.1989e-04     3.4095e-07     0.4636228     

     25         0      3117      2.403e+02      2.405e+02     5.7115e+00     1.1928e+00      1.591e+02     1.6603e-01     1.7989e-02     0.3937983     
     25         1      3211      2.394e+02      2.396e+02     5.6819e+00     1.1934e+00      1.596e+02     2.3244e-04     1.0096e-06     0.3937983     

     26         0      3303      2.316e+02      2.318e+02     5.7629e+00     8.8808e-01      1.792e+02     2.4415e-01     2.1090e-02     0.3174000     
     26         1      3409      2.297e+02      2.300e+02     5.7315e+00     8.9603e-01      1.805e+02     5.3005e-04     5.0273e-06     0.3174000     

     27         0      3517      2.201e+02      2.202e+02     5.7631e+00     6.6578e-01      1.959e+02     2.2772e-01     1.3388e-02     0.2553612     
     27         1      3619      2.178e+02      2.179e+02     5.7451e+00     6.7399e-01      1.976e+02     5.1050e-04     9.9202e-06     0.2553612     

