# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective   
    0        0.01        0.01        -3.5286    
    1        0.01        0.02        -5.46979    
    2        0.01        0.02        -5.47813    
    3        0.01        0.03        -5.50952    
    4        0.01        0.04        -5.6572    
    5        0.01        0.05        -5.80397    
    6        0.01        0.06        -5.9537    
    7        0.01        0.08        -6.11442    
    8        0.01        0.09        -6.27624    
    9        0.01        0.10        -6.45183    
   10        0.01        0.11        -6.63809    
   11        0.01        0.12        -6.83095    
   12        0.01        0.13        -7.02672    
   13        0.01        0.14        -7.24509    
   14        0.01        0.15        -7.51018    
   15        0.01        0.17        -7.83356    
   16        0.01        0.18        -8.21706    
   17        0.02        0.20        -8.64006    
   18        0.02        0.21        -9.10623    
   19        0.02        0.23        -9.62308    
   20        0.02        0.25        -10.1705    
   21        0.02        0.26        -10.7026    
   22        0.02        0.28        -11.2792    
   23        0.02        0.30        -11.9567    
   24        0.02        0.32        -12.9126    
   25        0.02        0.35        -13.7669    
   26        0.02        0.37        -14.3912    
   27        0.02        0.39        -14.809    
   28        0.02        0.42        -15.0336    
   29        0.02        0.44        -15.0765    
   30        0.02        0.47        -15.0183    
   31        0.02        0.49        -14.7899    
   32        0.02        0.51        -14.4654    
   33        0.02        0.54        -13.9353    
   34        0.02        0.56        -13.2415    
   35        0.02        0.58        -12.1139    
   36        0.02        0.60        -10.884    
   37        0.02        0.63        -9.17835    
   38        0.02        0.65        -7.4148    
   39        0.03        0.68        -6.05411    
   40        0.03        0.71        -5.07346    
   41        0.03        0.75        -4.35117    
   42        0.03        0.78        -3.85447    
   43        0.04        0.82        -3.51425    
   44        0.03        0.85        -3.3163    
   45        0.04        0.89        -3.24048    
   46        0.03        0.92        -3.27547    
   47        0.05        0.97        -3.42813    
   48        0.06        1.03        -3.60689    
   49        0.06        1.09        -3.79172    
   50        0.06        1.15        -4.01786    
   51        0.07        1.22        -4.27501    
   52        0.08        1.31        -4.50223    
   53        0.08        1.39        -4.71051    
   54        0.09        1.48        -5.02335    
   55        0.09        1.57        -5.32691    
   56        0.10        1.67        -5.52817    
   57        0.10        1.77        -5.86212    
   58        0.11        1.88        -6.15018    
   59        0.10        1.98        -6.55926    
   60        0.09        2.07        -7.12205    
   61        0.07        2.14        -8.31723    
   62        0.06        2.20        -10.2049    
   63        0.05        2.25        -11.8969    
   64        0.04        2.29        -14.1985    
   65        0.03        2.32        -17.1195    
   66        0.02        2.34        -21.3934    
   67        0.03        2.37        -26.0772    
   68        0.02        2.39        -27.468    
   69        0.02        2.40        -27.4999    
   70        0.01        2.41        -27.5    
   71        0.01        2.42        -27.5    
   72        0.01        2.43        -27.5    
   73        0.01        2.43        -27.5    
   74        0.01        2.44        -27.5    
   75        0.01        2.45        -27.5    
   76        0.01        2.46        -27.5    
   77        0.01        2.47        -27.5    
   78        0.01        2.48        -27.5    
   79        0.01        2.49        -27.5    
   80        0.01        2.49        -27.5    
   81        0.01        2.50        -27.5    
   82        0.01        2.51        -27.5    
   83        0.01        2.52        -27.5    
   84        0.01        2.53        -27.5    
   85        0.01        2.54        -27.5    
   86        0.01        2.54        -27.5    
   87        0.01        2.55        -27.5    
   88        0.01        2.56        -27.5    
   89        0.01        2.57        -27.5    
   90        0.01        2.58        -27.5    
   91        0.01        2.58        -27.5    
   92        0.01        2.59        -27.5    
   93        0.01        2.60        -27.5    
   94        0.01        2.61        -27.5    
   95        0.01        2.62        -27.5    
   96        0.01        2.63        -27.5    
   97        0.01        2.63        -27.5    
   98        0.01        2.64        -27.5    
   99        0.01        2.65        -27.5    
  100        0.01        2.66        -27.5    
  101        0.01        2.67        -27.5    
  102        0.01        2.67        -27.5    
  103        0.01        2.68        -27.5    
  104        0.01        2.69        -27.5    
  105        0.01        2.70        -27.5    
  106        0.01        2.71        -27.5    
  107        0.01        2.72        -27.5    
  108        0.01        2.72        -27.5    
  109        0.01        2.73        -27.5    
  110        0.01        2.74        -27.5    
  111        0.01        2.75        -27.5    
  112        0.01        2.76        -27.5    
  113        0.01        2.77        -27.5    
  114        0.01        2.77        -27.5    
  115        0.01        2.78        -27.5    
  116        0.01        2.79        -27.5    
  117        0.01        2.80        -27.5    
  118        0.01        2.81        -27.5    
  119        0.01        2.81        -27.5    
  120        0.01        2.82        -27.5    
  121        0.01        2.83        -27.5    
  122        0.01        2.84        -27.5    
  123        0.01        2.85        -27.5    
  124        0.01        2.86        -27.5    
    0        0.01        2.86        -27.5    
  125        0.00        2.86        -27.5    
