# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.03        0.03        43.1493       0.0000      0     0
    1        0.25        0.28        70.6846       7.0970      0     0
    2        0.27        0.55        34.509       1.7631      0     0
    3        0.18        0.73        30.8768       1.4742      0     0
    4        0.30        1.03        12.6006       0.4557      0     0
    5        0.33        1.36        7.3656       0.2002      0     0
    6        0.33        1.69        6.58175       0.0966      0     0
    7        0.28        1.97        7.74949       0.0399      0     0
    8        0.37        2.34        9.51352       0.0062      0     0
    9        0.37        2.71        9.99596       0.0002      0     0
   10        0.36        3.08        10.0101       0.0000      0     0
   11        0.37        3.45        10.0121       0.0000      0     0
   12        0.18        3.63        10.0121       0.0000      0     0
   13        0.19        3.82        10.0122       0.0000      0     0
   14        0.19        4.01        10.0122       0.0000      0     0
   15        0.01        4.01        10.0122       0.0000      0     0
