# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective   
    0        0.00        0.00        15.6028    
    1        0.02        0.02        7.32109    
    2        0.02        0.04        7.22281    
    3        0.02        0.06        7.07854    
    4        0.02        0.07        6.93042    
    5        0.02        0.09        6.78118    
    6        0.02        0.11        6.60226    
    7        0.02        0.12        6.39813    
    8        0.02        0.14        6.17434    
    9        0.02        0.16        5.92562    
   10        0.02        0.18        5.64529    
   11        0.02        0.19        5.32489    
   12        0.02        0.21        4.9262    
   13        0.02        0.23        4.4074    
   14        0.02        0.26        3.7241    
   15        0.03        0.28        2.79726    
   16        0.03        0.32        1.33286    
   17        0.03        0.34        -0.518624    
   18        0.03        0.38        -3.21927    
   19        0.04        0.41        -5.74224    
   20        0.04        0.45        -7.2351    
   21        0.04        0.49        -8.21668    
   22        0.04        0.53        -8.89941    
   23        0.04        0.57        -9.17006    
   24        0.04        0.61        -9.02124    
   25        0.04        0.65        -8.12739    
   26        0.04        0.69        -6.69284    
   27        0.03        0.72        -5.36237    
   28        0.03        0.75        -4.40842    
   29        0.03        0.79        -3.72199    
   30        0.03        0.82        -3.2104    
   31        0.04        0.85        -2.86385    
   32        0.04        0.89        -2.63005    
   33        0.04        0.92        -2.50651    
   34        0.04        0.96        -2.48612    
   35        0.05        1.01        -2.56393    
   36        0.05        1.07        -2.76156    
   37        0.06        1.13        -2.91964    
   38        0.06        1.19        -3.1284    
   39        0.06        1.25        -3.30441    
   40        0.07        1.32        -3.52618    
   41        0.07        1.39        -3.70641    
   42        0.07        1.46        -3.96468    
   43        0.11        1.57        -4.25926    
   44        0.11        1.68        -4.54109    
   45        0.13        1.80        -4.89107    
   46        0.11        1.91        -5.30159    
   47        0.07        1.99        -5.90878    
   48        0.07        2.06        -7.10639    
   49        0.05        2.10        -8.76268    
   50        0.04        2.15        -10.534    
   51        0.04        2.19        -12.6413    
   52        0.03        2.22        -15.6873    
   53        0.03        2.25        -18.8472    
   54        0.03        2.28        -19.9704    
   55        0.03        2.30        -19.9999    
   56        0.01        2.32         -20    
   57        0.01        2.33         -20    
   58        0.01        2.34         -20    
   59        0.01        2.36         -20    
   60        0.01        2.37         -20    
   61        0.01        2.38         -20    
   62        0.01        2.40         -20    
   63        0.01        2.41         -20    
   64        0.01        2.42         -20    
   65        0.01        2.44         -20    
   66        0.01        2.45         -20    
   67        0.01        2.46         -20    
   68        0.01        2.48         -20    
   69        0.01        2.49         -20    
   70        0.01        2.50         -20    
   71        0.01        2.52         -20    
   72        0.01        2.53         -20    
   73        0.01        2.54         -20    
   74        0.01        2.55         -20    
   75        0.01        2.57         -20    
   76        0.01        2.58         -20    
   77        0.01        2.59         -20    
   78        0.01        2.61         -20    
   79        0.01        2.62         -20    
   80        0.01        2.63         -20    
   81        0.01        2.65         -20    
   82        0.01        2.66         -20    
   83        0.01        2.67         -20    
   84        0.01        2.69         -20    
   85        0.01        2.70         -20    
   86        0.01        2.71         -20    
   87        0.02        2.73         -20    
   88        0.01        2.74         -20    
   89        0.01        2.75         -20    
   90        0.01        2.77         -20    
   91        0.01        2.78         -20    
   92        0.01        2.79         -20    
   93        0.01        2.81         -20    
   94        0.01        2.82         -20    
   95        0.01        2.83         -20    
    0        0.01        2.84         -20    
   96        0.00        2.84         -20    
