# SNOPT iteration timing history
# nCon    Cost    Time (s)    Total Time (s) 
    1     18434      560.79      560.79     
    2     36881      554.08      1114.88     
    3     55315      552.46      1667.34     
    4     73750      552.06      2219.40     
    5     92168      552.16      2771.56     
    6     109844      530.17      3301.73     
    7     128232      551.00      3852.72     
    8     147408      573.70      4426.42     
    9     165826      551.90      4978.33     
   10     187863      652.63      5630.96     
   11     207039      572.40      6203.35     
   12     231483      718.34      6921.70     
   13     256526      735.43      7657.12     
   14     280963      720.54      8377.67     
   15     304742      705.14      9082.80     
   16     327231      669.93      9752.73     
   17     349627      666.42      10419.15     
   18     372123      673.15      11092.30     
   19     394633      672.55      11764.85     
   20     417106      669.98      12434.83     
   21     439549      669.99      13104.82     
   22     461846      664.58      13769.40     
   23     484232      674.16      14443.56     
   24     506500      663.94      15107.51     
   25     528068      644.15      15751.65     
   26     549853      647.30      16398.95     
   27     571786      653.91      17052.87     
   28     593668      649.35      17702.21     
   29     615579      650.92      18353.13     
   30     637610      653.90      19007.03     
   31     659702      656.44      19663.48     
   32     681985      662.93      20326.41     
   33     704301      663.25      20989.66     
   34     726629      662.05      21651.71     
   35     748979      663.43      22315.15     
   36     771358      662.79      22977.94     
   37     793720      662.52      23640.46     
   38     816012      661.87      24302.34     
   39     838334      660.90      24963.24     
