# Kona Param. Contn. convergence history (opt tol = 4.772971e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
     22         1      3278      1.271e+01      1.146e+01     7.4028e-01     3.0033e+00      4.526e+01     7.9291e-01     2.9827e+00     8.052484e-03          

     23         0      3685      1.361e+01      1.274e+01     7.6387e-01     8.2544e-01      3.256e+01     9.2828e-01     8.2679e-01     4.772562e-03          
     23         1      3893      1.385e+01      1.372e+01     5.5581e-01     1.8166e-01      3.350e+01     2.2781e-01     1.8470e-01     4.772562e-03          

     24         0      4303      1.326e+01      1.306e+01     4.0269e-01     1.2994e-01      2.974e+01     2.8599e-01     1.3623e-01     4.006825e-03          
     24         1      4511      1.323e+01      1.308e+01     4.2247e-01     8.3340e-02      2.977e+01     1.2222e-01     9.0924e-02     4.006825e-03          

     25         0      4920      1.272e+01      1.255e+01     3.0971e-01     1.0227e-01      2.626e+01     2.3393e-01     1.0738e-01     3.273714e-03          
     25         1      5130      1.270e+01      1.255e+01     3.4132e-01     7.8455e-02      2.626e+01     1.0143e-01     8.4570e-02     3.273714e-03          

     26         0      5542      1.224e+01      1.210e+01     2.7714e-01     8.9843e-02      2.426e+01     1.9356e-01     9.4531e-02     2.892565e-03          
     26         1      5752      1.229e+01      1.217e+01     2.9657e-01     6.4225e-02      2.433e+01     8.1187e-02     6.9413e-02     2.892565e-03          

     27         0      6170      1.216e+01      1.201e+01     2.2643e-01     7.6059e-02      2.110e+01     1.7769e-01     8.0280e-02     2.159688e-03          
     27         1      6378      1.223e+01      1.215e+01     2.5168e-01     4.9314e-02      2.123e+01     1.0128e-01     5.2823e-02     2.159688e-03          

     28         0      6795      1.218e+01      1.203e+01     2.0549e-01     7.8692e-02      1.515e+01     1.8927e-01     7.9997e-02     7.406401e-04          
     28         1      7000      1.218e+01      1.207e+01     1.9275e-01     6.8918e-02      1.519e+01     1.5098e-01     7.0081e-02     7.406401e-04          

     29         0      7418      1.208e+01      1.197e+01     1.7912e-01     7.9798e-02      1.373e+01     1.6309e-01     8.0347e-02     4.168746e-04          
     29         1      7626      1.208e+01      1.197e+01     1.7523e-01     7.7026e-02      1.373e+01     1.5411e-01     7.7593e-02     4.168746e-04          

     30         0      8045      1.203e+01      1.191e+01     1.7386e-01     8.3868e-02      1.249e+01     1.6884e-01     8.4050e-02     1.364790e-04          
     30         1      8253      1.203e+01      1.191e+01     1.6681e-01     8.2569e-02      1.248e+01     1.6056e-01     8.2756e-02     1.364790e-04          

     31         0      8674      1.197e+01      1.185e+01     1.6856e-01     8.8190e-02      1.185e+01     1.6856e-01     8.8190e-02     0.000000e+00          
     31         1      8882      1.198e+01      1.185e+01     1.6139e-01     8.5874e-02      1.185e+01     1.6139e-01     8.5874e-02     0.000000e+00          
     31         2      9088      1.191e+01      1.180e+01     1.5589e-01     9.1277e-02      1.180e+01     1.5589e-01     9.1277e-02     0.000000e+00          
     31         3      9294      1.188e+01      1.178e+01     1.5535e-01     8.6824e-02      1.178e+01     1.5535e-01     8.6824e-02     0.000000e+00          
     31         4      9508      1.187e+01      1.176e+01     1.5436e-01     8.6688e-02      1.176e+01     1.5436e-01     8.6688e-02     0.000000e+00          
     31         5      9710      1.180e+01      1.171e+01     1.5185e-01     8.6037e-02      1.171e+01     1.5185e-01     8.6037e-02     0.000000e+00          
     31         6      9919      1.179e+01      1.169e+01     1.5022e-01     8.2632e-02      1.169e+01     1.5022e-01     8.2632e-02     0.000000e+00          
     31         7     10132      1.178e+01      1.168e+01     1.4813e-01     8.4977e-02      1.168e+01     1.4813e-01     8.4977e-02     0.000000e+00          
     31         8     10340      1.177e+01      1.168e+01     1.4844e-01     8.3817e-02      1.168e+01     1.4844e-01     8.3817e-02     0.000000e+00          
     31         9     10549      1.163e+01      1.156e+01     1.4490e-01     7.9213e-02      1.156e+01     1.4490e-01     7.9213e-02     0.000000e+00          
