# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective   
    0        0.01        0.01        20.3063    
    1        0.01        0.02        6.38675    
    2        0.01        0.03        6.37886    
    3        0.01        0.04        6.30231    
    4        0.01        0.05        6.1653    
    5        0.01        0.06        6.03547    
    6        0.01        0.07        5.9032    
    7        0.01        0.08        5.75723    
    8        0.02        0.10        5.60341    
    9        0.01        0.11        5.4389    
   10        0.01        0.13        5.2669    
   11        0.01        0.14        5.0838    
   12        0.01        0.15        4.88085    
   13        0.01        0.17        4.6613    
   14        0.02        0.18        4.37971    
   15        0.02        0.20        4.00445    
   16        0.02        0.22        3.56622    
   17        0.02        0.23        3.00884    
   18        0.02        0.25        2.29545    
   19        0.02        0.27        1.45186    
   20        0.02        0.30        0.329437    
   21        0.02        0.32        -0.973003    
   22        0.02        0.34        -2.42265    
   23        0.03        0.37        -4.08266    
   24        0.03        0.40        -5.83971    
   25        0.03        0.43        -7.32406    
   26        0.03        0.47        -8.51055    
   27        0.03        0.50        -9.42058    
   28        0.03        0.53        -10.0595    
   29        0.03        0.57        -10.4363    
   30        0.03        0.60        -10.5606    
   31        0.03        0.63        -10.4267    
   32        0.03        0.67        -10.1142    
   33        0.03        0.70        -9.60446    
   34        0.03        0.73        -8.7504    
   35        0.03        0.76        -7.45841    
   36        0.03        0.79        -6.04158    
   37        0.03        0.82        -4.88767    
   38        0.03        0.86        -4.06198    
   39        0.03        0.89        -3.47086    
   40        0.03        0.92        -3.05263    
   41        0.04        0.96        -2.77104    
   42        0.04        1.00        -2.607    
   43        0.04        1.03        -2.55296    
   44        0.04        1.08        -2.59831    
   45        0.05        1.13        -2.72513    
   46        0.06        1.18        -2.89361    
   47        0.06        1.25        -3.08777    
   48        0.07        1.31        -3.29731    
   49        0.08        1.40        -3.5188    
   50        0.10        1.49        -3.74803    
   51        0.10        1.59        -3.97423    
   52        0.10        1.69        -4.18744    
   53        0.17        1.86        -4.38277    
   54        0.17        2.04        -4.55482    
   55        0.18        2.22        -4.72007    
   56        0.18        2.40        -4.88888    
   57        0.18        2.58        -5.06512    
   58        0.18        2.75        -5.24369    
   59        0.18        2.93        -5.41563    
   60        0.18        3.11        -5.63083    
   61        0.11        3.22        -6.14833    
   62        0.08        3.30        -6.96778    
   63        0.07        3.37        -7.77541    
   64        0.05        3.42        -8.8665    
   65        0.04        3.47        -10.2857    
   66        0.04        3.51        -12.1918    
   67        0.03        3.54        -14.7079    
   68        0.02        3.57        -17.9563    
   69        0.02        3.59        -21.7874    
   70        0.02        3.60        -22.9697    
   71        0.02        3.62        -22.9999    
   72        0.01        3.63         -23    
   73        0.01        3.64         -23    
   74        0.01        3.64         -23    
   75        0.01        3.65         -23    
   76        0.01        3.66         -23    
   77        0.01        3.67         -23    
   78        0.01        3.68         -23    
   79        0.01        3.69         -23    
   80        0.01        3.69         -23    
   81        0.01        3.70         -23    
   82        0.01        3.71         -23    
   83        0.01        3.72         -23    
   84        0.01        3.73         -23    
   85        0.01        3.73         -23    
   86        0.01        3.74         -23    
   87        0.01        3.75         -23    
   88        0.01        3.76         -23    
   89        0.01        3.77         -23    
   90        0.01        3.77         -23    
   91        0.01        3.78         -23    
   92        0.01        3.79         -23    
   93        0.01        3.80         -23    
   94        0.01        3.81         -23    
   95        0.01        3.81         -23    
   96        0.01        3.82         -23    
   97        0.01        3.83         -23    
   98        0.01        3.84         -23    
   99        0.01        3.85         -23    
  100        0.01        3.86         -23    
  101        0.01        3.86         -23    
  102        0.01        3.87         -23    
  103        0.01        3.88         -23    
  104        0.01        3.89         -23    
  105        0.01        3.90         -23    
  106        0.01        3.90         -23    
  107        0.01        3.91         -23    
  108        0.01        3.92         -23    
  109        0.01        3.93         -23    
  110        0.01        3.94         -23    
  111        0.01        3.94         -23    
  112        0.01        3.95         -23    
  113        0.01        3.96         -23    
  114        0.01        3.97         -23    
  115        0.01        3.98         -23    
  116        0.01        3.98         -23    
  117        0.01        3.99         -23    
    0        0.01        4.00         -23    
  118        0.00        4.00         -23    
