#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 6.342510e+01
# initial gradient norm     = 4.776911e+00
# initial constraint norm   = 6.324495e+01
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.000000e+00
      1     9.999159e-01     9.998334e-01     9.999163e-01     9.995453e-01     -2.947658e-01     1.254736e-01     1.000000e+00
      2     1.473065e-01     1.665774e+00     7.741580e-02     2.152797e-01     -4.411912e+01     1.895443e+03     1.000000e+00
      3     7.806352e-02     9.314607e-01     3.433744e-02     2.268177e-01     -3.426110e+01     1.903533e+03     1.000000e+00
      4     4.334643e-02     5.755223e-01     2.132218e-04     2.268345e-01     -3.550444e+01     1.903561e+03     1.000000e+00
      5     4.135441e-05     5.120596e-04     1.497026e-05     2.268345e-01     5.312816e+02     1.903561e+03     1.000000e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS resolving at new radius
      5     4.643126e-05     5.120596e-04     1.497026e-05     6.061269e-01     5.312816e+02     1.262879e+03     1.000000e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 4.748539e-04
# initial residual norm     = 1.755847e+01
# initial gradient norm     = 1.699889e+01
# initial constraint norm   = 4.397438e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.023293e+00
      1     9.212840e-01     8.885442e-01     1.316889e+00     1.153915e+00     -2.150222e+01     6.640546e-01     1.023293e+00
      2     3.629115e-01     3.076003e-01     8.281900e-01     1.377226e+00     -7.549319e+00     3.418717e+01     1.023293e+00
      3     2.723515e-01     2.763944e-01     2.025416e-01     1.148473e+00     -1.312404e+01     2.591266e+02     1.023293e+00
      4     2.684954e-01     2.767508e-01     6.947783e-02     1.144593e+00     -9.281446e+00     2.592220e+02     1.023293e+00
      5     1.775611e-01     1.824987e-01     7.043922e-02     1.144563e+00     -1.185039e+03     2.592228e+02     1.023293e+00
      6     1.774316e-01     1.823586e-01     7.065813e-02     1.144540e+00     -1.186020e+03     2.592234e+02     1.023293e+00
      7     1.693879e-01     1.719777e-01     1.244237e-01     1.144537e+00     -1.232137e+03     2.592234e+02     1.023293e+00
      8     4.225208e-02     2.550428e-02     1.369024e-01     1.144531e+00     -1.464795e+03     2.592235e+02     1.023293e+00
      9     4.153716e-02     2.472108e-02     1.355546e-01     1.144531e+00     -1.464860e+03     2.592235e+02     1.023293e+00
     10     1.162626e-03     8.831945e-04     3.145505e-03     1.144531e+00     -1.465939e+03     2.592235e+02     1.023293e+00
     11     1.857297e-04     1.749670e-04     3.041477e-04     1.144531e+00     -1.465940e+03     2.592235e+02     1.023293e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS resolving at new radius
     11     2.147091e-04     1.749670e-04     3.041477e-04     8.998699e-01     -1.465940e+03     1.292383e+02     1.023293e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 4.511112e-04
# initial residual norm     = 2.453441e+02
# initial gradient norm     = 2.450640e+02
# initial constraint norm   = 1.171979e+01
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.047129e+00
      1     3.692826e-01     2.263055e-01     6.113075e+00     3.107125e+00     -1.480896e+03     2.277276e+02     1.047129e+00
      2     3.677968e-01     2.446850e-01     5.753673e+00     6.433847e+00     -1.409364e+03     8.486477e+02     1.047129e+00
      3     1.032493e-01     7.084734e-02     1.573898e+00     6.660950e+00     -7.329132e+02     2.874212e+03     1.047129e+00
      4     6.232086e-02     5.837759e-02     4.604199e-01     6.652589e+00     -4.543820e+02     2.876664e+03     1.047129e+00
      5     3.070474e-02     2.838768e-02     2.465965e-01     6.652580e+00     -3.302695e+02     2.876672e+03     1.047129e+00
      6     5.110855e-03     4.770286e-03     3.869783e-02     6.652560e+00     -3.722906e+02     2.876677e+03     1.047129e+00
      7     1.261319e-03     1.122932e-03     1.207717e-02     6.652555e+00     -3.729629e+02     2.876678e+03     1.047129e+00
      8     7.471001e-04     4.918762e-04     1.178221e-02     6.652558e+00     -3.729908e+02     2.876682e+03     1.047129e+00
      9     3.720667e-04     3.659932e-04     1.448589e-03     6.652549e+00     -3.729956e+02     2.876686e+03     1.047129e+00
     10     3.566827e-04     3.499289e-04     1.487904e-03     6.652547e+00     -3.729973e+02     2.876687e+03     1.047129e+00
     11     3.479630e-04     3.424172e-04     1.339832e-03     6.652547e+00     -3.729973e+02     2.876687e+03     1.047129e+00
     12     1.080353e-04     9.475143e-05     1.090643e-03     6.652547e+00     -3.729998e+02     2.876688e+03     1.047129e+00
     13     6.685880e-05     3.900885e-05     1.137379e-03     6.652547e+00     -3.730001e+02     2.876688e+03     1.047129e+00
     14     1.362195e-05     1.273714e-05     1.018976e-04     6.652547e+00     -3.730002e+02     2.876688e+03     1.047129e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS resolving at new radius
     14     1.526247e-05     1.273714e-05     1.018976e-04     5.006716e+00     -3.730002e+02     1.210406e+03     1.047129e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS resolving at new radius
     14     1.526247e-05     1.273714e-05     1.018976e-04     4.094116e+00     -3.730002e+02     7.122528e+02     1.047129e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS resolving at new radius
     14     1.526247e-05     1.273714e-05     1.018976e-04     3.154023e+00     -3.730002e+02     4.850242e+02     1.047129e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 4.243949e-04
# initial residual norm     = 6.219954e+01
# initial gradient norm     = 4.620944e+01
# initial constraint norm   = 4.163496e+01
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.071519e+00
      1     4.452793e-01     2.476381e-01     6.057799e-01     6.049909e-01     -1.372785e+02     4.719300e+02     1.071519e+00
      2     3.199106e-01     1.666452e-01     4.406833e-01     7.405467e-02     -1.244040e+02     8.134485e+02     1.071519e+00
      3     1.850142e-01     1.486316e-01     2.217726e-01     8.499980e-02     -1.040158e+02     8.477460e+02     1.071519e+00
      4     5.198746e-02     6.990316e-02     3.565731e-03     8.419547e-02     -1.245305e+02     8.478702e+02     1.071519e+00
      5     5.174097e-02     6.954941e-02     4.051923e-03     8.419526e-02     -1.264599e+02     8.478703e+02     1.071519e+00
      6     2.901506e-02     3.750646e-02     1.208596e-02     8.416930e-02     -2.844119e+02     8.478738e+02     1.071519e+00
      7     2.842436e-02     3.668742e-02     1.204990e-02     8.416821e-02     -2.857308e+02     8.478739e+02     1.071519e+00
      8     2.025816e-02     2.341546e-02     1.550927e-02     8.415803e-02     -2.977614e+02     8.478750e+02     1.071519e+00
      9     1.919677e-02     2.242830e-02     1.424153e-02     8.415740e-02     -2.985590e+02     8.478750e+02     1.071519e+00
     10     1.574473e-02     1.926509e-02     9.801974e-03     8.415720e-02     -3.004743e+02     8.478751e+02     1.071519e+00
     11     9.822193e-03     1.147920e-02     7.279877e-03     8.415719e-02     -3.018265e+02     8.478751e+02     1.071519e+00
     12     3.413751e-04     4.333061e-04     1.697370e-04     8.415719e-02     -3.020590e+02     8.478751e+02     1.071519e+00
     13     3.409316e-04     4.323175e-04     1.708490e-04     8.415719e-02     -3.020590e+02     8.478751e+02     1.071519e+00
     14     2.581115e-04     3.167907e-04     1.583244e-04     8.415719e-02     -3.020590e+02     8.478751e+02     1.071519e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 3.504207e-04
# initial residual norm     = 4.791298e+01
# initial gradient norm     = 4.670043e+01
# initial constraint norm   = 1.071092e+01
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.096478e+00
      1     8.121954e-01     6.996824e-01     1.973176e+00     9.838750e-01     -1.129327e+02     6.968523e-02     1.096478e+00
      2     2.215811e-01     1.260779e-01     8.247955e-01     4.533536e-01     -3.029362e+01     4.002396e+01     1.096478e+00
      3     1.534848e-01     1.044669e-01     5.137394e-01     5.633059e-01     -3.577700e+01     1.675396e+02     1.096478e+00
      4     8.789946e-02     9.005869e-02     2.053225e-02     5.605032e-01     -3.783870e+01     1.677254e+02     1.096478e+00
      5     8.107127e-02     8.102656e-02     8.191663e-02     5.604977e-01     -7.573971e+01     1.677256e+02     1.096478e+00
      6     3.095906e-02     1.899791e-02     1.109861e-01     5.598858e-01     -1.776496e+02     1.677642e+02     1.096478e+00
      7     2.950132e-02     1.783592e-02     1.066206e-01     5.595600e-01     -1.780317e+02     1.677813e+02     1.096478e+00
      8     1.570332e-02     7.405959e-03     6.238382e-02     5.583911e-01     -1.798729e+02     1.678475e+02     1.096478e+00
      9     1.382630e-02     7.589224e-03     5.225298e-02     5.583612e-01     -1.799276e+02     1.678494e+02     1.096478e+00
     10     1.097955e-02     7.909525e-03     3.497077e-02     5.581666e-01     -1.799823e+02     1.678589e+02     1.096478e+00
     11     9.624237e-03     7.074126e-03     3.003554e-02     5.581629e-01     -1.799979e+02     1.678590e+02     1.096478e+00
     12     7.536423e-04     4.528703e-04     2.732494e-03     5.581629e-01     -1.800148e+02     1.678590e+02     1.096478e+00
     13     6.535588e-04     3.958154e-04     2.359838e-03     5.581629e-01     -1.800148e+02     1.678590e+02     1.096478e+00
     14     3.119888e-04     2.086530e-04     1.058352e-03     5.581629e-01     -1.800150e+02     1.678590e+02     1.096478e+00
     15     2.865138e-04     1.976709e-04     9.486006e-04     5.581628e-01     -1.800150e+02     1.678590e+02     1.096478e+00
     16     1.489666e-04     1.470657e-04     1.813522e-04     5.581628e-01     -1.800150e+02     1.678590e+02     1.096478e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS resolving at new radius
     16     1.596189e-04     1.470657e-04     1.813522e-04     5.109886e-01     -1.800150e+02     9.647593e+01     1.096478e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 2.537178e-04
# initial residual norm     = 3.684140e+01
# initial gradient norm     = 3.583918e+01
# initial constraint norm   = 8.534751e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.122018e+00
      1     8.235894e-01     7.451001e-01     1.688019e+00     8.247195e-01     -6.337173e+01     3.639226e+00     1.122018e+00
      2     1.950685e-01     1.071743e-01     7.116797e-01     3.824984e-01     -2.121309e+01     3.004085e+01     1.122018e+00
      3     1.782759e-01     1.051206e-01     6.303619e-01     6.967725e-01     -2.471728e+01     8.670964e+01     1.122018e+00
      4     8.987340e-02     9.130234e-02     5.926329e-02     6.683052e-01     -2.615050e+01     8.826411e+01     1.122018e+00
      5     8.784303e-02     9.000530e-02     3.058429e-02     6.058498e-01     -2.706081e+01     9.175764e+01     1.122018e+00
      6     8.563138e-02     8.707205e-02     5.427161e-02     5.198148e-01     -1.274612e+01     9.554832e+01     1.122018e+00
      7     8.422488e-02     8.502919e-02     6.850802e-02     5.182873e-01     -2.231338e+00     9.560453e+01     1.122018e+00
      8     8.412692e-02     8.502221e-02     6.638527e-02     4.937992e-01     -2.883789e+00     9.645351e+01     1.122018e+00
      9     8.169564e-02     8.071036e-02     9.744622e-02     4.936076e-01     1.733941e+01     9.645967e+01     1.122018e+00
     10     7.137023e-02     6.411935e-02     1.497232e-01     4.932121e-01     8.229279e+01     9.647476e+01     1.122018e+00
     11     6.482215e-02     5.527262e-02     1.562839e-01     4.931038e-01     1.137914e+02     9.647819e+01     1.122018e+00
     12     3.999972e-02     3.010779e-02     1.175953e-01     4.930322e-01     1.668024e+02     9.648000e+01     1.122018e+00
     13     1.490560e-02     1.139046e-02     4.303606e-02     4.930295e-01     1.760596e+02     9.648052e+01     1.122018e+00
     14     1.002528e-02     7.001858e-03     3.175330e-02     4.930190e-01     1.762479e+02     9.648148e+01     1.122018e+00
     15     8.886796e-03     6.255545e-03     2.795613e-02     4.930191e-01     1.762849e+02     9.648148e+01     1.122018e+00
     16     5.262111e-03     5.036613e-03     8.284950e-03     4.930182e-01     1.763171e+02     9.648154e+01     1.122018e+00
     17     5.243217e-03     5.025808e-03     8.176748e-03     4.930100e-01     1.763217e+02     9.648181e+01     1.122018e+00
     18     5.185740e-03     4.999650e-03     7.766217e-03     4.930095e-01     1.763238e+02     9.648183e+01     1.122018e+00
     19     5.183017e-03     5.000306e-03     7.724787e-03     4.930002e-01     1.763222e+02     9.648209e+01     1.122018e+00
     20     4.670312e-03     4.785594e-03     1.609254e-03     4.929983e-01     1.763024e+02     9.648213e+01     1.122018e+00
# trust-radius constraint active
#-------------------------------------------------
# FLECS resolving at new radius
     20     4.699976e-03     4.785594e-03     1.609254e-03     4.476332e-01     1.763024e+02     5.961839e+01     1.122018e+00
# trust-radius constraint active
#-------------------------------------------------
# FLECS resolving at new radius
     20     4.699976e-03     4.785594e-03     1.609254e-03     4.441114e-01     1.763024e+02     3.880960e+01     1.122018e+00
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 1.645475e-04
# initial residual norm     = 2.955935e+01
# initial gradient norm     = 2.917667e+01
# initial constraint norm   = 4.740988e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.148154e+00
      1     8.934188e-01     8.418888e-01     2.045690e+00     8.886798e-01     3.595827e+01     2.019479e+01     1.148154e+00
      2     2.523375e-01     2.256118e-01     7.398986e-01     9.580895e-01     9.869556e+00     3.307955e+01     1.148154e+00
      3     1.257447e-01     1.202199e-01     2.593786e-01     8.283636e-01     3.104166e+01     4.951825e+01     1.148154e+00
      4     1.086511e-01     9.512007e-02     3.409264e-01     7.881555e-01     3.348892e+01     5.149484e+01     1.148154e+00
      5     9.126209e-02     7.524886e-02     3.306259e-01     7.651698e-01     3.364218e+01     5.169548e+01     1.148154e+00
      6     8.330314e-02     7.531285e-02     2.343921e-01     7.490221e-01     3.040913e+01     5.178585e+01     1.148154e+00
      7     7.664660e-02     7.022360e-02     2.039668e-01     7.452861e-01     2.997207e+01     5.181651e+01     1.148154e+00
      8     5.866530e-02     5.117497e-02     1.860149e-01     7.397352e-01     3.088522e+01     5.183523e+01     1.148154e+00
      9     5.450425e-02     4.847705e-02     1.627215e-01     7.373160e-01     3.076564e+01     5.183959e+01     1.148154e+00
     10     5.306833e-02     4.503764e-02     1.807072e-01     7.362535e-01     3.117354e+01     5.184345e+01     1.148154e+00
     11     5.298653e-02     4.452381e-02     1.845556e-01     7.363459e-01     3.124985e+01     5.184420e+01     1.148154e+00
     12     4.351498e-02     3.330454e-02     1.777638e-01     7.340665e-01     3.162309e+01     5.189162e+01     1.148154e+00
     13     4.225675e-02     3.258123e-02     1.709081e-01     7.340432e-01     3.158416e+01     5.189191e+01     1.148154e+00
     14     4.085963e-02     3.077252e-02     1.703976e-01     7.338986e-01     3.170468e+01     5.189363e+01     1.148154e+00
     15     3.860612e-02     2.666931e-02     1.760699e-01     7.338030e-01     3.211278e+01     5.189394e+01     1.148154e+00
     16     2.790168e-02     1.747356e-02     1.367456e-01     7.309674e-01     3.215999e+01     5.192467e+01     1.148154e+00
     17     2.783926e-02     1.753020e-02     1.359743e-01     7.239030e-01     3.215687e+01     5.199419e+01     1.148154e+00
     18     2.120144e-02     1.271527e-02     1.065379e-01     7.239120e-01     3.205278e+01     5.199420e+01     1.148154e+00
     19     1.827960e-02     1.082550e-02     9.247087e-02     7.238809e-01     3.202031e+01     5.199486e+01     1.148154e+00
     20     1.650829e-02     1.117888e-02     7.655703e-02     7.237719e-01     3.199061e+01     5.199598e+01     1.148154e+00
# negative curvature suspected
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 2.414028e-04
# initial residual norm     = 3.138564e+00
# initial gradient norm     = 1.912059e+00
# initial constraint norm   = 2.488899e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.174898e+00
      1     9.659282e-01     9.998598e-01     9.453310e-01     5.472299e-01     -1.403318e-01     1.211900e+00     1.174898e+00
      2     6.814543e-01     9.740100e-01     4.225449e-01     7.535987e-01     -1.072104e-01     3.833082e+00     1.174898e+00
      3     6.385644e-01     9.948642e-01     2.535401e-01     1.055724e+00     -2.269283e+00     5.712053e+00     1.174898e+00
      4     6.206295e-01     9.531758e-01     2.762245e-01     1.027308e+00     -1.147508e+00     7.914675e+00     1.174898e+00
      5     6.189569e-01     9.520270e-01     2.725707e-01     9.618605e-01     -1.170379e+00     9.263811e+00     1.174898e+00
      6     5.241960e-01     7.761735e-01     2.853054e-01     6.623613e-01     3.352725e+00     1.212430e+01     1.174898e+00
      7     5.119289e-01     7.212580e-01     3.312397e-01     6.602117e-01     4.760581e+00     1.215297e+01     1.174898e+00
      8     5.006217e-01     6.891843e-01     3.438204e-01     6.507044e-01     5.226019e+00     1.221401e+01     1.174898e+00
      9     5.002251e-01     6.868909e-01     3.456064e-01     6.405091e-01     5.276683e+00     1.228423e+01     1.174898e+00
     10     3.931005e-01     4.146660e-01     3.797987e-01     5.405951e-01     8.286655e+00     1.282365e+01     1.174898e+00
     11     3.911493e-01     4.063426e-01     3.818990e-01     5.004117e-01     8.402384e+00     1.298355e+01     1.174898e+00
     12     3.804458e-01     3.842106e-01     3.782064e-01     4.684217e-01     8.563797e+00     1.309282e+01     1.174898e+00
     13     3.799113e-01     3.824153e-01     3.784257e-01     4.676427e-01     8.585137e+00     1.309502e+01     1.174898e+00
     14     3.126188e-01     2.740105e-01     3.333128e-01     3.209217e-01     9.353830e+00     1.344915e+01     1.174898e+00
     15     3.055900e-01     2.613672e-01     3.289113e-01     3.025004e-01     9.479396e+00     1.354555e+01     1.174898e+00
     16     2.950782e-01     2.547789e-01     3.164632e-01     3.029706e-01     9.551808e+00     1.354570e+01     1.174898e+00
     17     2.926912e-01     2.526147e-01     3.139522e-01     2.873479e-01     9.577921e+00     1.359608e+01     1.174898e+00
     18     2.311103e-01     2.091851e-01     2.431241e-01     2.445930e-01     9.850438e+00     1.362751e+01     1.174898e+00
     19     2.268209e-01     2.049333e-01     2.387991e-01     2.293220e-01     9.888503e+00     1.368908e+01     1.174898e+00
     20     2.162396e-01     2.041331e-01     2.230766e-01     2.295329e-01     9.902022e+00     1.370509e+01     1.174898e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS resolving at new radius
     20     3.306773e-01     2.041331e-01     2.230766e-01     2.552845e-01     9.902022e+00     1.098315e+01     1.174898e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 4.469352e-04
# initial residual norm     = 1.800428e+00
# initial gradient norm     = 1.197634e+00
