# Kona constrained RSNK convergence history file
# iters        cost     optimality       design_opt       slack_opt        feasibility      objective        mu param         radius      
      1          14     4.776911e+00     4.772890e+00     1.959592e-01     6.324495e+01     2.646540e+02     1.000000e+00     5.000000e+01
      2         117     1.699889e+01     1.710944e-03     1.699889e+01     4.397438e+00     2.598674e+02     1.023293e+00     5.000000e+01
      3         296     2.450640e+02     1.281432e-03     2.450640e+02     1.171979e+01     1.454281e+02     1.047129e+00     5.000000e+01
      4         529     4.620944e+01     7.881686e-04     4.620944e+01     4.163496e+01     1.378609e+02     1.071519e+00     1.250000e+01
      5         720     4.670043e+01     2.579858e-03     4.670043e+01     1.071092e+01     9.056286e+01     1.096478e+00     2.500000e+01
      6         973     3.583918e+01     6.332035e-03     3.583918e+01     8.534751e+00     4.303654e+01     1.122018e+00     2.500000e+01
      7        1303     2.917667e+01     9.005724e-02     2.917653e+01     4.740988e+00     3.052687e+01     1.148154e+00     1.250000e+01
      8        1600     1.912059e+00     1.412528e-01     1.906834e+00     2.488899e+00     3.174622e+01     1.174898e+00     1.250000e+01
      9        1932     1.197634e+00     4.886335e-01     1.093418e+00     1.344327e+00     1.925771e+01     1.202264e+00     1.250000e+01
     10        2263     7.891350e-01     4.697056e-01     6.341219e-01     1.101021e+00     1.542009e+01     1.230269e+00     1.250000e+01
     11        2566     2.211367e+00     2.193852e+00     2.777709e-01     1.990769e+00     1.142989e+01     1.258925e+00     1.250000e+01
     12        2883     6.276946e-01     5.896557e-01     2.151897e-01     1.095609e+00     1.297412e+01     1.288250e+00     1.250000e+01
     13        3190     2.701090e-01     2.278722e-01     1.450281e-01     1.168026e+00     1.222773e+01     1.318257e+00     1.250000e+01
     14        3498     1.714431e-01     1.169405e-01     1.253700e-01     1.064231e+00     1.194873e+01     1.348963e+00     1.250000e+01
     15        3813     1.993054e-01     1.700707e-01     1.039162e-01     1.161764e+00     1.167590e+01     1.380384e+00     1.250000e+01
     16        4134     1.105064e-01     6.301738e-02     9.077704e-02     1.017089e+00     1.149986e+01     1.412538e+00     1.250000e+01
     17        4460     1.298099e-01     1.030841e-01     7.889409e-02     1.033993e+00     1.140699e+01     1.445440e+00     1.250000e+01
     18        4788     1.212086e-01     9.810557e-02     7.118169e-02     1.033896e+00     1.135087e+01     1.479108e+00     1.250000e+01
     19        5119     1.111212e-01     8.853562e-02     6.715179e-02     1.017091e+00     1.129292e+01     1.513561e+00     1.250000e+01
     20        5449     1.092423e-01     8.956909e-02     6.254000e-02     9.881214e-01     1.120492e+01     1.548817e+00     1.250000e+01
     21        5778     8.282637e-02     5.677209e-02     6.030868e-02     9.673940e-01     1.118969e+01     1.584893e+00     1.250000e+01
