# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective   
    0        0.00        0.00        -0.725578    
    1        0.01        0.01        -1.53071    
    2        0.01        0.02        -1.5387    
    3        0.01        0.03        -1.57183    
    4        0.01        0.04        -1.64763    
    5        0.01        0.04        -1.8037    
    6        0.01        0.05        -1.94925    
    7        0.01        0.06        -2.09512    
    8        0.01        0.07        -2.24562    
    9        0.01        0.08        -2.40019    
   10        0.01        0.09        -2.5617    
   11        0.01        0.10        -2.7462    
   12        0.01        0.11        -2.95276    
   13        0.01        0.12        -3.18293    
   14        0.01        0.13        -3.44737    
   15        0.01        0.14        -3.75891    
   16        0.01        0.14        -4.15556    
   17        0.01        0.15        -4.65056    
   18        0.01        0.16        -5.26533    
   19        0.01        0.17        -6.14365    
   20        0.01        0.19        -7.05453    
   21        0.01        0.20        -8.07935    
   22        0.01        0.21        -8.98961    
   23        0.01        0.23        -9.9955    
   24        0.01        0.24        -11.2824    
   25        0.01        0.25        -12.5147    
   26        0.02        0.27        -13.4821    
   27        0.02        0.29        -13.7129    
   28        0.02        0.31        -13.0363    
   29        0.02        0.32        -11.6642    
   30        0.02        0.34        -10.4562    
   31        0.02        0.35        -9.10966    
   32        0.02        0.37        -7.56569    
   33        0.02        0.39        -6.14868    
   34        0.01        0.40        -5.28392    
   35        0.01        0.42        -4.82182    
   36        0.02        0.43        -4.21475    
   37        0.01        0.45        -3.70424    
   38        0.01        0.46        -3.30715    
   39        0.01        0.47        -3.1101    
   40        0.01        0.48        -2.90983    
   41        0.01        0.50        -2.80854    
   42        0.01        0.51        -2.90563    
   43        0.02        0.53        -3.49765    
   44        0.03        0.57        -5.65513    
   45        0.11        0.67        -6.39334    
   46        0.07        0.75        -6.53341    
   47        0.07        0.82        -6.96064    
   48        0.06        0.88        -7.60598    
   49        0.05        0.93        -8.5183    
   50        0.04        0.96        -9.81782    
   51        0.02        0.98        -11.8737    
   52        0.02        1.00        -15.2718    
   53        0.02        1.03        -18.3267    
   54        0.01        1.04        -23.0949    
   55        0.02        1.06        -23.9919    
   56        0.01        1.07        -23.9999    
   57        0.02        1.09         -24    
    0        0.01        1.10         -24    
   58        0.00        1.10         -24    
