# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective   
    0        0.01        0.01        3.06135    
    1        0.01        0.02        0.272631    
    2        0.01        0.03        0.264153    
    3        0.01        0.04        0.165097    
    4        0.01        0.05        0.0177186    
    5        0.01        0.06        -0.134737    
    6        0.01        0.07        -0.294944    
    7        0.01        0.08        -0.454053    
    8        0.01        0.10        -0.619295    
    9        0.01        0.11        -0.796219    
   10        0.01        0.12        -0.986542    
   11        0.01        0.14        -1.19488    
   12        0.01        0.15        -1.42604    
   13        0.01        0.16        -1.68611    
   14        0.01        0.18        -2.01131    
   15        0.02        0.20        -2.42969    
   16        0.02        0.21        -2.99826    
   17        0.02        0.23        -3.75146    
   18        0.02        0.25        -4.76645    
   19        0.02        0.27        -5.81528    
   20        0.02        0.29        -6.85183    
   21        0.02        0.32        -7.92286    
   22        0.03        0.34        -8.99277    
   23        0.03        0.38        -10.034    
   24        0.03        0.41        -10.7833    
   25        0.03        0.44        -11.2795    
   26        0.03        0.47        -11.5633    
   27        0.03        0.50        -11.6169    
   28        0.03        0.53        -11.3785    
   29        0.03        0.56        -10.7706    
   30        0.03        0.60        -9.93637    
   31        0.03        0.63        -8.69582    
   32        0.03        0.66        -7.41591    
   33        0.03        0.69        -5.93524    
   34        0.03        0.72        -4.79534    
   35        0.03        0.75        -3.97206    
   36        0.03        0.78        -3.37659    
   37        0.03        0.81        -2.94855    
   38        0.04        0.85        -2.65196    
   39        0.04        0.89        -2.46789    
   40        0.04        0.92        -2.38969    
   41        0.04        0.96        -2.41037    
   42        0.05        1.01        -2.51551    
   43        0.05        1.07        -2.66337    
   44        0.06        1.13        -2.83492    
   45        0.06        1.19        -3.01756    
   46        0.07        1.26        -3.20674    
   47        0.08        1.35        -3.40539    
   48        0.09        1.44        -3.61295    
   49        0.10        1.54        -3.83364    
   50        0.10        1.64        -4.07043    
   51        0.11        1.75        -4.32674    
   52        0.11        1.86        -4.59995    
   53        0.12        1.97        -4.89298    
   54        0.12        2.09        -5.23096    
   55        0.17        2.26        -5.55547    
   56        0.12        2.38        -5.67838    
   57        0.12        2.49        -5.89391    
   58        0.10        2.59        -6.57872    
   59        0.08        2.68        -7.2679    
   60        0.07        2.74        -8.17989    
   61        0.05        2.80        -9.56323    
   62        0.04        2.84        -11.4813    
   63        0.04        2.88        -14.0756    
   64        0.03        2.90        -17.4325    
   65        0.02        2.93        -21.5621    
   66        0.02        2.95        -24.787    
   67        0.02        2.96        -24.9983    
   68        0.01        2.97         -25    
   69        0.01        2.98         -25    
   70        0.01        2.99         -25    
   71        0.01        3.00         -25    
   72        0.01        3.00         -25    
   73        0.01        3.01         -25    
   74        0.01        3.02         -25    
   75        0.01        3.03         -25    
   76        0.01        3.04         -25    
   77        0.01        3.04         -25    
   78        0.01        3.05         -25    
   79        0.01        3.06         -25    
   80        0.01        3.07         -25    
   81        0.01        3.08         -25    
   82        0.01        3.09         -25    
   83        0.01        3.09         -25    
   84        0.01        3.10         -25    
   85        0.01        3.11         -25    
   86        0.01        3.12         -25    
   87        0.01        3.13         -25    
   88        0.01        3.13         -25    
   89        0.01        3.14         -25    
   90        0.01        3.15         -25    
   91        0.01        3.16         -25    
   92        0.01        3.17         -25    
   93        0.01        3.17         -25    
   94        0.01        3.18         -25    
   95        0.01        3.19         -25    
   96        0.01        3.20         -25    
   97        0.01        3.21         -25    
   98        0.01        3.21         -25    
   99        0.01        3.22         -25    
  100        0.01        3.23         -25    
  101        0.01        3.24         -25    
  102        0.01        3.25         -25    
  103        0.01        3.25         -25    
  104        0.01        3.26         -25    
  105        0.01        3.27         -25    
  106        0.01        3.28         -25    
  107        0.01        3.29         -25    
  108        0.01        3.29         -25    
  109        0.01        3.30         -25    
  110        0.01        3.31         -25    
  111        0.01        3.32         -25    
  112        0.01        3.33         -25    
  113        0.01        3.33         -25    
  114        0.01        3.34         -25    
  115        0.01        3.35         -25    
  116        0.01        3.36         -25    
  117        0.01        3.37         -25    
    0        0.01        3.37         -25    
  118        0.00        3.37         -25    
