# Kona Param. Contn. convergence history (opt tol = 1.341641e-06 | feas tol = 1.424781e-05)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
     15         1      1043      1.108e+02      1.108e+02     2.3575e-04     2.5513e-04     1.6518e-04      1.108e+02     2.4096e-04     1.1187e-04     1.780337e-06          7.8792e-05     2.5600e-05     3.0849e-05     

     16         0      1133      1.108e+02      1.108e+02     1.1335e-04     1.1453e-04     9.2917e-05      1.108e+02     1.1400e-04     7.5232e-05     7.515181e-07          3.1678e-05     1.7869e-05     1.2463e-05     
     16         1      1178      1.108e+02      1.108e+02     6.0584e-05     1.0719e-04     5.5063e-05      1.108e+02     6.1727e-05     2.9006e-05     7.515181e-07          1.9125e-05     9.7773e-06     9.3944e-06     

     17         0      1268      1.108e+02      1.108e+02     3.2187e-05     8.3664e-05     4.0528e-05      1.108e+02     2.8139e-05     2.0440e-05     5.851904e-07          1.0142e-05     8.3327e-06     5.2872e-06     
     17         1      1313      1.108e+02      1.108e+02     1.9151e-05     8.2762e-05     3.3674e-05      1.108e+02     1.5513e-05     8.5344e-06     5.851904e-07          6.0560e-06     6.2841e-06     4.4755e-06     

     18         0      1403      1.108e+02      1.108e+02     1.5655e-05     7.1937e-05     2.8565e-05      1.108e+02     6.8702e-06     6.5421e-06     5.078565e-07          4.0002e-06     5.7792e-06     3.4816e-06     
     18         1      1448      1.108e+02      1.108e+02     1.3113e-05     7.1704e-05     2.7319e-05      1.108e+02     3.8681e-06     4.0573e-06     5.078565e-07          3.0664e-06     5.1699e-06     2.9719e-06     

     19         0      1538      1.108e+02      1.108e+02     1.3600e-05     6.9612e-05     2.6178e-05      1.108e+02     1.8792e-06     3.4451e-06     4.938241e-07          2.5819e-06     5.0778e-06     2.6105e-06     
     19         1      1583      1.108e+02      1.108e+02     1.3119e-05     6.9680e-05     2.6059e-05      1.108e+02     1.0531e-06     3.3945e-06     4.938241e-07          2.3614e-06     4.9423e-06     2.6070e-06     

     20         0      1628      1.108e+02      1.108e+02     1.3118e-05     6.9677e-05     2.6058e-05      1.108e+02     1.0530e-06     3.3944e-06     4.937972e-07          2.3613e-06     4.9420e-06     2.6070e-06     

     21         0      1673      1.108e+02      1.108e+02     1.3118e-05     6.9677e-05     2.6058e-05      1.108e+02     1.0530e-06     3.3944e-06     4.937972e-07          2.3613e-06     4.9420e-06     2.6070e-06     

     22         0      1718      1.108e+02      1.108e+02     1.3116e-05     6.9668e-05     2.6055e-05      1.108e+02     1.0530e-06     3.3940e-06     4.937360e-07          2.3611e-06     4.9414e-06     2.6068e-06     

     23         0      1763      1.108e+02      1.108e+02     1.2661e-05     6.7392e-05     2.5214e-05      1.108e+02     1.0858e-06     3.3079e-06     4.770856e-07          2.2915e-06     4.9388e-06     2.5598e-06     

     24         0      1808      1.108e+02      1.108e+02     1.2661e-05     6.7392e-05     2.5214e-05      1.108e+02     1.0858e-06     3.3079e-06     4.770856e-07          2.2915e-06     4.9388e-06     2.5598e-06     

     25         0      1853      1.108e+02      1.108e+02     1.2659e-05     6.7387e-05     2.5212e-05      1.108e+02     1.0860e-06     3.3077e-06     4.770457e-07          2.2913e-06     4.9388e-06     2.5597e-06     

     26         0      1898      1.108e+02      1.108e+02     1.2659e-05     6.7387e-05     2.5212e-05      1.108e+02     1.0860e-06     3.3077e-06     4.770457e-07          2.2913e-06     4.9388e-06     2.5597e-06     

     27         0      1943      1.108e+02      1.108e+02     1.2659e-05     6.7386e-05     2.5212e-05      1.108e+02     1.0860e-06     3.3076e-06     4.770372e-07          2.2913e-06     4.9388e-06     2.5597e-06     

     28         0      1988      1.108e+02      1.108e+02     1.2659e-05     6.7386e-05     2.5212e-05      1.108e+02     1.0860e-06     3.3076e-06     4.770372e-07          2.2913e-06     4.9388e-06     2.5597e-06     

     29         0      2033      1.108e+02      1.108e+02     1.2659e-05     6.7384e-05     2.5211e-05      1.108e+02     1.0861e-06     3.3076e-06     4.770211e-07          2.2912e-06     4.9388e-06     2.5596e-06     

     30         0      2078      1.108e+02      1.108e+02     1.2659e-05     6.7384e-05     2.5211e-05      1.108e+02     1.0861e-06     3.3076e-06     4.770211e-07          2.2912e-06     4.9388e-06     2.5596e-06     

     31         0      2123      1.108e+02      1.108e+02     1.2162e-05     6.5007e-05     2.4324e-05      1.108e+02     1.3231e-06     3.2343e-06     4.588563e-07          2.2153e-06     4.9388e-06     2.5084e-06     

     32         0      2168      1.108e+02      1.108e+02     1.2161e-05     6.5000e-05     2.4321e-05      1.108e+02     1.3243e-06     3.2340e-06     4.587982e-07          2.2150e-06     4.9388e-06     2.5082e-06     

     33         0      2213      1.108e+02      1.108e+02     1.2161e-05     6.5000e-05     2.4321e-05      1.108e+02     1.3243e-06     3.2340e-06     4.587982e-07          2.2150e-06     4.9388e-06     2.5082e-06     

     34         0      2258      1.108e+02      1.108e+02     1.2158e-05     6.4989e-05     2.4317e-05      1.108e+02     1.3261e-06     3.2338e-06     4.587131e-07          2.2147e-06     4.9388e-06     2.5080e-06     

     35         0      2303      1.108e+02      1.108e+02     1.1600e-05     6.2376e-05     2.3335e-05      1.108e+02     1.8875e-06     3.1706e-06     4.382393e-07          2.1291e-06     4.9388e-06     2.4502e-06     
     35         1      2348      1.108e+02      1.108e+02     1.1833e-05     6.1882e-05     2.3142e-05      1.108e+02     7.0722e-07     3.0494e-06     4.382393e-07          2.0293e-06     4.4608e-06     2.3264e-06     

     36         0      2393      1.108e+02      1.108e+02     1.1817e-05     6.2285e-05     2.3248e-05      1.108e+02     1.7533e-06     3.1331e-06     4.376562e-07          2.0267e-06     4.9388e-06     2.4417e-06     
     36         1      2438      1.108e+02      1.108e+02     1.1775e-05     6.1811e-05     2.3086e-05      1.108e+02     5.3338e-07     3.0445e-06     4.376562e-07          2.0030e-06     4.3797e-06     2.2981e-06     

     37         0      2483      1.108e+02      1.108e+02     1.1774e-05     6.2289e-05     2.3219e-05      1.108e+02     1.6927e-06     3.1252e-06     4.376263e-07          2.0029e-06     4.9388e-06     2.4158e-06     
     37         1      2528      1.108e+02      1.108e+02     1.1857e-05     6.1800e-05     2.3060e-05      1.108e+02     5.0825e-07     3.0342e-06     4.376263e-07          2.0109e-06     4.3947e-06     2.3052e-06     

     38         0      2573      1.108e+02      1.108e+02     1.1856e-05     6.2280e-05     2.3193e-05      1.108e+02     1.6858e-06     3.1159e-06     4.375934e-07          2.0107e-06     4.9388e-06     2.4240e-06     
     38         1      2618      1.108e+02      1.108e+02     1.1829e-05     6.1803e-05     2.3052e-05      1.108e+02     4.6528e-07     3.0392e-06     4.375934e-07          1.9984e-06     4.3887e-06     2.2934e-06     

     39         0      2663      1.108e+02      1.108e+02     1.1823e-05     6.2256e-05     2.3175e-05      1.108e+02     1.6824e-06     3.1161e-06     4.373630e-07          1.9974e-06     4.9388e-06     2.4105e-06     
     39         1      2708      1.108e+02      1.108e+02     1.1829e-05     6.1769e-05     2.3039e-05      1.108e+02     4.7906e-07     3.0311e-06     4.373630e-07          2.0045e-06     4.3826e-06     2.2936e-06     

     40         0      2753      1.108e+02      1.108e+02     1.1828e-05     6.2254e-05     2.3174e-05      1.108e+02     1.6865e-06     3.1121e-06     4.373453e-07          2.0044e-06     4.9388e-06     2.4124e-06     
     40         1      2798      1.108e+02      1.108e+02     1.1911e-05     6.1751e-05     2.3017e-05      1.108e+02     5.0045e-07     3.0224e-06     4.373453e-07          2.0082e-06     4.3816e-06     2.2717e-06     

     41         0      2843      1.108e+02      1.108e+02     1.1911e-05     6.2235e-05     2.3151e-05      1.108e+02     1.6935e-06     3.0973e-06     4.373453e-07          2.0082e-06     4.9388e-06     2.3894e-06     
     41         1      2888      1.108e+02      1.108e+02     1.1894e-05     6.1762e-05     2.3006e-05      1.108e+02     4.7569e-07     3.0288e-06     4.373453e-07          2.0003e-06     4.3754e-06     2.2654e-06     

     42         0      2933      1.108e+02      1.108e+02     1.1894e-05     6.2246e-05     2.3140e-05      1.108e+02     1.6864e-06     3.1011e-06     4.373452e-07          2.0003e-06     4.9388e-06     2.3828e-06     
     42         1      2978      1.108e+02      1.108e+02     1.1881e-05     6.1756e-05     2.3011e-05      1.108e+02     5.1873e-07     3.0156e-06     4.373452e-07          1.9841e-06     4.3856e-06     2.2813e-06     

     43         0      3023      1.108e+02      1.108e+02     1.1555e-05     6.0802e-05     2.2596e-05      1.108e+02     2.1617e-06     3.0642e-06     4.254826e-07          1.9319e-06     4.9388e-06     2.3660e-06     
     43         1      3068      1.108e+02      1.108e+02     1.1492e-05     6.0072e-05     2.2382e-05      1.108e+02     4.7011e-07     2.9467e-06     4.254826e-07          1.9372e-06     4.2584e-06     2.2136e-06     

     44         0      3113      1.108e+02      1.108e+02     1.1490e-05     6.0770e-05     2.2573e-05      1.108e+02     2.1581e-06     3.0592e-06     4.253986e-07          1.9369e-06     4.9388e-06     2.3549e-06     
     44         1      3158      1.108e+02      1.108e+02     1.1490e-05     6.0065e-05     2.2394e-05      1.108e+02     4.6260e-07     2.9482e-06     4.253986e-07          1.9275e-06     4.2663e-06     2.2192e-06     

     45         0      3203      1.108e+02      1.108e+02     1.1490e-05     6.0775e-05     2.2590e-05      1.108e+02     2.1566e-06     3.0635e-06     4.253911e-07          1.9275e-06     4.9388e-06     2.3611e-06     
     45         1      3248      1.108e+02      1.108e+02     1.1473e-05     6.0034e-05     2.2387e-05      1.108e+02     5.0526e-07     2.9326e-06     4.253911e-07          1.9331e-06     4.2674e-06     2.2469e-06     

     46         0      3293      1.108e+02      1.108e+02     1.1473e-05     6.0751e-05     2.2586e-05      1.108e+02     2.1655e-06     3.0573e-06     4.253896e-07          1.9330e-06     4.9388e-06     2.3899e-06     
     46         1      3338      1.108e+02      1.108e+02     1.1555e-05     6.0001e-05     2.2344e-05      1.108e+02     5.7130e-07     2.9054e-06     4.253896e-07          1.9376e-06     4.2638e-06     2.2220e-06     

     47         0      3383      1.108e+02      1.108e+02     1.1547e-05     6.0678e-05     2.2528e-05      1.108e+02     2.1947e-06     3.0206e-06     4.250929e-07          1.9362e-06     4.9388e-06     2.3642e-06     
     47         1      3428      1.108e+02      1.108e+02     1.1589e-05     5.9939e-05     2.2349e-05      1.108e+02     5.8642e-07     2.8957e-06     4.250929e-07          1.9563e-06     4.2563e-06     2.2305e-06     

     48         0      3473      1.108e+02      1.108e+02     1.1589e-05     6.0661e-05     2.2549e-05      1.108e+02     2.1985e-06     3.0202e-06     4.250906e-07          1.9563e-06     4.9388e-06     2.3742e-06     
     48         1      3518      1.108e+02      1.108e+02     1.1508e-05     5.9921e-05     2.2325e-05      1.108e+02     6.3460e-07     2.8748e-06     4.250906e-07          1.9383e-06     4.2840e-06     2.2184e-06     

     49         0      3563      1.108e+02      1.108e+02     1.1508e-05     6.0639e-05     2.2524e-05      1.108e+02     2.2127e-06     2.9949e-06     4.250818e-07          1.9383e-06     4.9388e-06     2.3613e-06     
     49         1      3608      1.108e+02      1.108e+02     1.1526e-05     5.9911e-05     2.2324e-05      1.108e+02     6.2782e-07     2.8777e-06     4.250818e-07          1.9446e-06     4.2526e-06     2.2162e-06     

     50         0      3653      1.108e+02      1.108e+02     1.1526e-05     6.0629e-05     2.2523e-05      1.108e+02     2.2109e-06     2.9977e-06     4.250817e-07          1.9446e-06     4.9388e-06     2.3594e-06     
     50         1      3698      1.108e+02      1.108e+02     1.1526e-05     5.9926e-05     2.2325e-05      1.108e+02     6.0021e-07     2.8901e-06     4.250817e-07          1.9456e-06     4.2525e-06     2.2113e-06     

     51         0      3743      1.108e+02      1.108e+02     1.0844e-05     5.7782e-05     2.1412e-05      1.108e+02     3.3698e-06     2.9812e-06     4.002126e-07          1.8360e-06     4.9388e-06     2.2839e-06     
