# Kona Param. Contn. convergence history (opt tol = 4.772971e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
     22         1      3818      1.264e+02      1.266e+02     5.2537e+00     1.4648e-01      2.334e+02     1.2912e-02     6.4137e-05     9.484817e-02          

     23         0      3915      1.076e+02      1.078e+02     4.3759e+00     1.3598e-01      2.282e+02     2.9011e+00     3.2474e-02     7.975211e-02          
     23         1      3998      1.059e+02      1.062e+02     4.9895e+00     1.3632e-01      2.294e+02     1.1299e-02     1.1368e-04     7.975211e-02          

     24         0      4095      8.389e+01      8.412e+01     4.0135e+00     1.3142e-01      2.174e+02     2.8090e+00     3.6768e-02     6.467551e-02          
     24         1      4178      8.262e+01      8.286e+01     4.5659e+00     1.2790e-01      2.181e+02     7.9224e-03     1.7671e-04     6.467551e-02          

     25         0      4286      5.384e+01      5.412e+01     3.3401e+00     2.2184e-01      1.881e+02     2.6343e+00     1.7801e-01     4.678539e-02          
     25         1      4373      5.416e+01      5.444e+01     3.7446e+00     1.1667e-01      1.880e+02     2.0392e-03     7.6455e-05     4.678539e-02          

     26         0      4495      8.074e+00      1.043e+01     3.7248e+00     2.5419e+01      8.111e+01     4.4134e+00     2.5001e+01     1.638142e-02          
     26         1      4620      1.459e+01      1.503e+01     4.2151e+00     1.3421e+01      8.192e+01     4.5723e+00     1.3201e+01     1.638142e-02          

     27         0      4895      1.549e+01      1.610e+01     1.2871e+00     2.8324e+00      7.620e+01     1.0047e+00     2.7879e+00     1.474112e-02          
     27         1      5032      1.728e+01      1.767e+01     1.3655e+00     1.1389e+00      7.674e+01     4.2320e-01     1.1184e+00     1.474112e-02          

     28         0      5294      1.669e+01      1.687e+01     1.0556e+00     8.7907e-02      7.048e+01     7.7191e-01     6.9988e-02     1.328962e-02          
     28         1      5421      1.688e+01      1.705e+01     1.2133e+00     4.7868e-02      7.057e+01     3.8620e-03     6.1623e-03     1.328962e-02          

     29         0      5573      1.552e+01      1.567e+01     8.8022e-01     9.5979e-02      6.101e+01     6.9556e-01     8.5233e-02     1.112301e-02          
     29         1      5697      1.557e+01      1.571e+01     1.0142e+00     3.8974e-02      6.103e+01     8.3017e-03     4.9599e-04     1.112301e-02          

     30         0      5861      1.442e+01      1.454e+01     7.1402e-01     9.4114e-02      5.202e+01     5.8408e-01     8.6987e-02     9.105529e-03          
     30         1      5984      1.448e+01      1.459e+01     8.4244e-01     3.1316e-02      5.205e+01     1.4271e-02     8.4189e-04     9.105529e-03          

     31         0      6147      1.356e+01      1.365e+01     5.9090e-01     8.3381e-02      4.420e+01     4.8105e-01     7.8383e-02     7.363199e-03          
     31         1      6281      1.358e+01      1.366e+01     6.7094e-01     2.4772e-02      4.421e+01     1.3073e-02     4.0499e-04     7.363199e-03          

     32         0      6446      1.287e+01      1.293e+01     4.6164e-01     6.9009e-02      3.763e+01     3.8892e-01     6.5393e-02     5.913241e-03          
     32         1      6580      1.289e+01      1.295e+01     5.4990e-01     1.9328e-02      3.764e+01     1.0321e-02     3.6410e-04     5.913241e-03          

     33         0      6755      1.226e+01      1.231e+01     3.7243e-01     6.9640e-02      3.160e+01     3.1428e-01     6.7480e-02     4.592277e-03          
     33         1      6888      1.226e+01      1.231e+01     4.1884e-01     1.4563e-02      3.159e+01     9.7145e-03     2.4540e-04     4.592277e-03          

     34         0      7065      1.174e+01      1.178e+01     2.7302e-01     6.1070e-02      2.647e+01     2.4388e-01     5.9704e-02     3.480566e-03          
     34         1      7211      1.175e+01      1.178e+01     3.2537e-01     1.0624e-02      2.647e+01     7.3534e-03     2.7222e-04     3.480566e-03          

     35         0      7399      1.132e+01      1.134e+01     2.0509e-01     5.3151e-02      2.218e+01     1.8576e-01     5.2328e-02     2.557901e-03          
     35         1      7544      1.132e+01      1.134e+01     2.3539e-01     7.4912e-03      2.218e+01     2.5067e-03     3.5392e-04     2.557901e-03          

     36         0      7744      1.105e+01      1.107e+01     1.5564e-01     2.5782e-02      1.949e+01     1.3630e-01     2.5010e-02     1.980765e-03          
     36         1      7903      1.105e+01      1.107e+01     1.8417e-01     5.5815e-03      1.949e+01     1.7279e-03     3.7823e-04     1.980765e-03          

