# Kona Param. Contn. convergence history (opt tol = 1.193243e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0     -----        24      2.647e+02      2.647e+02     1.1932e+00     0.0000e+00     ----------     ----------     ----------     1.0000     
     23         0     15760      2.415e+02      2.415e+02     1.4659e+00     1.0481e-02      2.547e+02     3.3775e-02     9.0986e-05     0.0407721     
     23         1     16118      2.409e+02      2.409e+02     1.4657e+00     1.0496e-02      2.553e+02     5.5678e-06     2.8344e-06     0.0407721     

     24         0     16476      2.374e+02      2.374e+02     1.4643e+00     8.9793e-03      2.565e+02     2.9436e-02     1.1530e-04     0.0349592     
     24         1     16834      2.368e+02      2.368e+02     1.4641e+00     8.9884e-03      2.571e+02     5.8937e-06     3.1560e-06     0.0349592     

     25         0     17192      2.330e+02      2.330e+02     1.4623e+00     7.7862e-03      2.579e+02     2.5858e-02     1.4672e-04     0.0302751     
     25         1     17550      2.324e+02      2.324e+02     1.4621e+00     7.7913e-03      2.586e+02     6.2282e-06     3.5212e-06     0.0302751     

     26         0     17908      2.282e+02      2.282e+02     1.4598e+00     6.8246e-03      2.592e+02     2.2878e-02     1.8640e-04     0.0264465     
     26         1     18266      2.276e+02      2.276e+02     1.4596e+00     6.8263e-03      2.598e+02     6.5834e-06     3.9446e-06     0.0264465     

     27         0     18624      2.231e+02      2.231e+02     1.4569e+00     6.0404e-03      2.602e+02     2.0372e-02     2.3636e-04     0.0232772     
     27         1     18982      2.225e+02      2.225e+02     1.4566e+00     6.0384e-03      2.608e+02     6.9705e-06     4.4440e-06     0.0232772     

     28         0     19340      2.177e+02      2.177e+02     1.4533e+00     5.3949e-03      2.611e+02     1.8245e-02     2.9944e-04     0.0206237     
     28         1     19698      2.171e+02      2.171e+02     1.4531e+00     5.3880e-03      2.617e+02     7.4018e-06     5.0371e-06     0.0206237     

     29         0     20056      2.119e+02      2.120e+02     1.4490e+00     4.8605e-03      2.618e+02     1.6426e-02     3.7956e-04     0.0183788     
     29         1     20414      2.113e+02      2.113e+02     1.4488e+00     4.8459e-03      2.625e+02     7.8913e-06     5.7652e-06     0.0183788     

     30         0     20772      2.058e+02      2.058e+02     1.4440e+00     4.4179e-03      2.624e+02     1.4858e-02     4.8223e-04     0.0164614     
     30         1     21130      2.052e+02      2.052e+02     1.4437e+00     4.3904e-03      2.631e+02     8.4561e-06     6.6693e-06     0.0164614     

     31         0     21488      1.994e+02      1.994e+02     1.4380e+00     4.0547e-03      2.629e+02     1.3499e-02     6.1512e-04     0.0148091     
     31         1     21846      1.988e+02      1.988e+02     1.4377e+00     4.0050e-03      2.636e+02     9.1181e-06     7.8142e-06     0.0148091     

     32         0     22204      1.926e+02      1.926e+02     1.4310e+00     3.7658e-03      2.632e+02     1.2313e-02     7.8926e-04     0.0133733     
     32         1     22562      1.919e+02      1.919e+02     1.4306e+00     3.6771e-03      2.639e+02     9.9085e-06     9.2957e-06     0.0133733     

     33         0     22920      1.854e+02      1.854e+02     1.4227e+00     3.5547e-03      2.633e+02     1.1275e-02     1.0208e-03     0.0121156     
     33         1     23289      1.848e+02      1.848e+02     1.4223e+00     3.3967e-03      2.640e+02     1.0741e-05     9.8442e-06     0.0121156     

     34         0     23647      1.778e+02      1.778e+02     1.4130e+00     3.4379e-03      2.633e+02     1.0362e-02     1.3323e-03     0.0110051     
     34         1     24016      1.772e+02      1.772e+02     1.4125e+00     3.1560e-03      2.639e+02     1.1806e-05     1.1686e-05     0.0110051     

     35         0     24374      1.699e+02      1.699e+02     1.4015e+00     3.4539e-03      2.630e+02     9.5589e-03     1.7632e-03     0.0100169     
     35         1     24743      1.693e+02      1.693e+02     1.4010e+00     2.9489e-03      2.636e+02     1.3088e-05     1.4061e-05     0.0100169     

     36         0     25101      1.615e+02      1.615e+02     1.3880e+00     3.6730e-03      2.623e+02     8.8537e-03     2.3719e-03     0.0091304     
     36         1     25470      1.609e+02      1.609e+02     1.3874e+00     2.7702e-03      2.629e+02     1.4646e-05     1.7178e-05     0.0091304     

     37         0     25828      1.528e+02      1.528e+02     1.3720e+00     4.2134e-03      2.613e+02     8.2401e-03     3.2570e-03     0.0083279     
     37         1     26196      1.522e+02      1.522e+02     1.3713e+00     2.6158e-03      2.619e+02     1.6564e-05     2.1348e-05     0.0083279     

     38         0     26565      1.436e+02      1.436e+02     1.3528e+00     5.2558e-03      2.598e+02     7.7184e-03     4.5783e-03     0.0075946     
     38         1     26934      1.429e+02      1.429e+02     1.3520e+00     2.4824e-03      2.604e+02     1.8961e-05     2.7055e-05     0.0075946     

