# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective   
    0        0.00        0.00        13.0701    
    1        0.01        0.02        8.19561    
    2        0.01        0.03        8.18684    
    3        0.01        0.04        8.1024    
    4        0.02        0.06        7.94373    
    5        0.02        0.07        7.78014    
    6        0.02        0.09        7.62096    
    7        0.02        0.10        7.45578    
    8        0.02        0.12        7.28197    
    9        0.02        0.14        7.09652    
   10        0.02        0.16        6.89074    
   11        0.02        0.18        6.65564    
   12        0.02        0.20        6.37823    
   13        0.02        0.22        6.04661    
   14        0.02        0.25        5.65824    
   15        0.03        0.27        5.18057    
   16        0.03        0.30        4.59512    
   17        0.03        0.33        3.93264    
   18        0.03        0.36        3.10938    
   19        0.04        0.40        2.1447    
   20        0.04        0.44        1.11078    
   21        0.05        0.49        0.00879272    
   22        0.05        0.54        -1.1603    
   23        0.06        0.60        -2.56171    
   24        0.06        0.66        -4.09397    
   25        0.07        0.72        -5.41342    
   26        0.07        0.79        -6.52472    
   27        0.08        0.87        -7.41604    
   28        0.08        0.94        -8.12057    
   29        0.07        1.02        -8.68569    
   30        0.08        1.10        -9.11126    
   31        0.08        1.18        -9.45372    
   32        0.07        1.25        -9.71235    
   33        0.07        1.32        -9.85426    
   34        0.07        1.39        -9.90213    
   35        0.08        1.47        -9.69851    
   36        0.08        1.56        -9.16031    
   37        0.08        1.63        -8.14679    
   38        0.07        1.70        -6.47604    
   39        0.07        1.78        -5.2257    
   40        0.08        1.85        -4.33154    
   41        0.08        1.93        -3.68968    
   42        0.09        2.02        -3.23239    
   43        0.09        2.12        -2.91943    
   44        0.10        2.22        -2.72965    
   45        0.11        2.33        -2.65308    
   46        0.11        2.44        -2.68025    
   47        0.12        2.56        -2.79061    
   48        0.12        2.68        -2.9537    
   49        0.12        2.80        -3.14431    
   50        0.12        2.92        -3.34999    
   51        0.12        3.04        -3.56653    
   52        0.12        3.16        -3.79061    
   53        0.12        3.28        -4.01194    
   54        0.12        3.40        -4.21432    
   55        0.12        3.51        -4.39418    
   56        0.12        3.63        -4.55618    
   57        0.18        3.81        -4.6853    
   58        0.18        3.99        -4.78895    
   59        0.12        4.11        -4.90349    
   60        0.13        4.23        -5.11932    
   61        0.12        4.35        -5.83995    
   62        0.12        4.47        -6.37351    
   63        0.12        4.59        -7.10737    
   64        0.12        4.71        -8.1204    
   65        0.10        4.81        -9.50061    
   66        0.07        4.88        -11.3631    
   67        0.05        4.93        -13.8256    
   68        0.04        4.97        -16.8243    
   69        0.02        4.99        -17.9647    
   70        0.02        5.01        -17.9999    
   71        0.01        5.02         -18    
   72        0.01        5.03         -18    
   73        0.01        5.04         -18    
   74        0.01        5.04         -18    
   75        0.01        5.05         -18    
   76        0.01        5.06         -18    
   77        0.01        5.07         -18    
   78        0.01        5.08         -18    
   79        0.01        5.09         -18    
   80        0.01        5.09         -18    
   81        0.01        5.10         -18    
   82        0.01        5.11         -18    
   83        0.01        5.12         -18    
   84        0.01        5.13         -18    
   85        0.01        5.13         -18    
   86        0.01        5.14         -18    
   87        0.01        5.15         -18    
   88        0.01        5.16         -18    
   89        0.01        5.17         -18    
   90        0.01        5.17         -18    
   91        0.01        5.18         -18    
   92        0.01        5.19         -18    
   93        0.01        5.20         -18    
   94        0.01        5.21         -18    
   95        0.01        5.22         -18    
   96        0.01        5.22         -18    
   97        0.01        5.23         -18    
   98        0.01        5.24         -18    
   99        0.01        5.25         -18    
  100        0.01        5.26         -18    
  101        0.01        5.26         -18    
  102        0.01        5.27         -18    
  103        0.01        5.28         -18    
  104        0.01        5.29         -18    
  105        0.01        5.30         -18    
  106        0.01        5.30         -18    
  107        0.01        5.31         -18    
    0        0.01        5.32         -18    
  108        0.00        5.32         -18    
