# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.01        0.01        215.285       0.0000      0     0
    1        0.41        0.43        296.027       8.3650      0     0
    2        0.40        0.82        206.922       4.3311      0     0
    3        0.40        1.22        191.928       3.7733      0     0
    4        0.40        1.61        137.743       2.1012      0     0
    5        0.39        2.00        15.5241       0.4933      0     0
    0        0.15        2.15        -41.7223       0.2335      0    11
    1        0.13        2.28        -42.9337       0.2082      0     3
    2        0.13        2.41        -43.0109       0.1686      0     8
    3        0.13        2.54        -42.8377       0.1585      0     4
    4        0.13        2.67        -43.5543       0.1546      0     5
    5        0.13        2.81        -42.2545       0.1513      0     5
    6        0.13        2.94        -43.2664       0.1269      0     4
    7        0.13        3.07        -41.2177       0.1495      0     3
    8        0.13        3.20        -42.8441       0.1172      0     5
    9        0.13        3.33        -39.9143       0.1433      0     7
    6        0.01        3.34        -39.9143       0.1433      0     7
