# Kona constrained RSNK convergence history file
# iters        cost     optimality       design_opt       slack_opt        feasibility      objective        mu param         radius      
      1          14     4.776911e+00     4.772890e+00     1.959592e-01     6.324495e+01     2.646540e+02     1.000000e+00     5.000000e+01
      2         141     1.682424e+01     1.710943e-03     1.682424e+01     4.832472e+00     2.599186e+02     1.258925e+00     4.968341e+01
      3         328     2.433721e+02     1.266332e-03     2.433721e+02     1.106321e+01     1.454375e+02     1.584893e+00     4.999861e+01
      4         574     3.882227e+01     7.782488e-04     3.882227e+01     3.232326e+01     1.475577e+02     1.995262e+00     6.250686e+00
      5         777     4.250965e+01     1.821376e-03     4.250965e+01     7.031716e+00     1.368591e+02     2.511886e+00     1.250152e+01
      6        1015     3.246695e+01     1.266716e-03     3.246695e+01     5.099164e+00     8.402973e+01     3.162278e+00     2.500311e+01
      7        1335     1.171716e+02     2.703852e-02     1.171716e+02     4.399181e+00     3.668934e+01     3.981072e+00     2.500313e+01
      8        1642     4.203221e+00     8.193777e-02     4.202422e+00     3.514949e+00     5.264636e+01     5.011872e+00     2.500313e+01
      9        1988     1.821107e+00     3.738769e-02     1.820723e+00     2.425753e+00     2.281143e+01     6.309573e+00     1.250156e+01
     10        2354     1.097547e+00     6.988783e-01     8.462734e-01     1.488512e+00     1.615346e+01     7.943282e+00     3.125391e+00
     11        2819     4.699474e-01     3.095459e-01     3.535985e-01     1.305289e+00     1.285557e+01     1.000000e+01     7.813477e-01
     12        4018     3.064877e-01     2.300544e-01     2.025084e-01     1.068156e+00     1.166058e+01     1.000000e+01     3.906739e-01
     13        5242     2.482893e-01     2.158356e-01     1.227297e-01     1.107332e+00     1.083240e+01     1.000000e+01     3.906739e-01
     14        6506     1.610645e-01     1.391768e-01     8.106546e-02     5.122282e-01     1.051885e+01     1.000000e+01     7.813477e-01
     15        7848     2.173547e-01     2.154981e-01     2.834871e-02     2.114391e-01     1.047841e+01     1.000000e+01     3.906739e-01
     16        9185     1.611690e-01     1.600501e-01     1.895810e-02     2.098986e-01     1.032251e+01     1.000000e+01     7.813477e-01
     17       10658     1.813861e-01     1.812821e-01     6.140973e-03     1.925790e-01     1.019683e+01     1.000000e+01     7.813477e-01
     18       12390     1.755248e-01     1.755098e-01     2.296135e-03     1.893697e-01     1.020395e+01     1.000000e+01     9.766846e-02
     19       14290     1.736034e-01     1.736010e-01     9.058125e-04     1.961979e-01     1.020364e+01     1.000000e+01     4.883423e-02
     20       17244     1.987212e-01     1.987191e-01     9.078675e-04     1.961979e-01     1.020364e+01     1.000000e+01     0.000000e+00
