#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 6.342510e+01
# initial gradient norm     = 4.776911e+00
# initial constraint norm   = 6.324495e+01
# iters     rel. res.        rel. grad.       rel. feas.       aug. res.        aug. grad.       aug. feas.       pred             pred. aug.       mu          
      1     9.985769e-01     1.000923e+00     9.972525e-01     9.993466e-01     1.429116e+00     9.956922e-01     -6.834164e-02     4.086381e-02     6.309573e+00
      2     8.716758e-01     1.054491e+00     7.492353e-01     2.061815e+00     3.384396e+00     4.642290e-01     2.712470e-01     1.734915e+01     6.309573e+00
      3     6.998019e-01     1.014091e+00     4.314284e-01     2.510374e+00     4.137853e+00     4.943933e-01     -1.093892e-01     1.745070e+01     6.309573e+00
      4     6.481407e-01     9.585179e-01     3.728692e-01     2.320286e+00     3.821146e+00     4.577320e-01     2.163014e-01     1.811118e+01     6.309573e+00
      5     6.441052e-01     9.466854e-01     3.789234e-01     7.260093e+00     1.208112e+01     3.773606e-01     6.492694e-01     1.862898e+01     6.309573e+00
      6     5.802836e-01     9.115881e-01     2.411586e-01     3.391656e+01     5.648930e+01     4.155486e-01     6.450212e-01     1.980929e+01     6.309573e+00
      7     5.787970e-01     8.997408e-01     2.599190e-01     3.829591e+01     6.378383e+01     4.336902e-01     1.051298e+00     1.994689e+01     6.309573e+00
      8     5.730096e-01     8.885383e-01     2.615837e-01     3.497633e+01     5.825443e+01     4.353414e-01     1.321523e+00     2.008006e+01     6.309573e+00
      9     5.708438e-01     8.916909e-01     2.477684e-01     3.477335e+01     5.791633e+01     4.363663e-01     1.122804e+00     2.008040e+01     6.309573e+00
     10     5.444847e-01     8.531997e-01     2.308119e-01     8.418784e+01     1.402236e+02     4.381970e-01     9.839292e-01     2.268677e+01     6.309573e+00
     11     5.400553e-01     8.238083e-01     2.711879e-01     1.307032e+02     2.177007e+02     4.393399e-01     1.868160e+00     2.275068e+01     6.309573e+00
     12     4.975027e-01     7.514483e-01     2.622052e-01     1.052111e+02     1.752405e+02     4.039033e-01     2.452005e+00     2.433192e+01     6.309573e+00
     13     4.971587e-01     7.492511e-01     2.647168e-01     1.075776e+02     1.791822e+02     4.040306e-01     2.521021e+00     2.433298e+01     6.309573e+00
     14     4.868061e-01     7.227019e-01     2.759937e-01     1.210921e+02     2.016923e+02     3.935400e-01     2.979507e+00     2.466488e+01     6.309573e+00
     15     4.564109e-01     6.459041e-01     3.009709e-01     2.494092e+02     4.154199e+02     3.743654e-01     4.852163e+00     2.526389e+01     6.309573e+00
     16     4.207986e-01     5.976491e-01     2.748786e-01     1.752088e+02     2.918304e+02     2.593757e-01     5.430442e+00     2.689211e+01     6.309573e+00
     17     3.798913e-01     5.055769e-01     2.856448e-01     1.723858e+02     2.871284e+02     2.550060e-01     7.024021e+00     2.692433e+01     6.309573e+00
     18     3.719958e-01     4.921009e-01     2.826448e-01     1.732954e+02     2.886434e+02     2.550064e-01     7.203504e+00     2.692535e+01     6.309573e+00
     19     3.706264e-01     4.888914e-01     2.829711e-01     1.981295e+02     3.300076e+02     1.977791e-01     7.264544e+00     2.733670e+01     6.309573e+00
     20     3.485673e-01     4.511375e-01     2.743514e-01     1.577274e+02     2.627132e+02     1.501912e-01     7.509636e+00     2.753355e+01     6.309573e+00
# negative curvature suspected
# FLECS final (true) rel. res.  :   |res|/|res0| = 3.485673e-01
# FLECS final (true) rel. feas. : |feas|/|feas0| = 2.743514e-01
#-------------------------------------------------
# FLECS resolving at new radius
     20     4.666634e-01     4.511375e-01     2.743514e-01     4.666634e-01     4.511375e-01     1.501912e-01     7.509636e+00     2.753355e+01     6.309573e+00
# negative curvature suspected
#-------------------------------------------------
# FLECS resolving at new radius
     20     4.666634e-01     4.511375e-01     2.743514e-01     4.666634e-01     4.511375e-01     1.483918e-01     7.509636e+00     2.747799e+01     6.309573e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS resolving at new radius
     20     4.666634e-01     4.511375e-01     2.743514e-01     4.666634e-01     4.511375e-01     1.808787e-01     7.509636e+00     2.578013e+01     6.309573e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 4.036427e-04
# initial residual norm     = 1.849399e+00
# initial gradient norm     = 1.097547e+00
# initial constraint norm   = 1.488512e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. res.        aug. grad.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     7.943282e+00
      1     9.626884e-01     1.064127e+00     9.027681e-01     1.181299e+00     1.774995e+00     6.567838e-01     1.898976e+00     7.252256e+00     7.943282e+00
      2     5.106921e-01     6.745256e-01     3.939999e-01     5.936886e-01     8.720274e-01     1.944953e-01     3.054834e+00     1.145593e+01     7.943282e+00
      3     2.158280e-01     3.472952e-01     7.957422e-02     2.567864e-01     4.115419e-01     1.445050e-02     3.544304e+00     1.238170e+01     7.943282e+00
      4     1.242340e-01     2.077116e-01     1.920276e-02     1.434094e-01     2.111055e-01     1.119119e-02     3.660222e+00     1.247889e+01     7.943282e+00
      5     6.918820e-02     1.147052e-01     1.537130e-02     1.014846e-01     1.070739e-01     1.438703e-02     3.671375e+00     1.248776e+01     7.943282e+00
      6     4.577539e-02     7.696191e-02     3.784827e-03     6.102481e-02     0.000000e+00     1.507481e-02     3.686369e+00     1.249083e+01     7.943282e+00
      7     2.783136e-02     4.689282e-02     4.428917e-04     4.247646e-02     0.000000e+00     1.448200e-02     3.690035e+00     1.249261e+01     7.943282e+00
      8     1.376152e-02     2.316300e-02     8.027839e-04     2.980965e-02     0.000000e+00     1.406284e-02     3.691102e+00     1.249305e+01     7.943282e+00
      9     7.781950e-03     1.310920e-02     2.271107e-04     1.891959e-02     0.000000e+00     1.390856e-02     3.691526e+00     1.249313e+01     7.943282e+00
     10     3.356670e-03     5.651655e-03     1.650961e-04     2.177402e-02     0.000000e+00     1.400425e-02     3.691521e+00     1.249317e+01     7.943282e+00
     11     1.698093e-03     2.855059e-03     1.396917e-04     2.349095e-02     0.000000e+00     1.405603e-02     3.691538e+00     1.249319e+01     7.943282e+00
     12     1.005080e-03     1.691811e-03     5.721047e-05     2.317813e-02     0.000000e+00     1.406918e-02     3.691564e+00     1.249319e+01     7.943282e+00
     13     4.810271e-04     8.102031e-04     1.735481e-05     2.310230e-02     0.000000e+00     1.406886e-02     3.691584e+00     1.249319e+01     7.943282e+00
     14     1.981420e-04     3.330924e-04     1.684761e-05     2.371838e-02     0.000000e+00     1.407720e-02     3.691584e+00     1.249320e+01     7.943282e+00
# negative curvature suspected
# FLECS final (true) rel. res.  :   |res|/|res0| = 1.982803e-04
# FLECS final (true) rel. feas. : |feas|/|feas0| = 1.684761e-05
#-------------------------------------------------
# FLECS resolving at new radius
     14     1.990678e-04     3.330924e-04     1.684761e-05     1.990678e-04     3.330924e-04     1.407720e-02     3.691584e+00     1.249320e+01     7.943282e+00
# negative curvature suspected
#-------------------------------------------------
# FLECS resolving at new radius
     14     1.990678e-04     3.330924e-04     1.684761e-05     1.990678e-04     3.330924e-04     2.383405e-02     3.691584e+00     1.214860e+01     7.943282e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 4.603019e-04
# initial residual norm     = 1.387311e+00
# initial gradient norm     = 4.699474e-01
# initial constraint norm   = 1.305289e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. res.        aug. grad.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.000000e+01
      1     9.556457e-01     9.903233e-01     9.510580e-01     1.016855e+00     1.931609e+00     8.933170e-01     7.376896e-01     2.193799e+00     1.000000e+01
      2     9.081641e-01     1.046700e+00     8.886267e-01     1.016960e+00     2.077948e+00     7.943549e-01     9.151581e-01     4.419319e+00     1.000000e+01
      3     7.496633e-01     1.456468e+00     5.998932e-01     7.582695e-01     1.040372e+00     6.646551e-01     1.464693e+00     6.328712e+00     1.000000e+01
      4     6.385094e-01     1.468440e+00     4.254776e-01     7.010836e-01     9.656120e-01     5.669766e-01     6.195959e-01     7.266745e+00     1.000000e+01
      5     4.625358e-01     1.245291e+00     2.016357e-01     5.328093e-01     9.046520e-01     2.801157e-01     1.669816e+00     9.353580e+00     1.000000e+01
      6     3.089373e-01     8.708163e-01     9.755692e-02     3.720057e-01     5.951134e-01     1.441288e-01     1.816130e+00     1.002527e+01     1.000000e+01
      7     2.335438e-01     6.685925e-01     6.057070e-02     3.079514e-01     4.770632e-01     1.013241e-01     1.826582e+00     1.019983e+01     1.000000e+01
      8     1.768344e-01     5.120061e-01     3.664517e-02     2.965676e-01     4.600759e-01     9.387068e-02     1.972214e+00     1.025236e+01     1.000000e+01
      9     1.635982e-01     4.770445e-01     2.711011e-02     3.428488e-01     8.221425e-01     5.895573e-02     2.017370e+00     1.030861e+01     1.000000e+01
     10     1.575833e-01     4.602727e-01     2.429900e-02     3.124667e-01     8.568060e-01     1.975204e-02     2.052099e+00     1.039812e+01     1.000000e+01
     11     1.521800e-01     4.448555e-01     2.255169e-02     3.023890e-01     8.711867e-01     6.411087e-03     2.086869e+00     1.043571e+01     1.000000e+01
     12     1.500056e-01     4.388930e-01     2.119852e-02     3.146722e-01     9.180199e-01     3.409286e-03     2.115930e+00     1.044503e+01     1.000000e+01
     13     1.499907e-01     4.388161e-01     2.128540e-02     3.226630e-01     9.432417e-01     2.975710e-03     2.118739e+00     1.044652e+01     1.000000e+01
     14     1.479167e-01     4.331989e-01     1.974950e-02     3.399476e-01     9.984694e-01     1.718966e-03     2.087852e+00     1.045104e+01     1.000000e+01
     15     1.355888e-01     3.977026e-01     1.628226e-02     3.432779e-01     1.011636e+00     5.960162e-04     2.013350e+00     1.045510e+01     1.000000e+01
     16     1.110093e-01     3.265904e-01     9.724939e-03     3.568389e-01     1.052255e+00     4.107826e-04     2.000073e+00     1.045577e+01     1.000000e+01
     17     8.992365e-02     2.643016e-01     8.917132e-03     3.537165e-01     1.043971e+00     7.746435e-05     2.004884e+00     1.045695e+01     1.000000e+01
     18     7.294290e-02     2.141765e-01     8.018574e-03     3.772564e-01     1.112164e+00     5.717349e-04     2.000604e+00     1.045929e+01     1.000000e+01
     19     6.048772e-02     1.778748e-01     5.639355e-03     4.063071e-01     1.197798e+00     6.661960e-04     2.020761e+00     1.045962e+01     1.000000e+01
     20     5.388510e-02     1.588000e-01     3.346437e-03     3.881263e-01     1.143944e+00     7.075994e-04     2.035125e+00     1.045978e+01     1.000000e+01
     21     5.261983e-02     1.551559e-01     2.697088e-03     4.125613e-01     1.215733e+00     8.935172e-04     2.040001e+00     1.046045e+01     1.000000e+01
     22     5.188057e-02     1.529972e-01     2.496625e-03     5.059250e-01     1.491566e+00     9.861515e-04     2.046150e+00     1.046079e+01     1.000000e+01
     23     5.139829e-02     1.515509e-01     2.657801e-03     5.057782e-01     1.491132e+00     9.861494e-04     2.052840e+00     1.046079e+01     1.000000e+01
     24     5.133634e-02     1.513596e-01     2.717709e-03     4.856026e-01     1.431362e+00     1.048637e-03     2.055210e+00     1.046102e+01     1.000000e+01
     25     5.111978e-02     1.507216e-01     2.702669e-03     5.543485e-01     1.634532e+00     1.070879e-03     2.051221e+00     1.046110e+01     1.000000e+01
     26     5.019385e-02     1.479705e-01     2.801995e-03     4.920677e-01     1.450413e+00     1.079559e-03     2.043708e+00     1.046113e+01     1.000000e+01
     27     4.929232e-02     1.452920e-01     2.890074e-03     4.686195e-01     1.381029e+00     1.104291e-03     2.040754e+00     1.046122e+01     1.000000e+01
     28     4.850897e-02     1.430101e-01     2.661945e-03     4.988854e-01     1.470512e+00     1.107814e-03     2.042564e+00     1.046123e+01     1.000000e+01
     29     4.782859e-02     1.410352e-01     2.399864e-03     4.183002e-01     1.232148e+00     1.125905e-03     2.048335e+00     1.046130e+01     1.000000e+01
     30     4.754134e-02     1.401923e-01     2.353531e-03     4.100527e-01     1.207701e+00     1.144499e-03     2.053100e+00     1.046137e+01     1.000000e+01
     31     4.744630e-02     1.399087e-01     2.374353e-03     4.014735e-01     1.182312e+00     1.145438e-03     2.057107e+00     1.046137e+01     1.000000e+01
     32     4.740274e-02     1.397743e-01     2.417165e-03     4.068517e-01     1.198193e+00     1.159155e-03     2.061475e+00     1.046142e+01     1.000000e+01
     33     4.739456e-02     1.397472e-01     2.439480e-03     4.930273e-01     1.453019e+00     1.193018e-03     2.064555e+00     1.046155e+01     1.000000e+01
     34     4.738682e-02     1.397239e-01     2.442736e-03     4.856817e-01     1.431295e+00     1.194304e-03     2.060785e+00     1.046155e+01     1.000000e+01
     35     4.732838e-02     1.395504e-01     2.448414e-03     5.810963e-01     1.713353e+00     1.203940e-03     2.048131e+00     1.046159e+01     1.000000e+01
     36     4.719683e-02     1.391491e-01     2.538333e-03     6.636033e-01     1.957153e+00     1.219147e-03     2.027473e+00     1.046164e+01     1.000000e+01
     37     4.685578e-02     1.381352e-01     2.579047e-03     6.395706e-01     1.886135e+00     1.221396e-03     1.976469e+00     1.046165e+01     1.000000e+01
     38     4.640768e-02     1.368324e-01     2.424268e-03     6.664297e-01     1.965500e+00     1.221999e-03     1.912177e+00     1.046165e+01     1.000000e+01
     39     4.584024e-02     1.351758e-01     2.270884e-03     7.233725e-01     2.133730e+00     1.231606e-03     1.837924e+00     1.046169e+01     1.000000e+01
     40     4.533826e-02     1.336937e-01     2.260440e-03     6.961893e-01     2.053412e+00     1.235449e-03     1.777686e+00     1.046170e+01     1.000000e+01
# negative curvature suspected
# trust-radius constraint active
# FLECS final (true) rel. res.  :   |res|/|res0| = 4.533822e-02
# FLECS final (true) rel. feas. : |feas|/|feas0| = 2.260440e-03
#-------------------------------------------------
# FLECS resolving at new radius
     40     4.543792e-02     1.336937e-01     2.260440e-03     4.543792e-02     1.336937e-01     6.601737e-03     1.777686e+00     1.011176e+01     1.000000e+01
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 5.624902e-04
# initial residual norm     = 1.111257e+00
# initial gradient norm     = 3.064877e-01
# initial constraint norm   = 1.068156e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. res.        aug. grad.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.000000e+01
      1     9.932727e-01     1.043152e+00     9.890541e-01     1.004758e+00     1.479086e+00     9.747351e-01     1.751709e-01     4.410432e-01     1.000000e+01
      2     9.842806e-01     1.100977e+00     9.740503e-01     1.088086e+00     2.242169e+00     9.266300e-01     -2.374446e-01     1.073410e+00     1.000000e+01
      3     9.125481e-01     1.526894e+00     8.422350e-01     9.617586e-01     1.553770e+00     8.570585e-01     -9.396035e-02     2.072888e+00     1.000000e+01
      4     8.631579e-01     1.707965e+00     7.524711e-01     8.987611e-01     1.042291e+00     8.383255e-01     -1.099425e+00     2.437121e+00     1.000000e+01
      5     8.187389e-01     1.831712e+00     6.702922e-01     8.521692e-01     8.161605e-01     7.809695e-01     6.014608e-01     2.909606e+00     1.000000e+01
      6     6.510937e-01     1.883912e+00     4.081981e-01     7.363558e-01     0.000000e+00     6.615737e-01     2.788534e-01     3.808833e+00     1.000000e+01
      7     5.499053e-01     1.756575e+00     2.706636e-01     6.769658e-01     0.000000e+00     6.118805e-01     1.243493e-01     4.192170e+00     1.000000e+01
      8     3.926297e-01     1.329171e+00     1.462815e-01     5.432123e-01     0.000000e+00     4.818139e-01     6.558504e-01     4.990560e+00     1.000000e+01
      9     3.135903e-01     1.083201e+00     9.917385e-02     4.904879e-01     0.000000e+00     4.338260e-01     7.746458e-01     5.269692e+00     1.000000e+01
     10     2.687462e-01     9.426519e-01     7.080343e-02     4.741742e-01     0.000000e+00     4.198622e-01     7.687906e-01     5.356225e+00     1.000000e+01
     11     2.420807e-01     8.576688e-01     5.353859e-02     4.681149e-01     0.000000e+00     4.177874e-01     9.818722e-01     5.382640e+00     1.000000e+01
     12     2.276297e-01     8.095097e-01     4.615190e-02     4.707798e-01     0.000000e+00     3.698406e-01     1.005981e+00     5.548355e+00     1.000000e+01
     13     2.180920e-01     7.755199e-01     4.432133e-02     4.790314e-01     0.000000e+00     2.771008e-01     1.020888e+00     5.866735e+00     1.000000e+01
     14     2.067809e-01     7.359220e-01     4.111396e-02     5.338546e-01     1.637757e+00     9.360860e-02     1.086716e+00     6.363475e+00     1.000000e+01
     15     1.979120e-01     7.051388e-01     3.818215e-02     5.126771e-01     1.713763e+00     4.558440e-02     1.092286e+00     6.472384e+00     1.000000e+01
     16     1.940616e-01     6.925219e-01     3.572329e-02     4.899879e-01     1.669030e+00     3.259130e-02     1.138850e+00     6.508285e+00     1.000000e+01
     17     1.923206e-01     6.875633e-01     3.333907e-02     4.835008e-01     1.643242e+00     3.280201e-02     1.162638e+00     6.509469e+00     1.000000e+01
     18     1.923077e-01     6.874660e-01     3.342404e-02     5.061705e-01     1.770255e+00     2.061214e-02     1.164997e+00     6.533223e+00     1.000000e+01
     19     1.912278e-01     6.846982e-01     3.132990e-02     5.090956e-01     1.815379e+00     9.816764e-03     1.139783e+00     6.563513e+00     1.000000e+01
     20     1.863951e-01     6.681916e-01     2.906745e-02     4.918819e-01     1.759684e+00     7.406865e-03     1.098210e+00     6.571577e+00     1.000000e+01
     21     1.776523e-01     6.363719e-01     2.859513e-02     4.869399e-01     1.741609e+00     7.379559e-03     1.083865e+00     6.571774e+00     1.000000e+01
     22     1.642309e-01     5.888004e-01     2.549089e-02     5.207279e-01     1.870614e+00     5.761287e-03     1.079800e+00     6.576620e+00     1.000000e+01
     23     1.463942e-01     5.254683e-01     2.151803e-02     5.441894e-01     1.962809e+00     3.565470e-03     1.066786e+00     6.584157e+00     1.000000e+01
     24     1.281174e-01     4.607236e-01     1.701804e-02     5.330002e-01     1.925312e+00     2.452522e-03     1.051519e+00     6.588210e+00     1.000000e+01
     25     1.131765e-01     4.078272e-01     1.304338e-02     5.220685e-01     1.885899e+00     2.328238e-03     1.087177e+00     6.588679e+00     1.000000e+01
     26     1.032667e-01     3.727793e-01     1.005269e-02     5.312849e-01     1.919580e+00     2.280138e-03     1.125143e+00     6.588844e+00     1.000000e+01
     27     9.868098e-02     3.566079e-01     8.357222e-03     5.440709e-01     1.966981e+00     1.974781e-03     1.143383e+00     6.589960e+00     1.000000e+01
     28     9.536412e-02     3.447592e-01     7.577351e-03     5.347890e-01     1.934646e+00     1.492132e-03     1.155638e+00     6.591761e+00     1.000000e+01
     29     9.296176e-02     3.361898e-01     6.939905e-03     5.263639e-01     1.904421e+00     1.360578e-03     1.166511e+00     6.592255e+00     1.000000e+01
     30     9.147744e-02     3.307649e-01     7.052814e-03     5.241710e-01     1.896498e+00     1.345816e-03     1.177960e+00     6.592310e+00     1.000000e+01
     31     9.070642e-02     3.279373e-01     7.145250e-03     5.284604e-01     1.912229e+00     1.296697e-03     1.186098e+00     6.592496e+00     1.000000e+01
     32     9.058212e-02     3.274536e-01     7.263881e-03     5.323871e-01     1.926860e+00     1.172833e-03     1.189890e+00     6.592965e+00     1.000000e+01
     33     9.049038e-02     3.271101e-01     7.300394e-03     5.334408e-01     1.930916e+00     1.095289e-03     1.186663e+00     6.593258e+00     1.000000e+01
     34     8.992033e-02     3.250265e-01     7.338474e-03     5.342202e-01     1.933773e+00     1.086427e-03     1.178888e+00     6.593291e+00     1.000000e+01
     35     8.804483e-02     3.182276e-01     7.257004e-03     5.348950e-01     1.936261e+00     1.073396e-03     1.164037e+00     6.593342e+00     1.000000e+01
     36     8.284809e-02     2.995976e-01     6.251670e-03     5.434324e-01     1.967473e+00     1.001706e-03     1.134614e+00     6.593615e+00     1.000000e+01
     37     7.871712e-02     2.845938e-01     6.192293e-03     5.507323e-01     1.994146e+00     9.429825e-04     1.116252e+00     6.593837e+00     1.000000e+01
     38     7.578853e-02     2.739773e-01     6.068782e-03     5.497380e-01     1.990573e+00     9.303594e-04     1.113403e+00     6.593885e+00     1.000000e+01
     39     7.207054e-02     2.605682e-01     5.652438e-03     5.519859e-01     1.998741e+00     9.278929e-04     1.111632e+00     6.593894e+00     1.000000e+01
     40     6.812030e-02     2.463880e-01     4.941628e-03     5.658705e-01     2.049245e+00     8.929878e-04     1.113012e+00     6.594028e+00     1.000000e+01
# negative curvature suspected
# trust-radius constraint active
# FLECS final (true) rel. res.  :   |res|/|res0| = 6.812136e-02
# FLECS final (true) rel. feas. : |feas|/|feas0| = 4.941628e-03
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 5.425897e-04
# initial residual norm     = 1.134827e+00
# initial gradient norm     = 2.482893e-01
# initial constraint norm   = 1.107332e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. res.        aug. grad.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.000000e+01
      1     9.999020e-01     9.771314e-01     1.001033e+00     1.007703e+00     1.843457e+00     9.917982e-01     -2.636572e-02     1.457855e-01     1.000000e+01
      2     9.967553e-01     1.114175e+00     9.904845e-01     1.027659e+00     2.124612e+00     9.769271e-01     -1.323171e+00     3.314785e-01     1.000000e+01
      3     9.409714e-01     1.829304e+00     8.727552e-01     9.917122e-01     2.199805e+00     8.744013e-01     -1.432861e+00     1.238703e+00     1.000000e+01
      4     8.856332e-01     2.145612e+00     7.696278e-01     9.503164e-01     2.038560e+00     8.189525e-01     -4.045369e+00     1.708617e+00     1.000000e+01
      5     8.298931e-01     2.281686e+00     6.794171e-01     8.690205e-01     1.306876e+00     7.832131e-01     -1.161731e+01     2.289226e+00     1.000000e+01
      6     7.368215e-01     2.321676e+00     5.469960e-01     7.813465e-01     0.000000e+00     7.233491e-01     -9.072444e-01     2.980140e+00     1.000000e+01
      7     6.152294e-01     2.272371e+00     3.713875e-01     7.064017e-01     0.000000e+00     6.293353e-01     -5.429172e+00     3.641791e+00     1.000000e+01
      8     5.132600e-01     2.036265e+00     2.611847e-01     5.772170e-01     0.000000e+00     4.868596e-01     -3.391875e-01     4.814955e+00     1.000000e+01
      9     4.493835e-01     1.866657e+00     1.921371e-01     5.177130e-01     0.000000e+00     4.209921e-01     -9.263440e-02     5.201206e+00     1.000000e+01
     10     3.006854e-01     1.319848e+00     8.588703e-02     3.796117e-01     0.000000e+00     2.418802e-01     -1.040739e+00     5.921882e+00     1.000000e+01
     11     2.770645e-01     1.225537e+00     7.150258e-02     3.360729e-01     0.000000e+00     1.692730e-01     -1.561952e-01     6.206087e+00     1.000000e+01
     12     2.436572e-01     1.088123e+00     5.316394e-02     2.925621e-01     0.000000e+00     1.057712e-01     -3.392782e-01     6.376424e+00     1.000000e+01
     13     2.331721e-01     1.043453e+00     4.860604e-02     2.906933e-01     6.173657e-01     7.705795e-02     2.371627e-01     6.470148e+00     1.000000e+01
     14     2.231523e-01     1.000488e+00     4.444752e-02     2.838976e-01     5.132533e-01     7.907000e-02     2.024527e-01     6.475577e+00     1.000000e+01
     15     2.111856e-01     9.482545e-01     4.042513e-02     2.896261e-01     6.590330e-01     7.337686e-02     3.091862e-01     6.477009e+00     1.000000e+01
     16     2.009383e-01     9.040884e-01     3.621915e-02     3.117538e-01     1.098411e+00     4.586404e-02     2.350921e-01     6.494509e+00     1.000000e+01
     17     1.878477e-01     8.464882e-01     3.218717e-02     3.277553e-01     1.383899e+00     1.831201e-02     3.716966e-01     6.517076e+00     1.000000e+01
     18     1.658774e-01     7.508351e-01     2.356788e-02     3.233014e-01     1.428872e+00     7.897216e-03     4.085843e-01     6.528328e+00     1.000000e+01
     19     1.476741e-01     6.706507e-01     1.706790e-02     3.100312e-01     1.384957e+00     5.002086e-03     3.915246e-01     6.532231e+00     1.000000e+01
     20     1.369672e-01     6.229701e-01     1.383888e-02     3.011050e-01     1.349276e+00     4.089211e-03     3.860273e-01     6.533616e+00     1.000000e+01
     21     1.318125e-01     5.994162e-01     1.356202e-02     2.941733e-01     1.318280e+00     3.893481e-03     4.305515e-01     6.533918e+00     1.000000e+01
     22     1.241338e-01     5.646032e-01     1.253478e-02     2.910193e-01     1.303691e+00     3.876420e-03     4.473160e-01     6.533936e+00     1.000000e+01
     23     1.182127e-01     5.375238e-01     1.226701e-02     3.012043e-01     1.351219e+00     3.866532e-03     5.099866e-01     6.533995e+00     1.000000e+01
     24     1.143670e-01     5.198315e-01     1.231292e-02     3.275460e-01     1.474294e+00     3.768695e-03     5.311317e-01     6.534300e+00     1.000000e+01
     25     1.125211e-01     5.115037e-01     1.198127e-02     3.452658e-01     1.557187e+00     3.644377e-03     5.401006e-01     6.534651e+00     1.000000e+01
     26     1.115795e-01     5.073846e-01     1.152910e-02     3.466868e-01     1.564299e+00     3.551959e-03     5.449106e-01     6.534903e+00     1.000000e+01
     27     1.111522e-01     5.054059e-01     1.156423e-02     3.363068e-01     1.516527e+00     3.500522e-03     5.495542e-01     6.535042e+00     1.000000e+01
     28     1.109593e-01     5.045317e-01     1.153774e-02     3.202964e-01     1.442474e+00     3.473614e-03     5.532379e-01     6.535116e+00     1.000000e+01
     29     1.109577e-01     5.045252e-01     1.153548e-02     3.130403e-01     1.408831e+00     3.469355e-03     5.535821e-01     6.535130e+00     1.000000e+01
     30     1.105536e-01     5.027482e-01     1.135934e-02     3.171445e-01     1.427910e+00     3.464283e-03     5.474890e-01     6.535140e+00     1.000000e+01
     31     1.091726e-01     4.965910e-01     1.094034e-02     3.237587e-01     1.458831e+00     3.424850e-03     5.327185e-01     6.535228e+00     1.000000e+01
     32     1.071796e-01     4.877534e-01     1.020775e-02     3.248371e-01     1.464253e+00     3.356018e-03     5.156980e-01     6.535386e+00     1.000000e+01
     33     1.041211e-01     4.741803e-01     9.047655e-03     3.175234e-01     1.430748e+00     3.292242e-03     4.963765e-01     6.535534e+00     1.000000e+01
     34     1.000594e-01     4.561592e-01     7.332336e-03     3.090549e-01     1.391616e+00     3.269847e-03     4.796832e-01     6.535586e+00     1.000000e+01
     35     9.506922e-02     4.334175e-01     6.941693e-03     3.053938e-01     1.374645e+00     3.267171e-03     4.689222e-01     6.535593e+00     1.000000e+01
     36     8.995485e-02     4.104552e-01     5.342296e-03     3.124694e-01     1.407525e+00     3.258871e-03     4.617652e-01     6.535612e+00     1.000000e+01
     37     8.477296e-02     3.869218e-01     4.585381e-03     3.248048e-01     1.464903e+00     3.225638e-03     4.512513e-01     6.535691e+00     1.000000e+01
     38     8.026542e-02     3.664584e-01     3.846747e-03     3.280312e-01     1.480065e+00     3.189439e-03     4.478054e-01     6.535776e+00     1.000000e+01
     39     7.349865e-02     3.356168e-01     3.260677e-03     3.235394e-01     1.459315e+00     3.181112e-03     4.471547e-01     6.535796e+00     1.000000e+01
     40     6.525343e-02     2.979619e-01     2.919468e-03     3.172860e-01     1.430363e+00     3.178325e-03     4.541592e-01     6.535803e+00     1.000000e+01
# negative curvature suspected
# trust-radius constraint active
# FLECS final (true) rel. res.  :   |res|/|res0| = 6.525808e-02
# FLECS final (true) rel. feas. : |feas|/|feas0| = 2.919468e-03
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 1.172968e-03
# initial residual norm     = 5.369539e-01
# initial gradient norm     = 1.610645e-01
# initial constraint norm   = 5.122282e-01
# iters     rel. res.        rel. grad.       rel. feas.       aug. res.        aug. grad.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.000000e+01
