#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 6.342510e+01
# initial gradient norm     = 4.776911e+00
# initial constraint norm   = 6.324495e+01
# iters     rel. res.        rel. grad.       rel. feas.       aug. res.        aug. grad.       aug. feas.       pred             pred. aug.       mu          
     10     3.716275e-04     3.642905e-04     1.658622e-03     1.133301e+00     1.134132e+00     4.123272e+00     -3.560880e+02     1.949133e+03     1.584893e+00
     11     3.601978e-04     3.541575e-04     1.489252e-03     1.133303e+00     1.134134e+00     4.123334e+00     -3.560880e+02     1.949170e+03     1.584893e+00
     12     1.094552e-04     9.577629e-05     1.170695e-03     1.133299e+00     1.134130e+00     4.123306e+00     -3.560908e+02     1.949221e+03     1.584893e+00
     13     6.780042e-05     3.936547e-05     1.216242e-03     1.133299e+00     1.134130e+00     4.123305e+00     -3.560910e+02     1.949223e+03     1.584893e+00
     14     1.288556e-05     1.202735e-05     1.025315e-04     1.133299e+00     1.134130e+00     4.123307e+00     -3.560911e+02     1.949224e+03     1.584893e+00
# negative curvature suspected
# trust-radius constraint active
# FLECS final (true) rel. res.  :   |res|/|res0| = 1.288563e-05
# FLECS final (true) rel. feas. : |feas|/|feas0| = 1.025315e-04
#-------------------------------------------------
# FLECS resolving at new radius
     14     1.447051e-05     1.202735e-05     1.025315e-04     1.447051e-05     1.202735e-05     3.182747e+00     -3.560911e+02     6.908739e+02     1.584893e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS resolving at new radius
     14     1.447051e-05     1.202735e-05     1.025315e-04     1.447051e-05     1.202735e-05     2.768415e+00     -3.560911e+02     3.544159e+02     1.584893e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS resolving at new radius
     14     1.447051e-05     1.202735e-05     1.025315e-04     1.447051e-05     1.202735e-05     2.505013e+00     -3.560911e+02     2.545198e+02     1.584893e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 3.818799e-04
# initial residual norm     = 5.051694e+01
# initial gradient norm     = 3.882227e+01
# initial constraint norm   = 3.232326e+01
# iters     rel. res.        rel. grad.       rel. feas.       aug. res.        aug. grad.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.995262e+00
      1     6.633844e-01     4.886658e-01     8.546593e-01     7.209045e-01     9.287014e-01     8.152142e-01     -1.021195e+02     2.823175e+02     1.995262e+00
      2     3.628980e-01     2.039712e-01     5.115227e-01     1.063645e+00     1.383627e+00     5.501571e-02     -7.176616e+01     9.774242e+02     1.995262e+00
      3     2.579195e-01     1.809669e-01     3.394738e-01     4.912923e+00     6.392774e+00     5.947827e-02     -5.297864e+01     1.002678e+03     1.995262e+00
      4     7.125977e-02     9.264366e-02     4.686388e-03     2.955930e+00     3.846197e+00     5.932664e-02     -7.063588e+01     1.002696e+03     1.995262e+00
      5     6.854674e-02     8.787443e-02     1.836959e-02     3.320842e+00     4.321052e+00     5.932327e-02     -9.854601e+01     1.002697e+03     1.995262e+00
      6     3.410915e-02     4.242859e-02     1.564886e-02     1.249457e+01     1.625835e+01     5.931408e-02     -2.617717e+02     1.002698e+03     1.995262e+00
      7     3.228004e-02     3.973217e-02     1.636652e-02     6.250053e+01     8.132794e+01     5.631671e-02     -2.638383e+02     9.849274e+02     1.995262e+00
      8     1.354636e-02     1.189668e-02     1.562216e-02     2.922319e+01     3.802626e+01     5.631600e-02     -2.722329e+02     9.849276e+02     1.995262e+00
      9     1.000673e-02     7.706929e-03     1.260561e-02     3.022038e+01     3.932384e+01     5.631601e-02     -2.724336e+02     9.849276e+02     1.995262e+00
