# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.01        0.01        215.285       0.0000      0     0
    1        0.35        0.36        300.348       7.0473      0     0
    2        0.23        0.59        196.066       3.7618      0     0
    3        0.22        0.80        176.093       3.2022      0     0
    4        0.27        1.07        120.443       1.8184      0     0
    5        0.37        1.45        31.3725       0.5776      0     0
    6        0.42        1.86        -3.49305       0.2436      0     0
    7        0.40        2.26        -14.3273       0.1489      0     0
    8        0.74        3.01        -15.8914       0.0605      0     0
    9        0.47        3.48        -13.2457       0.0322      0     0
   10        0.67        4.15        -9.66675       0.0119      0     0
   11        0.66        4.81        -6.97368       0.0037      0     0
   12        0.66        5.47        -6.34818       0.0019      0     0
   13        0.67        6.14        -5.86451       0.0008      0     0
   14        0.66        6.80        -5.67144       0.0003      0     0
   15        0.67        7.48        -5.64577       0.0002      0     0
   16        0.66        8.14        -5.64411       0.0001      0     0
   17        0.67        8.80        -5.64404       0.0001      0     0
   18        0.67        9.47        -5.64216       0.0001      0     0
   19        0.66        10.13        -5.64082       0.0001      0     0
    0        0.23        10.36        -5.64087       0.0001      0     0
    1        0.22        10.58        -5.64107       0.0001      0     0
    2        0.22        10.81        -5.64083       0.0001      0     0
    3        0.22        11.03        -5.64093       0.0001      0     0
    4        0.22        11.25        -5.64133       0.0001      0     0
    5        0.22        11.47        -5.6405       0.0001      0     0
    6        0.22        11.69        -5.64061       0.0001      0     0
    7        0.22        11.92        -5.64062       0.0001      0     0
    8        0.24        12.15        -5.64075       0.0001      0     0
    9        0.22        12.37        -5.64091       0.0001      0     0
   20        0.01        12.38        -5.64091       0.0001      0     0
