# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.03        0.03        43.1493       0.0000      0     0
    1        0.27        0.30        70.6898       7.0969      0     0
    2        0.38        0.68        34.5288       1.7648      0     0
    3        0.26        0.95        30.8967       1.4757      0     0
    4        0.41        1.35        12.6088       0.4563      0     0
    5        0.41        1.76        7.36144       0.2000      0     0
    6        0.42        2.18        6.58362       0.0961      0     0
    7        0.26        2.44        7.7574       0.0396      0     0
    8        0.25        2.70        9.51544       0.0061      0     0
    9        0.26        2.95        9.99971       0.0001      0     0
   10        0.25        3.21        10.0111       0.0000      0     0
   11        0.13        3.34        10.0122       0.0000      0     0
   12        0.14        3.48        10.0122       0.0000      0     0
   13        0.01        3.49        10.0122       0.0000      0     0
