# Kona Param. Contn. convergence history (opt tol = 4.772971e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
     22         1      3661      1.612e+01      1.597e+01     6.0330e-01     4.5646e-01      1.597e+01     6.0330e-01     4.5646e-01     0.000000e+00          
     22         2      3864      1.558e+01      1.532e+01     5.3288e-01     2.8224e-01      1.532e+01     5.3288e-01     2.8224e-01     0.000000e+00          
     22         3      4061      1.552e+01      1.539e+01     5.1340e-01     1.7349e-01      1.539e+01     5.1340e-01     1.7349e-01     0.000000e+00          
     22         4      4258      1.491e+01      1.474e+01     4.7022e-01     1.9169e-01      1.474e+01     4.7022e-01     1.9169e-01     0.000000e+00          
     22         5      4460      1.497e+01      1.484e+01     4.5799e-01     1.3053e-01      1.484e+01     4.5799e-01     1.3053e-01     0.000000e+00          
     22         6      4660      1.442e+01      1.426e+01     4.1985e-01     1.7411e-01      1.426e+01     4.1985e-01     1.7411e-01     0.000000e+00          
     22         7      4867      1.460e+01      1.446e+01     4.1597e-01     1.1234e-01      1.446e+01     4.1597e-01     1.1234e-01     0.000000e+00          
     22         8      5072      1.398e+01      1.383e+01     3.7813e-01     1.6618e-01      1.383e+01     3.7813e-01     1.6618e-01     0.000000e+00          
     22         9      5276      1.421e+01      1.409e+01     3.7432e-01     9.6792e-02      1.409e+01     3.7432e-01     9.6792e-02     0.000000e+00          
     22        10      5487      1.372e+01      1.357e+01     3.4343e-01     1.4303e-01      1.357e+01     3.4343e-01     1.4303e-01     0.000000e+00          
     22        11      5695      1.389e+01      1.376e+01     3.4184e-01     9.5837e-02      1.376e+01     3.4184e-01     9.5837e-02     0.000000e+00          
     22        12      5899      1.364e+01      1.352e+01     3.2648e-01     1.1390e-01      1.352e+01     3.2648e-01     1.1390e-01     0.000000e+00          
     22        13      6106      1.370e+01      1.356e+01     3.2396e-01     9.4970e-02      1.356e+01     3.2396e-01     9.4970e-02     0.000000e+00          
     22        14      6312      1.354e+01      1.341e+01     3.1417e-01     1.0611e-01      1.341e+01     3.1417e-01     1.0611e-01     0.000000e+00          
     22        15      6521      1.360e+01      1.347e+01     3.1316e-01     8.9514e-02      1.347e+01     3.1316e-01     8.9514e-02     0.000000e+00          
     22        16      6724      1.344e+01      1.331e+01     3.0362e-01     1.0263e-01      1.331e+01     3.0362e-01     1.0263e-01     0.000000e+00          
     22        17      6930      1.350e+01      1.338e+01     3.0332e-01     8.4927e-02      1.338e+01     3.0332e-01     8.4927e-02     0.000000e+00          
     22        18      7128      1.333e+01      1.321e+01     2.9340e-01     9.9667e-02      1.321e+01     2.9340e-01     9.9667e-02     0.000000e+00          
     22        19      7330      1.341e+01      1.329e+01     2.9340e-01     8.0344e-02      1.329e+01     2.9340e-01     8.0344e-02     0.000000e+00          
     22        20      7532      1.324e+01      1.312e+01     2.8356e-01     9.5984e-02      1.312e+01     2.8356e-01     9.5984e-02     0.000000e+00          
     22        21      7736      1.329e+01      1.318e+01     2.8283e-01     7.9871e-02      1.318e+01     2.8283e-01     7.9871e-02     0.000000e+00          
     22        22      7940      1.315e+01      1.304e+01     2.7441e-01     9.0913e-02      1.304e+01     2.7441e-01     9.0913e-02     0.000000e+00          
     22        23      8147      1.319e+01      1.308e+01     2.7312e-01     7.8696e-02      1.308e+01     2.7312e-01     7.8696e-02     0.000000e+00          
     22        24      8356      1.307e+01      1.295e+01     2.6566e-01     8.8814e-02      1.295e+01     2.6566e-01     8.8814e-02     0.000000e+00          
     22        25      8568      1.311e+01      1.300e+01     2.6512e-01     7.5933e-02      1.300e+01     2.6512e-01     7.5933e-02     0.000000e+00          
     22        26      8774      1.299e+01      1.287e+01     2.5761e-01     8.7179e-02      1.287e+01     2.5761e-01     8.7179e-02     0.000000e+00          
     22        27      8979      1.304e+01      1.293e+01     2.5765e-01     7.3010e-02      1.293e+01     2.5765e-01     7.3010e-02     0.000000e+00          
     22        28      9185      1.291e+01      1.280e+01     2.5024e-01     8.4775e-02      1.280e+01     2.5024e-01     8.4775e-02     0.000000e+00          
