# SNOPT iteration timing history
# nCon    Cost    Time (s)    Total Time (s) 
    1      4102      32.05      32.05     
    2      8212      31.72      63.77     
    3     12312      31.63      95.39     
    4     16414      32.47      127.87     
    5     20516      31.68      159.55     
    6     25149      35.14      194.69     
    7     29265      32.58      227.27     
    8     33926      35.68      262.95     
    9     38041      32.21      295.16     
   10     42157      32.34      327.50     
   11     46272      31.53      359.03     
   12     50390      31.86      390.89     
   13     54508      31.89      422.79     
   14     58626      31.69      454.48     
   15     62744      31.72      486.19     
   16     66862      31.71      517.91     
   17     70980      31.56      549.47     
   18     75098      31.59      581.06     
   19     79216      31.56      612.63     
   20     83334      31.65      644.28     
   21     87451      31.56      675.84     
   22     91569      31.59      707.43     
   23     95687      31.60      739.03     
   24     99805      31.55      770.57     
   25     103923      31.51      802.08     
   26     108041      31.50      833.58     
   27     112159      31.51      865.09     
   28     116277      31.50      896.59     
   29     120395      31.47      928.06     
   30     124513      31.46      959.52     
   31     128631      31.49      991.01     
   32     132749      31.45      1022.46     
   33     136867      31.51      1053.97     
   34     140985      31.47      1085.43     
   35     145103      31.51      1116.94     
   36     149221      31.49      1148.43     
   37     153339      31.42      1179.85     
   38     157457      31.60      1211.45     
   39     161575      31.57      1243.02     
   40     165693      31.48      1274.50     
   41     169811      31.55      1306.05     
   42     173929      31.54      1337.60     
   43     178047      31.45      1369.05     
   44     182165      31.61      1400.66     
   45     186283      31.45      1432.11     
   46     190401      31.57      1463.68     
   47     194519      31.45      1495.13     
   48     198637      31.45      1526.58     
