# Kona Param. Contn. convergence history (opt tol = 1.392962e-06 | feas tol = 2.245265e-05)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
     22         1       373      5.457e+01      4.468e+03     2.3115e+02     9.3271e+01      5.325e+03     1.0773e-02     1.0227e-03     6.634084e-01          

     23         0       386      4.668e+01      3.791e+03     2.0916e+02     7.6702e+01      6.019e+03     7.8967e-01     7.2372e-01     6.167122e-01          
     23         1       401      4.459e+01      3.803e+03     2.0927e+02     7.7763e+01      5.955e+03     1.0299e-02     4.4643e-03     6.167122e-01          

     24         0       416      3.615e+01      3.103e+03     1.8562e+02     6.2680e+01      6.420e+03     7.8882e-01     7.3209e-01     5.679603e-01          
     24         1       433      3.366e+01      3.122e+03     1.8591e+02     6.3717e+01      6.362e+03     1.2576e-02     3.7449e-03     5.679603e-01          

     25         0       448      2.586e+01      2.543e+03     1.6537e+02     5.2172e+01      6.557e+03     5.5098e-01     5.3951e-01     5.246708e-01          
     25         1       467      2.253e+01      2.560e+03     1.6564e+02     5.2921e+01      6.521e+03     5.7666e-03     1.4566e-03     5.246708e-01          

     26         0       482      1.493e+01      2.100e+03     1.4842e+02     4.4134e+01      6.539e+03     3.8477e-01     3.8188e-01     4.868661e-01          
     26         1       503      1.118e+01      2.112e+03     1.4863e+02     4.4651e+01      6.518e+03     3.0733e-03     2.2477e-03     4.868661e-01          

     27         0       524      1.506e+00      1.769e+03     1.3507e+02     3.8263e+01      6.438e+03     2.1873e-01     2.3929e-01     4.556559e-01          
     27         1       545      1.082e-01      1.778e+03     1.3519e+02     3.8573e+01      6.426e+03     2.3233e-03     2.2722e-03     4.556559e-01          

     28         0       566     -1.122e+01      1.466e+03     1.2219e+02     3.2822e+01      6.270e+03     2.0265e-01     2.2791e-01     4.243829e-01          
     28         1       591     -1.299e+01      1.474e+03     1.2231e+02     3.3108e+01      6.261e+03     2.3761e-03     9.0268e-04     4.243829e-01          

     29         0       612     -2.563e+01      1.206e+03     1.1046e+02     2.8173e+01      6.047e+03     1.7981e-01     2.0325e-01     3.944582e-01          
     29         1       639     -2.785e+01      1.212e+03     1.1057e+02     2.8419e+01      6.040e+03     1.4477e-03     2.1952e-03     3.944582e-01          

     30         0       662     -4.139e+01      1.001e+03     1.0066e+02     2.4541e+01      5.807e+03     1.2673e-01     1.5096e-01     3.682458e-01          
     30         1       693     -4.307e+01      1.005e+03     1.0074e+02     2.4713e+01      5.803e+03     8.0790e-04     7.8864e-04     3.682458e-01          

     31         0       718     -5.806e+01      8.205e+02     9.1637e+01     2.1335e+01      5.543e+03     1.1901e-01     1.2765e-01     3.430851e-01          
     31         1       749     -5.992e+01      8.236e+02     9.1707e+01     2.1481e+01      5.540e+03     7.9675e-04     1.0789e-03     3.430851e-01          

     32         0       776     -7.603e+01      6.690e+02     8.3686e+01     1.8657e+01      5.272e+03     9.4932e-02     1.0247e-01     3.199386e-01          
     32         1       811     -7.765e+01      6.710e+02     8.3740e+01     1.8768e+01      5.270e+03     5.7026e-04     3.2700e-04     3.199386e-01          

     33         0       838     -9.543e+01      5.319e+02     7.6183e+01     1.6241e+01      4.983e+03     9.8564e-02     9.4082e-02     2.972388e-01          
     33         1       873     -9.738e+01      5.333e+02     7.6239e+01     1.6333e+01      4.982e+03     7.3874e-04     6.9228e-04     2.972388e-01          

