# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.01        0.01        129.493       0.0000      0     0
    1        0.04        0.05        129.396       0.0506      0     0
    2        0.02        0.07        128.547       0.4927      0     0
    3        0.02        0.10        127.701       0.9320      0     0
    4        0.02        0.12        126.845       1.3741      0     0
    5        0.02        0.14        125.966       1.8253      0     0
    6        0.02        0.17        125.047       2.2916      0     0
    7        0.02        0.19        124.073       2.7793      0     0
    8        0.02        0.22        123.025       3.2953      0     0
    9        0.02        0.24        121.88       3.8472      0     0
   10        0.02        0.26        120.608       4.4437      0     0
   11        0.02        0.29        119.17       5.0948      0     0
   12        0.03        0.32        117.504       5.8115      0     0
   13        0.03        0.34        115.548       6.6056      0     0
   14        0.03        0.37        113.187       7.4879      0     0
   15        0.03        0.40        110.269       8.4606      0     0
   16        0.03        0.43        106.517       9.5218      0     0
   17        0.03        0.46        101.527       10.6205      0     0
   18        0.03        0.49        94.6114       11.6243      0     0
   19        0.03        0.52        85.0576       12.2202      0     0
   20        0.04        0.56        74.0612       12.1108      0     0
   21        0.04        0.59        64.139       11.5366      0     0
   22        0.04        0.63        54.5717       10.7297      0     0
   23        0.04        0.67        44.595       9.7745      0     0
   24        0.04        0.72        33.6569       8.7404      0     0
   25        0.05        0.76        22.5267       7.8335      0     0
   26        0.06        0.82        11.1808       7.0647      0     0
   27        0.06        0.87        0.108203       6.4532      0     0
   28        0.06        0.94        -12.9947       5.8634      0     0
   29        0.07        1.01        -27.8471       5.3206      0     0
   30        0.08        1.09        -43.066       4.8638      0     0
   31        0.08        1.17        -59.9215       4.4410      0     0
   32        0.09        1.25        -77.6509       4.0654      0     0
   33        0.09        1.34        -97.3766       3.7094      0     0
   34        0.10        1.44        -118.443       3.3839      0     0
   35        0.11        1.55        -142.435       3.0646      0     0
   36        0.11        1.66        -167.554       2.7754      0     0
   37        0.12        1.78        -197.795       2.4746      0     0
   38        0.12        1.90        -227.673       2.2174      0     0
   39        0.13        2.03        -261.691       1.9610      0     0
   40        0.13        2.15        -300.658       1.7063      0     0
   41        0.12        2.28        -344.81       1.4556      0     0
   42        0.18        2.46        -392.435       1.2205      0     0
   43        0.18        2.64        -441.934       1.0050      0     0
   44        0.20        2.84        -490.122       0.8166      0     0
   45        0.19        3.03        -531.096       0.6711      0     0
   46        0.20        3.23        -565.308       0.5553      0     0
   47        0.20        3.43        -593.838       0.4634      0     0
   48        0.18        3.61        -617.902       0.3886      0     0
   49        0.20        3.81        -638.206       0.3252      0     0
   50        0.25        4.06        -656.325       0.2732      0     0
   51        0.26        4.32        -672.341       0.2229      0     0
   52        0.20        4.52        -686.161       0.1756      0     0
   53        0.20        4.72        -698.27       0.1377      0     0
   54        0.20        4.92        -708.468       0.1017      0     0
   55        0.23        5.15        -716.727       0.0708      0     0
   56        0.20        5.35        -723.324       0.0476      0     0
   57        0.19        5.54        -727.746       0.0235      0     0
   58        0.19        5.73        -730.692       0.0226      0     0
    0        0.06        5.79        -730.798       0.1234     10    23
    1        0.06        5.85        -731.056       0.0423     12    21
    2        0.06        5.92        -731.111       0.0273     11    29
    3        0.06        5.98        -731.053       0.0239     14    32
    4        0.06        6.04        -730.893       0.0206     12    28
    5        0.07        6.11        -730.765       0.0173     14    42
    6        0.06        6.17        -730.706       0.0163     12    31
    7        0.07        6.24        -730.625       0.0147     14    37
    8        0.07        6.30        -730.563       0.0159     13    24
    9        0.06        6.37        -730.51       0.0162     12    41
   10        0.06        6.43        -730.481       0.0297     13    20
   11        0.07        6.50        -730.554       0.0265     12    22
   12        0.06        6.56        -730.552       0.0289     13    10
   13        0.06        6.62        -730.564       0.0289     12    24
   14        0.07        6.69        -730.582       0.0291     13    19
   15        0.07        6.76        -730.503       0.0313     11    22
   16        0.06        6.82        -730.548       0.0278     12    13
   17        0.06        6.88        -730.485       0.0308     11    15
   18        0.06        6.95        -730.445       0.0282     12    19
   19        0.06        7.01        -730.419       0.0272     12    22
   20        0.06        7.07        -730.374       0.0264     12    23
   21        0.06        7.14        -730.319       0.0251     13    29
   22        0.06        7.20        -730.274       0.0236     13    29
   23        0.06        7.26        -730.28       0.0224     12    28
   24        0.06        7.33        -730.259       0.0226     12    30
   25        0.07        7.39        -730.254       0.0220     12    23
   26        0.07        7.46        -730.237       0.0218     11    27
   27        0.07        7.53        -730.172       0.0214     12    19
   28        0.06        7.59        -730.152       0.0196     12    20
   29        0.06        7.65        -730.09       0.0197     12    16
   30        0.06        7.72        -730.094       0.0184     12    16
   31        0.06        7.78        -730.069       0.0188     12    18
   32        0.07        7.85        -730.07       0.0183     11    17
   33        0.07        7.91        -730.023       0.0189     12    23
   34        0.07        7.98        -729.997       0.0182     13    26
   35        0.06        8.04        -729.965       0.0180     13    28
   36        0.07        8.11        -729.986       0.0172     12    26
   37        0.06        8.17        -729.956       0.0179     12    27
   38        0.06        8.24        -729.971       0.0172     12    27
   39        0.06        8.30        -729.95       0.0176     12    27
   40        0.06        8.36        -729.947       0.0172     13    27
   41        0.06        8.42        -729.951       0.0171     13    27
   42        0.06        8.49        -729.953       0.0172     13    27
   43        0.06        8.55        -729.941       0.0173     12    27
   44        0.07        8.62        -729.938       0.0171     11    28
   45        0.07        8.69        -729.909       0.0173     13    30
   46        0.06        8.75        -729.9       0.0167     13    32
   47        0.06        8.81        -729.905       0.0165     13    32
   48        0.07        8.88        -729.9       0.0167     13    32
   49        0.06        8.94        -729.901       0.0166     13    32
   59        0.00        8.94        -729.901       0.0062      0     0
