# Kona Param. Contn. convergence history (opt tol = 1.193243e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0     -----        24      2.647e+02      2.647e+02     1.1932e+00     0.0000e+00     ----------     ----------     ----------     1.0000     
     23         0     29866      1.916e+02      1.916e+02     1.4299e+00     3.7309e-03      2.632e+02     1.2159e-02     8.1672e-04     0.0131868     
     23         1     30544      1.910e+02      1.910e+02     1.4295e+00     3.6351e-03      2.639e+02     9.9814e-06     8.8331e-06     0.0131868     

     24         0     31222      1.843e+02      1.843e+02     1.4214e+00     3.5315e-03      2.634e+02     1.1140e-02     1.0574e-03     0.0119514     
     24         1     31900      1.837e+02      1.837e+02     1.4210e+00     3.3607e-03      2.640e+02     1.0918e-05     1.0462e-05     0.0119514     

     25         0     32578      1.767e+02      1.767e+02     1.4115e+00     3.4305e-03      2.633e+02     1.0243e-02     1.3835e-03     0.0108595     
     25         1     33256      1.761e+02      1.761e+02     1.4110e+00     3.1251e-03      2.639e+02     1.2052e-05     1.2550e-05     0.0108595     

     26         0     33934      1.687e+02      1.687e+02     1.3997e+00     3.4693e-03      2.629e+02     9.4541e-03     1.8344e-03     0.0098868     
     26         1     34612      1.681e+02      1.681e+02     1.3992e+00     2.9222e-03      2.635e+02     1.3459e-05     1.5302e-05     0.0098868     

     27         0     35290      1.603e+02      1.603e+02     1.3859e+00     3.7240e-03      2.622e+02     8.7619e-03     2.4736e-03     0.0090130     
     27         1     35979      1.597e+02      1.597e+02     1.3853e+00     2.7471e-03      2.628e+02     1.4892e-05     1.7690e-05     0.0090130     

     28         0     36657      1.515e+02      1.515e+02     1.3695e+00     4.3197e-03      2.611e+02     8.1613e-03     3.4057e-03     0.0082211     
     28         1     37346      1.509e+02      1.509e+02     1.3688e+00     2.5959e-03      2.617e+02     1.6869e-05     2.2044e-05     0.0082211     

     29         0     38024      1.422e+02      1.422e+02     1.3499e+00     5.4625e-03      2.595e+02     7.6530e-03     4.8188e-03     0.0074964     
     29         1     38713      1.416e+02      1.416e+02     1.3490e+00     2.4652e-03      2.601e+02     1.9344e-05     2.8014e-05     0.0074964     

     30         0     39392      1.324e+02      1.324e+02     1.3262e+00     7.5090e-03      2.573e+02     7.2509e-03     7.0625e-03     0.0068251     
     30         1     40082      1.318e+02      1.318e+02     1.3252e+00     2.3521e-03      2.578e+02     2.2501e-05     3.6390e-05     0.0068251     

