# SNOPT iteration timing history
# Iter    Time (s)    Total Time (s)    Objective  
    1        1.04        1.04        215.285     
    2        1.11        2.15        186.745     
    3        0.96        3.11        160.759     
    4        0.97        4.08        186.031     
    5        1.18        5.26        714.094     
    6        0.70        5.96        62.2908     
    7        1.20        7.16        171.769     
    8        0.69        7.85        15.5396     
    9        1.20        9.05        3.44397     
   10        1.19        10.24        -4.72297     
   11        1.17        11.41        -4.59149     
   12        0.70        12.10        -5.56879     
   13        1.21        13.31        -5.62295     
   14        1.21        14.52        -5.63857     
   15        1.35        15.87        -5.64069     
   16        1.15        17.02        -5.64074     
   17        1.22        18.24        -5.64074     
   18        1.24        19.48        -5.64074     
