# Kona Param. Contn. convergence history (opt tol = 2.386485e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
     22         1      8264      1.888e+02      1.888e+02     2.8559e+00     2.8354e-02      2.541e+02     5.1740e-03     1.3586e-05     4.925907e-02          

     23         0      8467      1.796e+02      1.796e+02     2.4967e+00     2.5507e-02      2.542e+02     1.6176e+00     1.0969e-02     4.325390e-02          
     23         1      8669      1.785e+02      1.785e+02     2.8303e+00     2.5531e-02      2.553e+02     5.0713e-03     1.6704e-05     4.325390e-02          

     24         0      8862      1.686e+02      1.686e+02     2.4637e+00     2.3250e-02      2.548e+02     1.6142e+00     9.3781e-03     3.811358e-02          
     24         1      9054      1.674e+02      1.674e+02     2.7982e+00     2.3241e-02      2.559e+02     4.9356e-03     2.1653e-05     3.811358e-02          

     25         0      9247      1.568e+02      1.568e+02     2.4237e+00     2.1461e-02      2.546e+02     1.6055e+00     8.1438e-03     3.364989e-02          
     25         1      9449      1.556e+02      1.556e+02     2.7577e+00     2.1374e-02      2.557e+02     4.7622e-03     2.9425e-05     3.364989e-02          

     26         0      9642      1.441e+02      1.441e+02     2.3745e+00     2.0147e-02      2.535e+02     1.5907e+00     7.4617e-03     2.971072e-02          
     26         1      9834      1.430e+02      1.430e+02     2.7063e+00     1.9851e-02      2.545e+02     4.5432e-03     4.0953e-05     2.971072e-02          

     27         0     10027      1.305e+02      1.305e+02     2.3127e+00     1.9539e-02      2.511e+02     1.5685e+00     8.0202e-03     2.616527e-02          
     27         1     10219      1.294e+02      1.294e+02     2.6398e+00     1.8607e-02      2.521e+02     4.2630e-03     5.8316e-05     2.616527e-02          

     28         0     10422      1.158e+02      1.158e+02     2.2330e+00     2.0733e-02      2.467e+02     1.5370e+00     1.1588e-02     2.288877e-02          
     28         1     10624      1.147e+02      1.147e+02     2.5517e+00     1.7586e-02      2.476e+02     3.8872e-03     8.8767e-05     2.288877e-02          

     29         0     10827      9.948e+01      9.950e+01     2.1254e+00     2.8413e-02      2.393e+02     1.4926e+00     2.2678e-02     1.973800e-02          
     29         1     11019      9.850e+01      9.851e+01     2.4298e+00     1.6725e-02      2.401e+02     3.3433e-03     1.3931e-04     1.973800e-02          

     30         0     11231      8.085e+01      8.086e+01     1.9683e+00     6.3105e-02      2.262e+02     1.4289e+00     5.9942e-02     1.648881e-02          
     30         1     11433      8.008e+01      8.009e+01     2.2470e+00     1.5917e-02      2.267e+02     2.4024e-03     1.8393e-04     1.648881e-02          

     31         0     11647      5.709e+01      5.711e+01     1.6941e+00     2.8673e-01      1.989e+02     1.3316e+00     2.8253e-01     1.255978e-02          
     31         1     11850      5.710e+01      5.712e+01     1.9158e+00     1.4771e-02      1.989e+02     5.1401e-04     2.9422e-05     1.255978e-02          

     32         0     12073      1.676e+01      1.732e+01     9.5532e-01     1.2536e+01      1.064e+02     1.1842e+00     1.2467e+01     5.506543e-03          
     32         1     12421      2.305e+01      2.326e+01     9.4052e-01     4.1982e+00      1.078e+02     1.4552e-01     4.1748e+00     5.506543e-03          

     33         0     13026      1.863e+01      1.874e+01     6.5044e-01     9.8244e-01      8.248e+01     5.6761e-01     9.7809e-01     3.994305e-03          
     33         1     13387      1.899e+01      1.902e+01     6.8603e-01     8.8152e-02      8.258e+01     7.8754e-02     8.6870e-02     3.994305e-03          

     34         0     14124      1.675e+01      1.678e+01     4.8433e-01     3.5409e-01      6.742e+01     4.1396e-01     3.5277e-01     3.122551e-03          
     34         1     14495      1.689e+01      1.690e+01     5.6443e-01     8.8874e-03      6.749e+01     9.9096e-04     6.6882e-03     3.122551e-03          

     35         0     14912      1.535e+01      1.537e+01     3.8882e-01     2.4128e-01      5.640e+01     3.2604e-01     2.4052e-01     2.499399e-03          
     35         1     15298      1.541e+01      1.542e+01     4.5305e-01     5.2668e-03      5.643e+01     2.3096e-03     2.7373e-03     2.499399e-03          

     36         0     15719      1.431e+01      1.433e+01     3.3702e-01     1.7537e-01      4.745e+01     2.6652e-01     1.7490e-01     1.999399e-03          
     36         1     16151      1.430e+01      1.430e+01     3.6193e-01     3.5126e-03      4.743e+01     6.5748e-03     4.1319e-04     1.999399e-03          

     37         0     16586      1.323e+01      1.325e+01     2.4179e-01     2.4803e-01      3.833e+01     2.1127e-01     2.4759e-01     1.499399e-03          
     37         1     17030      1.325e+01      1.325e+01     2.7285e-01     3.0680e-03      3.833e+01     4.1641e-03     1.6012e-03     1.499399e-03          

     38         0     17473      1.222e+01      1.224e+01     1.5502e-01     3.6482e-01      2.911e+01     1.6055e-01     3.6441e-01     9.993993e-04          
     38         1     18946      1.225e+01      1.225e+01     1.8864e-01     5.8542e-03      2.912e+01     9.0228e-03     5.5619e-03     9.993993e-04          

     39         0     20524      1.140e+01      1.142e+01     1.0039e-01     4.1531e-01      2.118e+01     1.1011e-01     4.1506e-01     5.732148e-04          
