# Kona constrained RSNK convergence history file
# iters        cost     optimality       design_opt       slack_opt        feasibility      objective        mu param         radius      
      1          14     4.776911e+00     4.772890e+00     1.959592e-01     6.324495e+01     2.646540e+02     1.000000e+00     5.000000e+01
      2         141     1.682424e+01     1.710943e-03     1.682424e+01     4.832472e+00     2.599186e+02     1.023293e+00     4.968341e+01
      3         328     2.460902e+02     1.266351e-03     2.460902e+02     1.218401e+01     1.456124e+02     1.047129e+00     4.999861e+01
      4         574     4.670811e+01     8.375502e-04     4.670811e+01     4.137787e+01     1.380922e+02     1.071519e+00     1.250055e+01
      5         752     4.554003e+01     3.939583e-03     4.554003e+01     1.072311e+01     9.072632e+01     1.096478e+00     2.500209e+01
      6        1020     3.752637e+01     7.219273e-03     3.752637e+01     8.404693e+00     4.323729e+01     1.122018e+00     2.500244e+01
      7        1365     4.908295e+01     4.745806e-01     4.908065e+01     1.018686e+01     1.340390e+01     1.148154e+00     6.250609e+00
      8        1697     2.698870e+00     7.335415e-01     2.597271e+00     5.282118e+00     2.335229e+01     1.174898e+00     6.250609e+00
      9        2034     7.591564e-01     4.253345e-01     6.288156e-01     2.243415e+00     1.963074e+01     1.202264e+00     6.250609e+00
     10        2397     5.600574e-01     4.345942e-01     3.532594e-01     2.998153e+00     1.294052e+01     1.230269e+00     1.562652e+00
     11        2716     2.902082e-01     2.218606e-01     1.870793e-01     1.882035e+00     1.450415e+01     1.258925e+00     1.562652e+00
     12        3034     3.573833e-01     3.405013e-01     1.085435e-01     1.926745e+00     1.240136e+01     1.288250e+00     1.562652e+00
     13        3352     1.493504e-01     1.230127e-01     8.469609e-02     1.763464e+00     1.284028e+01     1.318257e+00     1.562652e+00
     14        3670     1.685369e-01     1.588705e-01     5.625708e-02     1.777783e+00     1.188041e+01     1.348963e+00     1.562652e+00
     15        3991     6.996029e-02     4.495530e-02     5.360469e-02     1.730017e+00     1.192918e+01     1.380384e+00     1.562652e+00
     16        4312     8.554011e-02     7.329397e-02     4.410333e-02     1.744165e+00     1.173773e+01     1.412538e+00     1.562652e+00
     17        4632     6.520356e-02     5.173000e-02     3.969271e-02     1.732174e+00     1.167763e+01     1.445440e+00     1.562652e+00
     18        4951     5.321270e-02     3.850549e-02     3.672763e-02     1.729451e+00     1.166505e+01     1.479108e+00     1.562652e+00
     19        5272     5.675150e-02     4.601482e-02     3.321700e-02     1.726856e+00     1.165597e+01     1.513561e+00     1.562652e+00
     20        5593     5.353316e-02     4.382508e-02     3.074349e-02     1.722891e+00     1.160100e+01     1.548817e+00     1.562652e+00
     21        7388     1.051461e+01     8.963466e+00     5.496667e+00     1.722891e+00     1.160100e+01     1.548817e+00     6.339760e-15
     22        9255     1.091220e+01     9.315167e+00     5.683643e+00     1.722891e+00     1.160100e+01     1.548817e+00     6.339760e-15
     23       11121     1.087078e+01     9.342027e+00     5.558811e+00     1.722891e+00     1.160100e+01     1.548817e+00     6.339760e-15
