# Kona Param. Contn. convergence history (opt tol = 2.386485e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
     23         0      8473      1.210e+02      1.210e+02     2.2628e+00     1.9966e-02      2.485e+02     1.5490e+00     9.8453e-03     0.0239908     
     23         1      8665      1.199e+02      1.199e+02     2.5849e+00     1.7915e-02      2.494e+02     4.0299e-03     8.0929e-05     0.0239908     

     24         0      8858      1.053e+02      1.053e+02     2.1664e+00     2.4398e-02      2.423e+02     1.5096e+00     1.7467e-02     0.0208159     
     24         1      9050      1.042e+02      1.043e+02     2.4766e+00     1.7007e-02      2.431e+02     3.5561e-03     1.2736e-04     0.0208159     

     25         0      9261      8.760e+01      8.762e+01     2.0302e+00     4.5015e-02      2.317e+02     1.4536e+00     4.1208e-02     0.0176365     
     25         1      9453      8.673e+01      8.675e+01     2.3196e+00     1.6201e-02      2.322e+02     2.7984e-03     2.0930e-04     0.0176365     

     26         0      9664      6.622e+01      6.623e+01     1.8111e+00     1.5180e-01      2.111e+02     1.3704e+00     1.4872e-01     0.0140645     
     26         1      9866      6.582e+01      6.583e+01     2.0590e+00     1.5266e-02      2.113e+02     1.1989e-03     9.0964e-05     0.0140645     

     27         0     10078      3.215e+01      3.224e+01     1.2937e+00     2.3018e+00      1.506e+02     1.2322e+00     2.2823e+00     0.0083311     
     27         1     10299      3.511e+01      3.514e+01     1.3968e+00     1.4984e-01      1.505e+02     9.3463e-03     1.4773e-01     0.0083311     

     28         0     10557      1.912e+01      1.943e+01     7.5587e-01     4.0022e+00      9.594e+01     8.3529e-01     3.9826e+00     0.0048190     
     28         1     10908      2.144e+01      2.153e+01     8.6002e-01     7.0421e-01      9.662e+01     2.7182e-02     7.0023e-01     0.0048190     

     29         0     11531      1.678e+01      1.686e+01     5.0830e-01     1.0064e+00      6.967e+01     4.9745e-01     1.0029e+00     0.0032579     
     29         1     11961      1.722e+01      1.724e+01     5.8750e-01     4.6585e-02      6.987e+01     2.5546e-03     4.5645e-02     0.0032579     

     30         0     12385      1.364e+01      1.373e+01     3.0360e-01     1.5367e+00      4.406e+01     3.5036e-01     1.5338e+00     0.0018209     
     30         1     12841      1.390e+01      1.392e+01     3.3248e-01     9.1480e-02      4.419e+01     2.4005e-02     9.1098e-02     0.0018209     

     31         0     13293      1.252e+01      1.256e+01     1.8035e-01     5.5954e-01      3.228e+01     1.9827e-01     5.5882e-01     0.0011717     
     31         1     13752      1.258e+01      1.259e+01     2.1354e-01     2.1257e-02      3.231e+01     2.7156e-02     2.1098e-02     0.0011717     

     32         0     14668      1.166e+01      1.168e+01     1.1352e-01     4.2197e-01      2.110e+01     1.1911e-01     4.2171e-01     0.0005551     
