# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective   
    0        0.01        0.01        -12.2858    
    1        0.01        0.02        -4.97948    
    2        0.01        0.03        -4.99105    
    3        0.01        0.05        -5.11772    
    4        0.02        0.06        -5.31141    
    5        0.02        0.08        -5.51453    
    6        0.02        0.10        -5.71741    
    7        0.02        0.11        -5.9234    
    8        0.02        0.13        -6.14017    
    9        0.02        0.15        -6.38219    
   10        0.02        0.17        -6.62252    
   11        0.02        0.19        -6.8781    
   12        0.02        0.21        -7.17861    
   13        0.02        0.23        -7.51825    
   14        0.02        0.26        -7.88167    
   15        0.03        0.28        -8.31868    
   16        0.03        0.31        -8.84319    
   17        0.03        0.34        -9.46045    
   18        0.04        0.38        -10.1727    
   19        0.04        0.42        -10.8938    
   20        0.05        0.47        -11.569    
   21        0.05        0.52        -12.3015    
   22        0.06        0.58        -13.0605    
   23        0.06        0.64        -13.8889    
   24        0.07        0.71        -14.5369    
   25        0.07        0.78        -15.0301    
   26        0.08        0.85        -15.3712    
   27        0.08        0.93        -15.5454    
   28        0.08        1.01        -15.5254    
   29        0.08        1.09        -15.2879    
   30        0.08        1.17        -14.8844    
   31        0.08        1.25        -14.3761    
   32        0.07        1.32        -13.8037    
   33        0.07        1.40        -13.1765    
   34        0.08        1.48        -12.431    
   35        0.09        1.57        -11.4824    
   36        0.08        1.65        -10.1688    
   37        0.07        1.72        -8.38701    
   38        0.08        1.80        -6.72368    
   39        0.08        1.88        -5.53716    
   40        0.08        1.96        -4.68491    
   41        0.09        2.05        -4.07439    
   42        0.09        2.14        -3.64891    
   43        0.11        2.25        -3.37689    
   44        0.11        2.36        -3.24137    
   45        0.11        2.47        -3.2273    
   46        0.12        2.59        -3.30877    
   47        0.12        2.70        -3.45074    
   48        0.12        2.82        -3.62478    
   49        0.12        2.94        -3.81633    
   50        0.12        3.06        -4.01991    
   51        0.12        3.18        -4.23389    
   52        0.12        3.30        -4.4578    
   53        0.12        3.42        -4.69168    
   54        0.12        3.53        -4.93648    
   55        0.12        3.65        -5.19484    
   56        0.12        3.77        -5.47109    
   57        0.18        3.95        -5.76684    
   58        0.18        4.13        -6.06568    
   59        0.18        4.30        -6.306    
   60        0.18        4.48        -6.45196    
   61        0.18        4.66        -6.56192    
   62        0.18        4.84        -6.68721    
   63        0.18        5.01        -6.90069    
   64        0.12        5.13        -7.68297    
   65        0.12        5.25        -8.33397    
   66        0.12        5.37        -9.18724    
   67        0.12        5.49        -10.4136    
   68        0.12        5.61        -12.1157    
   69        0.10        5.70        -14.4083    
   70        0.07        5.77        -17.4345    
   71        0.05        5.83        -21.3661    
   72        0.04        5.87        -26.2654    
   73        0.02        5.89        -27.9498    
   74        0.02        5.91        -27.9999    
   75        0.01        5.92         -28    
   76        0.01        5.92         -28    
   77        0.01        5.93         -28    
   78        0.01        5.94         -28    
   79        0.01        5.95         -28    
   80        0.01        5.96         -28    
   81        0.01        5.97         -28    
   82        0.01        5.97         -28    
   83        0.01        5.98         -28    
   84        0.01        5.99         -28    
   85        0.01        6.00         -28    
   86        0.01        6.01         -28    
   87        0.01        6.02         -28    
   88        0.01        6.02         -28    
   89        0.01        6.03         -28    
   90        0.01        6.04         -28    
   91        0.01        6.05         -28    
   92        0.01        6.06         -28    
   93        0.01        6.06         -28    
   94        0.01        6.07         -28    
   95        0.01        6.08         -28    
   96        0.01        6.09         -28    
   97        0.01        6.10         -28    
   98        0.01        6.10         -28    
   99        0.01        6.11         -28    
  100        0.01        6.12         -28    
  101        0.01        6.13         -28    
  102        0.01        6.14         -28    
  103        0.01        6.15         -28    
  104        0.01        6.15         -28    
  105        0.01        6.16         -28    
  106        0.01        6.17         -28    
  107        0.01        6.18         -28    
  108        0.01        6.19         -28    
  109        0.01        6.19         -28    
  110        0.01        6.20         -28    
  111        0.01        6.21         -28    
  112        0.01        6.22         -28    
  113        0.01        6.23         -28    
  114        0.01        6.23         -28    
  115        0.01        6.24         -28    
  116        0.01        6.25         -28    
  117        0.01        6.26         -28    
  118        0.01        6.27         -28    
  119        0.01        6.28         -28    
  120        0.01        6.28         -28    
  121        0.01        6.29         -28    
  122        0.01        6.30         -28    
  123        0.01        6.31         -28    
  124        0.01        6.32         -28    
  125        0.04        6.36         -28    
  126        0.09        6.45         -28    
  127        0.01        6.45         -28    
  128        0.01        6.46         -28    
  129        0.01        6.47         -28    
  130        0.01        6.48         -28    
    0        0.01        6.48         -28    
  131        0.00        6.48         -28    
