# SNOPT iteration timing history
# Iter    Time (s)    Total Time (s)    Objective  
    1        0.96        0.96        215.285     
    2        1.25        2.21        186.745     
    3        1.22        3.43        160.759     
    4        1.21        4.64        186.031     
    5        1.31        5.95        714.094     
    6        0.70        6.65        62.2908     
    7        1.44        8.09        171.769     
    8        0.84        8.93        15.5396     
    9        1.24        10.17        3.44397     
   10        1.33        11.50        -4.72297     
   11        1.38        12.88        -4.59149     
   12        0.82        13.70        -5.56879     
   13        1.22        14.92        -5.62295     
   14        1.32        16.25        -5.63857     
   15        1.37        17.61        -5.64069     
   16        1.39        19.00        -5.64074     
   17        1.38        20.38        -5.64074     
   18        1.42        21.80        -5.64074     
