# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.01        0.01        137.427       0.0000      0     0
    1        0.15        0.16        314.124       6.1158      0     0
    2        0.19        0.35        -347.048       1.4544      0     0
    3        0.19        0.54        -491.935       2.0681      0     0
    4        0.19        0.72        -506.292       1.2189      0     0
    5        0.19        0.91        -516.8       0.8488      0     0
    6        0.19        1.10        -519.337       0.8361      0     0
    7        0.19        1.29        -521.808       0.8253      0     0
    8        0.19        1.47        -529.098       0.7978      0     0
    9        0.19        1.66        -546.345       0.7343      0     0
   10        0.19        1.85        -571.68       0.6441      0     0
   11        0.19        2.03        -599.631       0.5500      0     0
   12        0.19        2.22        -626.246       0.4584      0     0
   13        0.19        2.41        -649.992       0.3814      0     0
   14        0.19        2.59        -670.704       0.3124      0     0
   15        0.19        2.78        -688.935       0.2517      0     0
   16        0.19        2.97        -704.808       0.1995      0     0
   17        0.19        3.15        -718.522       0.1479      0     0
   18        0.19        3.34        -729.54       0.1064      0     0
   19        0.19        3.53        -738.254       0.0709      0     0
   20        0.19        3.71        -743.932       0.0433      0     0
   21        0.19        3.90        -744.137       0.0406      0     0
   22        0.19        4.09        -744.935       0.0338      0     0
   23        0.19        4.28        -745.539       0.0220      0     0
   24        0.19        4.46        -746.205       0.0180      0     0
   25        0.19        4.65        -746.67       0.0180      0     0
   26        0.19        4.83        -746.744       0.0151      0     0
   27        0.19        5.02        -746.711       0.0147      0     0
   28        0.19        5.21        -746.675       0.0139      0     0
   29        0.19        5.40        -746.608       0.0120      0     0
   30        0.19        5.58        -746.551       0.0096      0     0
   31        0.19        5.77        -746.491       0.0072      0     0
   32        0.19        5.96        -746.41       0.0066      0     0
   33        0.19        6.14        -746.41       0.0059      0     0
   34        0.19        6.33        -746.3       0.0055      0     0
   35        0.19        6.52        -746.21       0.0060      0     0
   36        0.19        6.71        -746.106       0.0054      0     0
   37        0.19        6.89        -745.993       0.0056      0     0
   38        0.19        7.08        -745.852       0.0045      0     0
   39        0.19        7.26        -745.765       0.0040      0     0
   40        0.19        7.45        -745.69       0.0039      0     0
   41        0.19        7.64        -745.666       0.0037      0     0
   42        0.19        7.83        -745.615       0.0038      0     0
   43        0.19        8.01        -745.53       0.0036      0     0
   44        0.19        8.20        -745.481       0.0036      0     0
   45        0.19        8.39        -745.44       0.0034      0     0
   46        0.19        8.57        -745.398       0.0035      0     0
   47        0.19        8.76        -745.346       0.0036      0     0
   48        0.19        8.95        -745.301       0.0036      0     0
   49        0.19        9.13        -745.24       0.0037      0     0
   50        0.19        9.32        -745.161       0.0039      0     0
   51        0.19        9.51        -745.078       0.0040      0     0
   52        0.19        9.70        -745.039       0.0041      0     0
   53        0.19        9.89        -744.988       0.0042      0     0
   54        0.19        10.08        -744.942       0.0044      0     0
   55        0.19        10.27        -744.888       0.0045      0     0
   56        0.19        10.46        -744.864       0.0046      0     0
   57        0.19        10.64        -744.846       0.0048      0     0
   58        0.19        10.83        -744.821       0.0050      0     0
   59        0.19        11.02        -744.807       0.0051      0     0
   60        0.19        11.20        -744.787       0.0052      0     0
