# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.01        0.01        138.39       0.0000      0     0
    1        0.08        0.09        -194.915       6.1792      0     0
    2        0.07        0.17        -520.958       0.9534      0     0
    3        0.05        0.22        -537.455       0.8399      0     0
    4        0.06        0.28        -544.616       0.8144      0     0
    5        0.06        0.34        -577.851       0.6995      0     0
    6        0.07        0.41        -632.589       0.5215      0     0
    7        0.07        0.47        -679.967       0.3737      0     0
    8        0.06        0.54        -717.543       0.2559      0     0
    9        0.06        0.60        -744.007       0.1681      0     0
   10        0.07        0.66        -756.333       0.1223      0     0
   11        0.06        0.72        -761.862       0.0990      0     0
   12        0.06        0.79        -765.784       0.0814      0     0
   13        0.07        0.86        -768.901       0.0657      0     0
   14        0.07        0.93        -771.097       0.0524      0     0
   15        0.08        1.00        -772.407       0.0421      0     0
   16        0.08        1.08        -773.102       0.0339      0     0
   17        0.08        1.16        -773.318       0.0272      0     0
   18        0.08        1.24        -773.141       0.0217      0     0
   19        0.08        1.32        -772.559       0.0167      0     0
   20        0.09        1.41        -771.347       0.0117      0     0
   21        0.09        1.50        -769.078       0.0070      0     0
   22        0.12        1.63        -764.831       0.0018      0     0
   23        0.24        1.86        -762.782       0.0001      0     0
   24        0.25        2.12        -762.65       0.0000      0     0
    0        0.09        2.21        -762.648       0.0000      0     0
   25        0.01        2.22        -762.648       0.0000      0     0
