# Kona Param. Contn. convergence history (opt tol = 4.772971e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
     22         1      2281      1.264e+02      1.266e+02     5.2537e+00     1.4648e-01      2.334e+02     1.2913e-02     6.4138e-05     9.485146e-02          

     23         0      2321      1.076e+02      1.078e+02     4.3759e+00     1.3598e-01      2.282e+02     2.9011e+00     3.2475e-02     7.975524e-02          
     23         1      2391      1.059e+02      1.062e+02     4.9896e+00     1.3633e-01      2.294e+02     1.1299e-02     1.1371e-04     7.975524e-02          

     24         0      2431      8.390e+01      8.412e+01     4.0136e+00     1.3142e-01      2.174e+02     2.8091e+00     3.6762e-02     6.467884e-02          
     24         1      2501      8.262e+01      8.286e+01     4.5661e+00     1.2790e-01      2.181e+02     7.9234e-03     1.7697e-04     6.467884e-02          

     25         0      2542      5.385e+01      5.412e+01     3.3403e+00     2.2177e-01      1.881e+02     2.6343e+00     1.7792e-01     4.678991e-02          
     25         1      2615      5.417e+01      5.444e+01     3.7449e+00     1.1668e-01      1.880e+02     2.0354e-03     7.6638e-05     4.678991e-02          

     26         0      2671      8.078e+00      1.046e+01     3.8349e+00     2.5760e+01      8.128e+01     4.5154e+00     2.5336e+01     1.641240e-02          
     26         1      2806      1.460e+01      1.505e+01     4.2933e+00     1.3527e+01      8.206e+01     4.6486e+00     1.3305e+01     1.641240e-02          

     27         0      3162      1.571e+01      1.631e+01     1.3241e+00     2.8967e+00      7.768e+01     1.0157e+00     2.8503e+00     1.508090e-02          
     27         1      3285      1.745e+01      1.785e+01     1.3858e+00     1.1511e+00      7.819e+01     4.7069e-01     1.1299e+00     1.508090e-02          

     28         0      3502      1.710e+01      1.729e+01     1.1028e+00     8.8280e-02      7.321e+01     7.8874e-01     6.8892e-02     1.391293e-02          
     28         1      3625      1.728e+01      1.745e+01     1.2687e+00     5.0050e-02      7.329e+01     3.4452e-03     6.0097e-03     1.391293e-02          

     29         0      3706      1.584e+01      1.600e+01     9.2029e-01     9.8037e-02      6.352e+01     7.2679e-01     8.6351e-02     1.169117e-02          
     29         1      3813      1.590e+01      1.605e+01     1.0680e+00     4.1089e-02      6.354e+01     2.3331e-03     5.9330e-04     1.169117e-02          

     30         0      3906      1.468e+01      1.480e+01     7.5571e-01     9.7860e-02      5.420e+01     6.1353e-01     9.0148e-02     9.593387e-03          
     30         1      4026      1.473e+01      1.485e+01     8.8230e-01     3.3185e-02      5.423e+01     5.2695e-03     8.0954e-04     9.593387e-03          

     31         0      4130      1.377e+01      1.387e+01     6.1967e-01     8.4831e-02      4.615e+01     5.0576e-01     7.9274e-02     7.794859e-03          
     31         1      4259      1.380e+01      1.389e+01     7.1558e-01     2.6377e-02      4.616e+01     1.9306e-03     5.0000e-04     7.794859e-03          

     32         0      4374      1.304e+01      1.311e+01     4.9615e-01     7.2800e-02      3.925e+01     4.1186e-01     6.8870e-02     6.269195e-03          
     32         1      4513      1.306e+01      1.312e+01     5.8171e-01     2.0645e-02      3.926e+01     8.9066e-03     3.7037e-04     6.269195e-03          

     33         0      4649      1.241e+01      1.246e+01     3.9626e-01     6.9535e-02      3.308e+01     3.3273e-01     6.7062e-02     4.915152e-03          
     33         1      4813      1.241e+01      1.246e+01     4.5047e-01     1.5714e-02      3.307e+01     5.6768e-03     2.4898e-04     4.915152e-03          

     34         0      4971      1.187e+01      1.191e+01     2.9619e-01     6.3169e-02      2.773e+01     2.6090e-01     6.1622e-02     3.752756e-03          
     34         1      5158      1.187e+01      1.191e+01     3.5026e-01     1.1570e-02      2.773e+01     7.1547e-03     2.7140e-04     3.752756e-03          

     35         0      5351      1.142e+01      1.145e+01     2.2714e-01     5.5908e-02      2.320e+01     2.0051e-01     5.4976e-02     2.774648e-03          
     35         1      5570      1.142e+01      1.144e+01     2.5264e-01     8.2250e-03      2.319e+01     7.8125e-03     2.8026e-04     2.774648e-03          

     36         0      5806      1.111e+01      1.113e+01     1.6489e-01     3.2440e-02      2.007e+01     1.4788e-01     3.1692e-02     2.105011e-03          
     36         1      6059      1.111e+01      1.113e+01     1.9809e-01     5.9933e-03      2.007e+01     6.2297e-03     4.9792e-04     2.105011e-03          

     37         0      6298      1.088e+01      1.090e+01     1.3531e-01     2.2713e-02      1.773e+01     1.1326e-01     2.2173e-02     1.605011e-03          
     37         1      6571      1.088e+01      1.089e+01     1.4842e-01     4.3844e-03      1.773e+01     4.8136e-04     1.3354e-04     1.605011e-03          

