# SNOPT iteration timing history
# Iter    Time (s)    Total Time (s)   
    1        562.08        562.08     
    2        560.81        1122.89     
    3        562.84        1685.73     
    4        552.52        2238.25     
    5        558.32        2796.57     
    6        538.03        3334.61     
    7        551.26        3885.86     
    8        581.19        4467.06     
    9        553.78        5020.83     
   10        659.72        5680.55     
   11        573.94        6254.49     
   12        726.88        6981.37     
   13        743.82        7725.19     
   14        734.15        8459.34     
   15        720.70        9180.05     
   16        681.52        9861.57     
   17        677.42        10538.98     
   18        686.49        11225.47     
   19        685.75        11911.22     
   20        681.98        12593.20     
   21        679.47        13272.67     
   22        676.17        13948.84     
   23        689.13        14637.97     
   24        675.84        15313.81     
   25        650.83        15964.64     
   26        657.32        16621.96     
   27        662.64        17284.61     
   28        660.33        17944.93     
   29        660.38        18605.31     
   30        663.80        19269.11     
   31        667.12        19936.23     
   32        674.46        20610.68     
   33        672.64        21283.32     
   34        673.47        21956.79     
   35        674.50        22631.29     
   36        672.83        23304.12     
   37        674.28        23978.40     
   38        672.89        24651.28     
   39        670.81        25322.09     
