# Kona Param. Contn. convergence history (opt tol = 4.772971e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
     22         1      5845      1.233e+01      1.225e+01     2.8419e-01     5.0174e-02      2.310e+01     9.2774e-02     5.4657e-02     2.585392e-03          

     23         0      6255      1.224e+01      1.216e+01     2.4891e-01     5.2018e-02      2.302e+01     1.6235e-01     5.6176e-02     2.582910e-03          
     23         1      6463      1.222e+01      1.213e+01     2.7274e-01     5.1547e-02      2.299e+01     8.4745e-02     5.6210e-02     2.582910e-03          

     24         0      6877      1.213e+01      1.201e+01     2.2227e-01     6.3093e-02      2.078e+01     1.6566e-01     6.6886e-02     2.082910e-03          
     24         1      7082      1.215e+01      1.206e+01     2.4010e-01     5.3030e-02      2.082e+01     9.6910e-02     5.6791e-02     2.082910e-03          

     25         0      7497      1.205e+01      1.192e+01     1.9326e-01     7.6075e-02      1.654e+01     1.6678e-01     7.8027e-02     1.098041e-03          
     25         1      7701      1.207e+01      1.195e+01     1.9111e-01     6.6674e-02      1.658e+01     1.2630e-01     6.8496e-02     1.098041e-03          

     26         0      8114      1.202e+01      1.188e+01     1.7617e-01     7.9208e-02      1.443e+01     1.5592e-01     8.0184e-02     6.043441e-04          
     26         1      8323      1.202e+01      1.190e+01     1.7232e-01     7.5412e-02      1.444e+01     1.4144e-01     7.6385e-02     6.043441e-04          

     27         0      8742      1.194e+01      1.181e+01     1.6675e-01     8.9490e-02      1.249e+01     1.6147e-01     8.9724e-02     1.610071e-04          
     27         1      8952      1.195e+01      1.182e+01     1.6031e-01     8.4411e-02      1.250e+01     1.5317e-01     8.4650e-02     1.610071e-04          

     28         0      9369      1.191e+01      1.177e+01     1.6531e-01     9.0699e-02      1.177e+01     1.6531e-01     9.0699e-02     0.000000e+00          
     28         1      9578      1.191e+01      1.178e+01     1.5720e-01     8.7949e-02      1.178e+01     1.5720e-01     8.7949e-02     0.000000e+00          
     28         2      9781      1.188e+01      1.175e+01     1.5381e-01     9.1872e-02      1.175e+01     1.5381e-01     9.1872e-02     0.000000e+00          
     28         3      9988      1.184e+01      1.171e+01     1.5208e-01     9.1238e-02      1.171e+01     1.5208e-01     9.1238e-02     0.000000e+00          
     28         4     10197      1.182e+01      1.170e+01     1.5208e-01     8.7657e-02      1.170e+01     1.5208e-01     8.7657e-02     0.000000e+00          
     28         5     10406      1.181e+01      1.168e+01     1.5023e-01     8.9525e-02      1.168e+01     1.5023e-01     8.9525e-02     0.000000e+00          
     28         6     10617      1.178e+01      1.166e+01     1.4925e-01     8.8509e-02      1.166e+01     1.4925e-01     8.8509e-02     0.000000e+00          
     28         7     10827      1.176e+01      1.164e+01     1.4811e-01     8.7976e-02      1.164e+01     1.4811e-01     8.7976e-02     0.000000e+00          
     28         8     11040      1.174e+01      1.163e+01     1.4757e-01     8.7048e-02      1.163e+01     1.4757e-01     8.7048e-02     0.000000e+00          
     28         9     11252      1.172e+01      1.161e+01     1.4602e-01     8.7804e-02      1.161e+01     1.4602e-01     8.7804e-02     0.000000e+00          
