# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.03        0.03        43.1493       0.0000      0     0
    1        0.36        0.38        87.243       6.5063      0     0
    2        0.33        0.71        11.8339       0.5308      0     0
    3        0.32        1.03        8.82624       0.2748      0     0
    4        0.32        1.35        6.71362       0.1446      0     0
    5        0.22        1.57        6.935       0.0734      0     0
    6        0.22        1.79        8.77051       0.0176      0     0
    7        0.21        2.00        9.90997       0.0012      0     0
    8        0.21        2.21        10.011       0.0000      0     0
    9        0.21        2.42        10.0119       0.0000      0     0
   10        0.11        2.53        10.0122       0.0000      0     0
   11        0.11        2.64        10.0122       0.0000      0     0
   12        0.11        2.75        10.0122       0.0000      0     0
   13        0.12        2.88        10.0122       0.0000      0     0
   14        0.00        2.88        10.0122       0.0000      0     0
