# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective   
    0        0.00        0.00        6.56668    
    1        0.01        0.01        5.0663    
    2        0.01        0.02        5.0592    
    3        0.01        0.03        5.02917    
    4        0.01        0.04        4.90335    
    5        0.01        0.05        4.77695    
    6        0.01        0.06        4.64912    
    7        0.01        0.07        4.50974    
    8        0.01        0.08        4.36828    
    9        0.01        0.09        4.2262    
   10        0.01        0.10        4.04789    
   11        0.01        0.11        3.83205    
   12        0.01        0.12        3.59309    
   13        0.01        0.13        3.32485    
   14        0.01        0.14        3.01365    
   15        0.01        0.16        2.58408    
   16        0.01        0.17        2.06125    
   17        0.01        0.18        1.43501    
   18        0.01        0.20        0.65655    
   19        0.02        0.21        -0.301828    
   20        0.02        0.23        -1.50515    
   21        0.02        0.25        -2.82064    
   22        0.02        0.27        -4.29507    
   23        0.02        0.29        -5.6447    
   24        0.02        0.31        -6.7225    
   25        0.02        0.33        -7.48727    
   26        0.02        0.36        -8.02397    
   27        0.02        0.38        -8.3426    
   28        0.02        0.40        -8.49107    
   29        0.02        0.42        -8.48008    
   30        0.02        0.45        -8.31534    
   31        0.02        0.47        -7.90264    
   32        0.02        0.49        -6.83178    
   33        0.02        0.51        -5.58678    
   34        0.02        0.53        -4.48815    
   35        0.02        0.55        -3.68961    
   36        0.02        0.57        -3.10908    
   37        0.02        0.59        -2.67595    
   38        0.02        0.61        -2.37541    
   39        0.02        0.63        -2.17498    
   40        0.02        0.65        -2.05752    
   41        0.02        0.67        -2.03261    
   42        0.03        0.70        -2.09558    
   43        0.03        0.73        -2.27632    
   44        0.03        0.76        -2.43238    
   45        0.04        0.81        -2.6366    
   46        0.04        0.85        -2.79424    
   47        0.06        0.91        -2.99202    
   48        0.06        0.96        -3.13083    
   49        0.06        1.03        -3.33003    
   50        0.07        1.10        -3.43899    
   51        0.08        1.18        -3.63384    
   52        0.08        1.26        -3.82612    
   53        0.14        1.41        -4.01234    
   54        0.15        1.55        -4.16286    
   55        0.13        1.68        -4.32296    
   56        0.15        1.83        -4.45242    
   57        0.14        1.97        -4.67947    
   58        0.06        2.03        -5.31588    
   59        0.04        2.07        -6.19292    
   60        0.03        2.10        -7.49339    
   61        0.03        2.13        -8.71705    
   62        0.03        2.16        -10.4763    
   63        0.02        2.18        -12.5077    
   64        0.02        2.20        -15.3587    
   65        0.02        2.22        -18.3956    
   66        0.02        2.23        -19.9416    
   67        0.02        2.25        -19.9997    
   68        0.01        2.25         -20    
   69        0.01        2.26         -20    
   70        0.01        2.27         -20    
   71        0.01        2.28         -20    
   72        0.01        2.29         -20    
   73        0.01        2.29         -20    
   74        0.01        2.30         -20    
   75        0.01        2.31         -20    
   76        0.01        2.32         -20    
   77        0.01        2.33         -20    
   78        0.01        2.33         -20    
   79        0.01        2.34         -20    
   80        0.01        2.35         -20    
   81        0.01        2.36         -20    
   82        0.01        2.37         -20    
   83        0.01        2.38         -20    
   84        0.01        2.38         -20    
   85        0.01        2.39         -20    
   86        0.01        2.40         -20    
   87        0.01        2.41         -20    
   88        0.01        2.42         -20    
   89        0.01        2.42         -20    
   90        0.01        2.43         -20    
   91        0.01        2.44         -20    
   92        0.01        2.45         -20    
   93        0.01        2.46         -20    
   94        0.01        2.46         -20    
   95        0.01        2.47         -20    
   96        0.01        2.48         -20    
   97        0.01        2.49         -20    
   98        0.01        2.50         -20    
   99        0.01        2.50         -20    
  100        0.01        2.51         -20    
  101        0.01        2.52         -20    
  102        0.01        2.53         -20    
  103        0.01        2.54         -20    
  104        0.01        2.54         -20    
  105        0.01        2.55         -20    
  106        0.01        2.56         -20    
  107        0.01        2.57         -20    
    0        0.01        2.57         -20    
  108        0.00        2.57         -20    
