# Kona Param. Contn. convergence history (opt tol = 2.630149e-06 | feas tol = 2.329004e-05)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      9         0       410     -1.406e+01     -5.433e+00     5.6877e-01     1.6532e-01      4.035e+01     5.4877e-02     1.7589e-02     2.842124e-03          
      9         1       453     -1.329e+01     -5.249e+00     5.3371e-01     1.5134e-01      4.048e+01     4.7029e-03     2.4850e-05     2.842124e-03          

     10         0       496     -1.016e+01     -5.565e+00     2.4397e-01     7.8268e-02      1.352e+01     3.0620e-02     1.0330e-02     1.168321e-03          
     10         1       539     -9.610e+00     -5.502e+00     2.2261e-01     6.9307e-02      1.357e+01     1.7233e-03     4.9129e-04     1.168321e-03          

     11         0       582     -6.985e+00     -5.621e+00     6.4761e-02     2.1762e-02     -7.554e-01     1.0869e-02     3.5118e-03     2.961611e-04          
     11         1       625     -6.780e+00     -5.610e+00     5.6847e-02     1.8579e-02     -7.456e-01     2.3886e-03     8.8550e-04     2.961611e-04          

     12         0       711     -5.980e+00     -5.632e+00     1.7051e-02     5.4838e-03     -4.231e+00     1.8143e-03     6.0897e-04     8.525227e-05          
     12         1       754     -5.980e+00     -5.630e+00     1.6478e-02     5.4635e-03     -4.229e+00     8.7882e-04     1.2916e-04     8.525227e-05          

     13         0       840     -5.770e+00     -5.636e+00     6.5504e-03     2.0936e-03     -5.091e+00     8.9669e-04     1.6281e-04     3.320626e-05          
     13         1       883     -5.773e+00     -5.636e+00     6.4665e-03     2.1399e-03     -5.090e+00     4.4390e-04     8.4754e-05     3.320626e-05          

     14         0       969     -5.713e+00     -5.638e+00     3.6852e-03     1.1729e-03     -5.329e+00     4.5580e-04     1.3471e-04     1.876681e-05          
     14         1      1012     -5.715e+00     -5.638e+00     3.6616e-03     1.2024e-03     -5.329e+00     2.5476e-04     5.4440e-05     1.876681e-05          

     15         0      1098     -5.680e+00     -5.639e+00     1.9843e-03     6.4613e-04     -5.475e+00     2.9804e-04     1.0164e-04     9.980591e-06          
     15         1      1141     -5.681e+00     -5.639e+00     1.9474e-03     6.4935e-04     -5.475e+00     1.5913e-04     3.5513e-05     9.980591e-06          

     16         0      1227     -5.647e+00     -5.640e+00     5.2676e-04     1.3949e-04     -5.605e+00     2.6912e-04     9.5177e-05     2.102001e-06          
     16         1      1270     -5.650e+00     -5.640e+00     4.1870e-04     1.6461e-04     -5.606e+00     7.6219e-05     5.3872e-05     2.102001e-06          

     17         0      1356     -5.642e+00     -5.640e+00     1.2738e-04     3.5554e-05     -5.635e+00     1.0194e-04     2.7105e-05     3.144445e-07          
     17         1      1399     -5.642e+00     -5.641e+00     7.1914e-05     2.4075e-05     -5.636e+00     3.0074e-05     1.3416e-05     3.144445e-07          

     18         0      1485     -5.641e+00     -5.641e+00     3.5037e-05     8.6274e-06     -5.639e+00     2.5981e-05     4.5103e-06     1.070227e-07          
     18         1      1528     -5.641e+00     -5.641e+00     3.1852e-05     1.0752e-05     -5.639e+00     2.0969e-05     8.4226e-06     1.070227e-07          

